,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,Liquid_ibiza,7,2,1,5,246.452911,1,3,1000,0,1,2,0,0,92.32923,0,0,0,1167.177,1500,0
1,Liquid_Scoom,7,1,0,1,152.637726,0,1,1000,0,1,1,0,0,11.5624418,0,1,0,764.784,1500,0
2,Liquid_jeemzz,7,1,1,7,171.554535,1,7,1000,0,1,2,0,0,157.260437,0,0,0,1079.926,1500,0
3,Liquid_Sambty,7,1,1,3,387.45694,0,2,1000,0,1,2,0,0,29.80275,0,0,0,1143.95,1500,0
4,o1ne_fEJK,10,1,0,0,84.03321,0,0,1000,0,1,1,0,0,267.621552,0,0,0,816.706,1500,0
5,o1ne_Rustanmar,10,0,0,0,9.1975,0,0,1000,0,0,0,0,0,0.0,0,0,0,783.603,1500,0
6,o1ne_miikaz,10,0,0,0,43.39244,0,0,1000,0,0,0,0,0,0.0,0,0,0,805.063,1500,0
7,TB_Pybas,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,772.363,1500,0
8,TB_Nbs,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,773.367,1500,0
9,TB_Jambawe,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,772.365,1500,0
10,TB_Ryanlockwood,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,225.151,1500,0
11,ELGIG_dEAGZ,2,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,361.509,1500,0
12,ELGIG_Ztarz,2,1,0,0,266.671875,0,0,1000,0,1,1,0,0,21.1786518,0,1,0,1419.747,1500,0
13,ELGIG_Blaise,2,1,0,0,99.3894653,0,0,1000,0,1,1,0,0,21.635849,0,0,0,1002.941,1500,0
14,ELGIG_Savage,2,4,0,3,440.964,0,6,1000,0,3,3,0,0,3.784358,0,0,0,1428.654,1500,0
15,WTSG_vard,9,3,1,2,204.7901,1,8,1000,0,1,3,0,0,11.4095573,0,1,0,896.226,1500,0
16,WTSG_gaxy,9,0,1,2,74.56998,0,5,1000,0,0,0,0,0,0.0,0,0,0,896.224,1500,0
17,WTSG_MiracU,9,1,0,1,233.045425,0,0,1000,0,1,1,0,0,28.76879,0,1,0,879.255,1500,0
18,WTSG_Larsen,9,1,0,2,153.961761,0,6,1000,0,1,1,0,0,11.7852135,0,0,0,865.128,1500,0
19,BfZ_RobbinAK,16,0,0,4,41.0035133,0,1,1000,0,0,0,0,0,0.0,0,0,0,738.754,1500,0
20,BfZ_DaveTheCrazy,16,0,0,0,151.817917,0,0,1000,0,0,0,0,0,0.0,0,0,0,772.593,1500,0
21,BfZ_Daix,16,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,679.761,1500,0
22,BfZ_Phon,16,0,0,0,40.8000031,0,0,1000,0,0,0,0,0,0.0,0,0,0,772.59,1500,0
23,Atl_rolezeh,14,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,786.366,1500,0
24,Atl_wltR,14,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,786.363,1500,0
25,Atl_Grubsi,14,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,786.365,1500,0
26,Rogue_EwannG,11,0,0,0,22.05,0,0,1000,0,0,0,0,0,0.0,0,0,0,458.484,1500,0
27,Rogue_FUFFEN-,11,2,1,1,104.082504,0,0,1000,0,0,0,0,0,0.0,0,0,0,693.426,1500,0
28,Rogue_ynck,11,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,814.363,1500,0
29,Rogue_Jazza,11,3,0,0,240.599991,3,0,1000,0,4,5,0,0,28.1927719,0,0,0,814.362,1500,0
30,CF_hamster,13,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,190.55,1500,0
31,CF_PONYRIDEREn,13,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,796.36,1500,0
32,CF_officialbjorn,13,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,796.362,1500,0
33,CF_Feverish,13,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,154.705,1500,0
34,Knights_Dreadon,6,1,1,3,204.166336,0,1,1000,0,1,1,0,0,15.2432508,0,1,0,1317.3,1500,0
35,Knights_TEXQS,6,1,0,2,152.876266,0,1,1000,0,1,1,0,0,41.45028,0,0,0,1007.988,1500,0
36,Knights_Voxsic,6,1,0,4,199.68779,0,4,1000,0,1,1,0,0,20.7372627,0,0,0,1302.545,1500,0
37,Knights_Krama,6,0,0,1,0.148462966,0,1,1000,0,0,0,0,0,0.0,0,2,0,1239.534,1500,0
38,Wizards_Hyperion,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,166.834,1500,0
39,Wizards_Pikgut,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,772.361,1500,0
40,Wizards_Gova,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,155.942,1500,0
41,Wizards_Aros,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,191.478,1500,0
42,TR_frosz,18,0,0,0,70.73499,0,0,1000,0,0,0,0,0,0.0,0,0,0,437.455,1500,0
