,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,NAVI_Sadovnik,3,1,0,4,261.366943,0,2,0,0,1,1,0,0,4.34949541,0,1500,0,0,2009.391,0,0
1,NAVI_Shade1,3,2,0,5,577.6587,0,1,0,0,1,2,0,0,57.5310936,0,1500,0,0,2026.092,0,0
2,NAVI_POKAMOLODOY,3,0,0,1,107.211487,0,1,0,0,1,1,0,0,122.667244,0,1500,0,0,2024.081,0,0
3,NAVI_BatulinS,3,0,0,2,23.7084751,0,2,0,0,0,0,0,0,0.0,0,1500,0,0,1557.457,0,0
4,ATH_Heffaa,8,0,1,2,73.21553,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1568.968,0,0
5,ATH_Linksy,8,0,0,1,68.5607,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1568.976,0,0
6,ATH_Neferhor,8,0,0,0,67.43752,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1503.213,0,0
7,ATH_McClutch_,8,2,0,0,211.704041,0,0,0,0,1,1,0,0,95.82446,0,1500,0,0,1493.488,0,0
8,M19_TheWanderer,2,1,0,3,340.336273,0,1,0,0,1,1,0,0,143.8114,0,1500,0,0,2115.069,0,0
9,M19_konstantinvk,2,2,1,3,237.206482,2,2,0,0,1,2,0,0,156.341675,0,1500,0,0,2114.23,0,0
10,M19_xmpl,2,3,1,2,633.8895,0,4,0,0,2,4,0,0,238.97226,0,1500,0,0,2062.068,0,0
11,M19_ELITEPLAYER,2,0,0,2,92.52405,0,1,0,0,0,0,0,0,0.0,0,1500,1,0,2056.749,0,0
12,VG_Morningstar,14,0,0,0,0.0,0,6,0,0,0,0,0,0,0.0,0,1500,0,0,1221.545,0,0
13,VG_77owo,14,0,0,5,70.7688446,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1220.459,0,0
14,VG_Bitemenow,14,0,0,2,0.0,0,10,0,0,0,0,0,0,0.0,0,1500,1,0,1326.962,0,0
15,VG_MoLiBoy,14,0,0,2,53.1980743,0,4,0,0,0,0,0,0,0.0,0,1500,0,0,1218.177,0,0
16,4AM_ALUKA,11,1,0,1,86.44066,0,3,0,0,1,1,0,0,120.990578,0,1500,0,0,1373.644,0,0
17,4AM_Long,11,2,0,3,216.109756,0,2,0,0,1,1,0,0,185.481445,0,1500,1,0,1448.274,0,0
18,4AM_West,11,0,1,1,102.928772,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1448.266,0,0
19,4AM_Summer,11,0,0,1,46.2491722,0,2,0,0,0,0,0,0,0.0,0,1500,0,0,1395.311,0,0
20,C9_Kaymind,5,1,0,5,73.0654755,0,5,0,0,0,0,0,0,0.0,0,1500,1,0,1646.155,0,0
21,C9_Nerf,5,0,1,4,80.1051,0,7,0,0,1,1,0,0,300.785553,0,1500,0,0,1667.458,0,0
22,C9_Moody,5,4,0,5,424.1019,0,4,0,0,1,3,0,0,172.322769,0,1500,1,0,1721.546,0,0
23,C9_Pr0phie,5,2,1,2,750.31,3,3,0,0,1,4,0,0,159.760239,0,1500,0,0,1648.24,0,0
24,SnakeTC_277,6,2,1,1,155.0817,0,1,0,0,1,1,0,0,119.780128,0,1500,1,0,1290.886,0,0
25,SnakeTC_Tiantian,6,0,1,3,116.601807,0,11,0,0,1,1,0,0,1.9474051,0,1500,0,0,1691.064,0,0
26,SnakeTC_Zkk,6,0,1,0,35.1678543,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1252.792,0,0
27,SnakeTC_BuGuNiao,6,1,0,3,32.5635262,0,5,0,0,1,1,0,0,23.1263084,0,1500,1,0,1691.06,0,0
28,FaZe_Jembty,1,2,3,6,495.558075,0,10,0,0,1,4,0,0,136.449158,0,1500,1,0,2111.853,0,0
29,FaZe_mxey,1,4,4,6,790.385132,3,8,0,0,2,6,0,0,94.67543,0,1500,1,0,2115.115,0,0
30,FaZe_Fuzzface,1,5,3,5,689.7421,1,4,0,0,1,5,0,0,173.1732,0,1500,3,0,2115.115,0,0
31,FaZe_Aitzy,1,2,0,3,483.4829,1,5,0,0,1,3,0,0,105.24472,0,1500,2,0,2115.115,0,0
32,NiP_Gaxy,10,2,0,4,278.554443,0,2,0,0,1,2,0,0,228.998535,0,1500,0,0,1527.656,0,0
33,NiP_vard,10,1,1,3,250.133,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1537.089,0,0
34,NiP_MiracU,10,2,0,0,145.39,0,0,0,0,1,2,0,0,142.9306,0,1500,0,0,1537.102,0,0
35,NiP_Nbs,10,0,0,1,88.2,0,0,0,0,0,0,0,0,0.0,0,1500,2,0,1537.096,0,0
36,DIVINE_Jett,4,4,2,2,603.6726,0,1,0,0,2,6,0,0,263.407043,0,1500,0,0,1751.601,0,0
37,DIVINE_Tuanz,4,2,2,5,403.328156,0,2,0,0,0,0,0,0,0.0,0,1500,0,0,1877.967,0,0
38,DIVINE_Nickyyy,4,0,0,3,50.06633,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1702.071,0,0
39,DIVINE_Leviz,4,1,0,0,97.06453,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1038.456,0,0
40,Ghost_Miccoy,15,0,0,3,0.0,0,2,0,0,0,0,0,0,0.0,0,1500,0,0,1286.652,0,0
41,Ghost_Xtreme2g,15,1,0,1,100.0,0,2,0,0,0,0,0,0,0.0,0,1500,0,0,1286.647,0,0
42,Ghost_Frolicer,15,0,0,2,140.176361,0,1,0,0,0,0,0,0,0.0,0,1500,1,0,1251.902,0,0
43,Ghost_BALLOC,15,0,0,3,172.816833,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1283.377,0,0
44,Vitality_mOnKeY,13,0,0,2,0.0,0,3,0,0,0,0,0,0,0.0,0,1500,0,0,1283.773,0,0
45,Vitality_shadow,13,0,0,1,138.452637,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1391.451,0,0
46,Vitality_ynck,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,1382.583,0,0
47,Vitality_jazza,13,2,0,2,385.1852,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1413.721,0,0
48,Liquid_ibiza,16,0,0,0,27.39998,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,539.492,0,0
49,Liquid_Sambty,16,0,0,2,28.2460575,0,3,0,0,0,0,0,0,0.0,0,1500,0,0,1124.324,0,0
50,Liquid_jeemzz,16,2,0,3,244.288986,0,8,0,0,0,0,0,0,0.0,0,1500,0,0,1054.545,0,0
51,Liquid_Mista,16,0,0,1,0.0,0,3,0,0,0,0,0,0,0.0,0,1500,1,0,1062.924,0,0
52,Secret_NOOAH,12,0,0,1,0.0,0,10,0,0,0,0,0,0,0.0,0,1500,1,0,1276.044,0,0
53,Secret_Smitty,12,0,0,1,0.0,0,11,0,0,0,0,0,0,0.0,0,1500,0,0,1253.143,0,0
54,Secret_Paranga,12,0,0,2,74.91778,0,3,0,0,0,0,0,0,0.0,0,1500,1,0,1428.503,0,0
55,Secret_Fiend,12,0,0,4,101.612015,0,3,0,0,0,0,0,0,0.0,0,1500,0,0,1399.746,0,0
56,OMGxxb,9,2,0,0,100.0,1,0,0,0,1,1,0,0,18.6943817,0,1500,1,0,1557.576,0,0
57,OMGClouds,9,2,1,1,292.686127,0,2,0,0,1,2,0,0,292.8218,0,1500,0,0,1558.015,0,0
58,OMGMmLs,9,2,0,0,200.0,0,1,0,0,2,2,0,0,11.5932608,0,1500,0,0,1557.569,0,0
59,OMGBeiKe,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,356.374,0,0
60,KNIGHTS_Krama,7,0,0,3,55.498024,0,4,0,0,0,0,0,0,0.0,0,1500,0,0,1635.426,0,0
61,KNIGHTS_Draedon,7,0,0,1,39.8881226,0,5,0,0,0,0,0,0,0.0,0,1500,0,0,1122.832,0,0
62,KNIGHTS_Voxsic,7,0,0,3,0.0,0,4,0,0,0,0,0,0,0.0,0,1500,0,0,1635.422,0,0
63,KNIGHTS_TEXQS,7,0,0,1,0.0,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1100.896,0,0
64,4AM_ALUKA,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,711.525,0,0
65,4AM_Long,16,0,1,1,61.6339035,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,743.308,0,0
