,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,RYE_Naylup,11,0,0,0,0.0,0,0,0,0,0.0,0,0,169.984
1,RYE_udyRR,11,0,0,4,0.0,0,2,0,0,0.0,0,0,1211.206
2,RYE_Shiv,11,0,0,1,49.1079,0,0,1,1,39.853607,0,0,1192.372
3,RYE_mOnKeY,11,1,1,2,325.14948,0,1,0,0,0.0,0,0,1302.989
4,TQ_Redzyy,16,0,0,3,0.0,1,3,1,1,311.38788,0,1,1027.946
5,TQ_Killstill,16,0,0,3,70.21389,0,4,0,0,0.0,0,0,914.13
6,TQ_Close11,16,0,0,2,0.0,0,1,0,0,0.0,0,0,919.056
7,TQ_Bogdanila,16,0,0,1,0.0,0,1,0,0,0.0,0,0,918.714
8,YMCA_X,10,1,0,5,254.12218,0,9,0,0,0.0,1,1,1331.223
9,YMCA_TAHVO,10,1,0,2,204.25961,1,6,1,1,81.21759,0,0,1278.679
10,YMCA_Kojootti,10,0,0,1,0.0,0,1,0,0,0.0,1,0,776.132
11,YMCA_Sampula,10,0,0,3,89.11844,0,1,0,0,0.0,0,0,1331.231
12,22_Kompot,13,3,0,3,363.19278,1,6,1,1,7.003303,0,0,977.965
13,22_FreeKill,13,1,0,5,181.64696,0,5,1,1,1.8329479,0,0,1156.673
14,22_Corsac,13,0,0,3,109.15242,0,2,0,0,0.0,0,0,1088.594
15,22_DarkChoice,13,0,0,5,65.670616,0,4,0,0,0.0,0,0,1050.17
16,FaZe_Gustav,9,1,1,3,251.64278,1,8,1,2,107.310196,1,0,1363.3
17,FaZe_Aitzy,9,1,1,6,136.21231,0,6,1,1,77.15748,0,0,1356.452
18,FAZE_Fuzzfaze,9,2,1,0,309.64374,1,1,1,1,109.00657,0,0,1152.12
19,FAZE_ubah,9,1,1,5,636.0724,0,2,0,0,0.0,0,0,1324.755
20,PRML_NooaVee,15,1,0,0,100.0,0,0,1,1,196.13678,0,0,1089.162
21,PRML_SumoJaBs,15,0,0,1,24.93524,0,2,0,0,0.0,0,1,1089.185
22,PRML_ZOONbot,15,0,0,1,0.0,0,2,0,0,0.0,0,1,1074.475
23,PRML_ProPelaaja,15,0,0,3,39.581413,0,1,0,0,0.0,0,0,1089.172
24,NAVI_Bestoloch,5,1,2,2,569.3763,0,1,0,0,0.0,0,0,1452.335
25,NAVI_TheTab,5,3,0,3,430.15125,1,1,1,3,481.95108,0,0,1664.061
26,NAVI_Yong,5,3,1,7,705.3143,0,2,0,0,0.0,0,0,1664.07
27,NAVI_Kemba7,5,1,2,5,377.81293,0,1,0,0,0.0,0,0,1451.09
28,EXT_Layosh,12,0,1,2,160.72546,0,5,0,0,0.0,1,0,1174.811
29,EXT_VANOSS-,12,1,0,3,98.65159,0,2,1,1,24.248981,0,0,1152.199
30,EXT_Pashqez,12,2,0,2,284.07434,0,3,1,1,115.75423,0,0,1168.238
31,OW_Rubzi,14,0,0,1,20.295,0,1,0,0,0.0,0,0,996.661
32,OW_Sphoof,14,1,0,2,99.43389,0,5,0,0,0.0,1,0,1109.078
33,OW_SIMSY,14,0,0,5,0.0,0,3,0,0,0.0,0,0,1109.068
34,OW_intenZ,14,0,0,1,0.0,0,0,0,0,0.0,0,0,644.653
35,TE_Qwizzy,1,1,1,6,276.03427,0,9,1,1,19.216774,0,0,1829.107
36,TE_xmpl,1,2,0,4,439.90247,1,5,1,2,33.92455,2,0,1829.107
37,TE_Mellman,1,2,1,8,570.3174,0,5,1,1,53.329437,0,0,1829.107
38,TE_alyagg,1,3,2,6,383.00668,0,7,2,4,206.14041,0,0,1829.107
39,EIQ_Double,2,0,1,6,297.58762,0,3,1,2,267.09152,0,0,1687.121
40,EIQ_Hawki,2,1,1,4,144.75737,0,12,0,0,0.0,1,1,1827.679
41,EIQ_RedgieBeardo,2,0,2,4,522.48035,0,2,1,1,149.01683,1,0,1829.056
42,EIQ_Nowikk,2,1,2,2,258.02203,1,2,1,2,115.08879,0,0,1829.066
43,NEO_RYzzD,7,0,0,3,251.88307,0,0,0,0,0.0,0,0,1399.459
44,NEO_Blucher,7,0,0,1,112.14259,0,0,1,1,76.419624,0,0,1396.292
45,NEO_PILLOBI,7,0,0,3,100.705894,0,3,0,0,0.0,0,0,1426.81
46,NEO_B34STXX,7,0,0,0,0.0,0,0,0,0,0.0,0,0,551.27
47,BLZ_Apocalyp,6,3,0,1,537.60834,0,1,1,2,278.2352,0,0,1347.344
48,BLZ_LAHZA,6,1,2,7,472.5219,1,4,2,4,295.96893,0,0,1432.917
49,BLZ_rip9,6,1,1,0,201.78087,0,0,1,1,15.113581,0,0,1354.223
50,BLZ_Lipsin,6,0,0,1,217.9824,0,1,0,0,0.0,0,0,1345.351
51,ENCE_Rustanmar,3,1,1,4,129.06001,0,2,1,1,4.206673,1,0,1812.684
52,ENCE_D1gg3r1,3,0,0,3,57.809998,0,1,0,0,0.0,2,0,1341.818
53,ENCE_Tiikzu,3,1,0,3,130.69484,0,0,0,0,0.0,0,0,1028.202
54,ENCE_SKUIJKE,3,1,0,5,131.59605,0,1,1,1,316.12677,0,0,1084.154
55,ZEN_Anonymous,4,1,2,5,377.7439,1,2,1,1,16.33086,0,0,1663.82
56,ZEN_Mystery,4,2,0,4,113.11582,2,2,1,3,164.8231,1,0,1665.529
57,ZEN_Flamyy,4,0,2,7,159.18866,0,11,0,0,0.0,1,0,1619.626
58,ZEN_Roth,4,3,1,3,406.52252,1,7,2,3,151.10538,0,0,1477.34
59,SNIP_Triquo,8,4,0,2,440.14435,0,1,3,3,9.513786,0,0,1383.716
60,SNIP_ZEKO,8,0,0,2,10.0,0,2,1,1,65.31972,0,0,1326.845
61,SNIP_LukeeV,8,2,0,4,282.92914,0,4,1,2,185.9206,2,0,1354.665
62,SNIP_croman86,8,0,1,5,122.755844,0,3,0,0,0.0,0,0,1349.409
63,NAVI_Kemba7,12,2,0,3,76.98282,0,0,1,1,15.341841,0,0,1202.116
64,NAVI_Bestoloch,12,0,0,4,32.348137,0,2,0,0,0.0,0,0,1005.491
65,NAVI_Yong,12,2,1,4,365.532,0,2,1,1,19.33612,0,0,1233.431
66,NAVI_TheTab,12,0,1,5,109.267006,0,3,0,0,0.0,0,0,1070.093
67,22_Kompot,15,0,0,4,0.0,0,0,0,0,0.0,0,0,782.665
68,22_DarkChoice,15,0,0,2,0.0,0,1,0,0,0.0,0,0,836.113
69,22_FreeKill,15,0,0,2,0.0,0,5,0,0,0.0,0,1,838.169
70,22_Corsac,15,2,0,2,247.6,0,0,1,1,15.63742,1,0,863.154
71,ZEN_Flamyy,11,2,2,5,486.73553,1,4,2,4,34.860626,2,0,1236.982
72,ZEN_Roth,11,0,1,4,32.998646,0,1,0,0,0.0,0,0,1100.228
73,ZEN_Mystery,11,2,1,5,183.25432,0,6,1,2,49.850563,0,0,1236.971
74,ZEN_Anonymous,11,1,3,3,366.62228,0,2,1,1,38.794003,0,0,1059.109
75,EIQ_Nowikk,16,0,0,0,0.0,0,0,0,0,0.0,0,0,582.394
76,EIQ_RedgieBeardo,16,0,0,0,0.0,0,0,0,0,0.0,0,0,153.138
77,EIQ_Double,16,0,0,1,0.0,0,0,0,0,0.0,0,0,582.385
78,EIQ_Hawki,16,0,0,0,0.0,0,0,0,0,0.0,0,0,579.975
79,TQ_Bogdanila,7,4,1,6,296.90536,1,4,2,4,57.37865,0,0,1410.262
80,TQ_Redzyy,7,1,1,8,311.58362,0,5,1,1,5.717062,2,0,1398.672
81,TQ_Killstill,7,2,1,7,248.46794,0,11,1,2,41.961437,0,0,1407.667
82,TQ_Close11,7,0,3,4,226.70273,0,1,1,1,104.78453,0,0,1397.105
83,YMCA_Kojootti,6,1,0,3,326.58258,0,1,1,1,7.9715223,0,0,1401.544
84,YMCA_X,6,0,0,0,0.0,0,0,0,0,0.0,0,0,398.54
85,YMCA_Sampula,6,2,0,4,333.38022,1,2,3,3,72.20666,1,0,1461.467
86,YMCA_TAHVO,6,1,1,0,187.71524,1,0,1,1,358.80103,0,0,1389.853
87,NEO_Blucher,9,0,0,4,0.0,0,3,0,0,0.0,0,0,1038.678
88,NEO_PILLOBI,9,1,0,7,173.17448,0,9,0,0,0.0,0,0,1263.393
89,NEO_B34STXX,9,0,0,4,82.859764,0,1,0,0,0.0,0,0,1058.258
90,NEO_RYzzD,9,0,0,5,0.0,0,5,0,0,0.0,0,0,1061.802
91,RYE_Naylup,3,1,0,2,115.22907,0,2,1,1,22.903065,0,0,1104.652
92,RYE_Shiv,3,3,2,4,343.2831,1,9,1,1,7.763672,0,0,1574.985
93,RYE_mOnKeY,3,0,0,5,0.0,0,3,0,0,0.0,0,0,1099.228
94,RYE_udyRR,3,0,1,2,207.06018,0,1,1,1,188.1058,0,0,1040.195
95,BLZ_Lipsin,10,0,0,5,115.18349,0,2,0,0,0.0,0,0,1232.685
96,BLZ_LAHZA,10,2,0,4,188.74947,0,2,1,2,223.55348,1,0,1236.647
97,BLZ_Apocalyp,10,1,1,1,331.84775,1,0,1,1,12.669121,0,0,1237.068
98,BLZ_rip9,10,0,0,6,77.01485,0,4,0,0,0.0,0,0,1256.283
99,PRML_SumoJaBs,1,0,4,6,464.2866,0,4,0,0,0.0,1,0,1769.244
100,PRML_ZOONbot,1,1,0,5,507.66776,0,2,0,0,0.0,0,0,1755.225
101,PRML_NooaVee,1,3,1,4,439.1197,1,5,2,3,201.02016,0,0,1769.244
102,PRML_ProPelaaja,1,2,1,4,377.5732,1,3,1,4,151.68382,1,0,1769.244
103,TE_alyagg,2,1,1,4,511.55463,0,2,1,3,279.35654,0,0,1465.47
104,TE_xmpl,2,1,0,2,408.8337,0,2,1,1,104.87946,2,0,1764.594
105,TE_Qwizzy,2,3,3,4,539.7642,0,5,1,2,46.271725,0,0,1769.211
106,TE_Mellman,2,1,0,9,168.07397,0,13,1,1,69.0379,0,0,1764.604
107,SNIP_ZEKO,13,0,0,3,31.484766,0,5,0,0,0.0,0,0,1098.403
108,SNIP_croman86,13,0,0,4,173.74861,0,4,0,0,0.0,0,0,1162.969
109,SNIP_LukeeV,13,0,0,0,0.0,0,0,0,0,0.0,0,0,368.548
