,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,RLG_D3PPS,15,0,0,0,0.0,0,0,0,0,0.0,0,0,690
1,RLG_SypReks,15,0,0,0,0.0,0,0,0,0,0.0,0,0,692
2,RLG_Bluuue9,15,0,0,0,0.0,0,1,0,0,0.0,1,0,807
3,RLG_EienDeep,15,0,0,1,246.53307,0,1,0,0,0.0,0,0,818
4,ESPL_Goheadeagle,2,2,1,9,541.768,0,8,1,2,56.053864,0,0,1731
5,ESPL_amorE2K-,2,4,0,11,724.07983,1,6,1,3,163.26767,1,0,1937
6,ESPL_HKubuRRR-,2,1,1,7,384.76843,0,9,1,2,162.71681,1,0,1908
7,ESPL_ToygaaR,2,3,0,5,322.23105,1,6,2,2,11.805577,1,0,1756
8,DA_Shilla,5,4,2,9,994.65564,0,5,2,6,314.38898,1,0,1847
9,DA_DogSRS,5,0,2,7,363.72437,0,8,1,1,94.301994,1,0,1713
10,DA_shecreated,5,2,2,2,339.50488,0,1,1,2,158.0813,0,0,981
11,DA_rup7ure,5,3,1,7,560.09875,0,3,2,5,258.22684,1,0,1847
12,FUT_Ulseng,1,4,2,9,843.18713,1,4,2,4,98.13435,1,0,1288
13,FUT_odunmavisi,1,0,1,2,0.0,0,0,0,0,0.0,0,0,832
14,FUT_IGluttony,1,1,0,0,99.99999,1,0,1,1,15.877604,0,0,826
15,FUT_Zuveris,1,3,1,9,979.2707,2,5,1,4,123.1117,1,0,1938
16,HEWC_Ezals,13,1,0,5,96.6,0,2,0,0,0.0,0,0,978
17,HEWC_QuinaX,13,0,0,4,0.0,0,0,0,0,0.0,0,0,874
18,HEWC_GomerTr,13,1,0,5,151.0763,1,0,1,1,13.782792,0,0,982
19,HEWC_Tempend,13,1,0,4,100.0,0,0,0,0,0.0,0,0,941
20,010_BARONPeek,11,0,0,3,123.119,0,1,0,0,0.0,0,0,1114
21,010_Warde,11,2,0,2,228.24998,0,0,2,2,44.2681,0,0,1178
22,010_Shiplest,11,0,0,1,22.486637,0,0,0,0,0.0,0,0,693
23,010_MuzluSoda,11,1,2,3,318.14886,0,1,0,0,0.0,0,0,1161
24,KGE_N3ith-,8,0,0,0,0.0,0,0,0,0,0.0,0,0,1104
25,KGE_xGrift,8,0,0,2,113.732895,0,1,0,0,0.0,0,0,1082
26,KGE_GlodeX,8,1,0,2,98.0,0,4,0,0,0.0,1,0,1235
27,KGE_DEPPYZIX,8,0,0,4,98.5271,0,2,0,0,0.0,0,0,1213
28,CRF_hauvhauv,3,2,0,8,631.3163,0,5,1,2,38.524017,1,0,1913
29,CRF_DaQuel,3,2,0,4,50.57242,0,1,1,1,146.70308,0,1,1454
30,CRF_Karla,3,3,2,11,449.76202,0,8,0,0,0.0,1,0,1919
31,CRF_Swear,3,0,0,4,226.13498,0,1,0,0,0.0,0,0,1267
32,JVN_kicimusl4,10,1,0,5,98.0,0,0,0,0,0.0,0,0,1119
33,JVN_jash2K,10,1,0,6,0.0,0,1,1,1,84.152214,0,1,921
34,JVN_AFFR1GHT,10,2,0,6,261.329,2,4,3,3,100.95932,0,0,1000
35,JVN_Jessie,10,1,0,1,126.43315,1,1,1,1,60.695045,0,0,1148
36,AVG_Benshi,7,1,1,5,243.88484,0,10,1,1,10.608807,3,0,1526
37,AVG_Yuski,7,0,0,7,274.37964,0,5,1,1,200.75479,0,0,1579
38,AVG_JinPyro,7,2,0,8,115.143135,1,8,1,2,110.28467,0,0,1461
39,AVG_Hexor,7,0,1,5,159.16058,0,5,0,0,0.0,0,0,1433
40,AT_NervouS,12,0,0,2,143.71255,0,0,0,0,0.0,0,0,1010
41,AT_OneSHOOT,12,0,0,3,142.41234,0,4,0,0,0.0,0,0,993
42,AT_Pixiu,12,0,0,3,0.0,0,0,0,0,0.0,0,0,600
43,AT_EneserTV,12,0,0,0,0.0,0,0,0,0,0.0,0,0,546
44,212_Z3R3F,14,1,1,1,137.8,0,0,1,1,21.045343,0,0,853
45,212_Irony,14,1,0,1,73.600006,0,0,1,1,34.931824,0,0,878
46,212_Fancy,14,0,1,2,73.6693,0,1,0,0,0.0,0,0,804
47,212_Murfle,14,0,0,2,78.470566,0,1,0,0,0.0,0,0,878
48,MB_PilsenTry,9,1,1,3,156.84485,0,5,0,0,0.0,0,0,1127
49,MB_Playleard,9,0,0,4,21.1641,0,2,0,0,0.0,0,0,1110
50,MB_NeroMac-,9,1,0,6,39.725777,0,3,1,1,57.625072,1,0,1233
51,MB_WizarD-,9,1,1,5,259.46677,1,2,1,1,207.73247,0,0,1125
52,NF_Fallzy,16,0,0,1,29.41046,0,0,0,0,0.0,0,0,774
53,NF_Swyrou,16,0,0,2,56.399998,0,1,0,0,0.0,0,0,764
54,NF_GamerBRNZ,16,0,0,3,152.09604,0,3,0,0,0.0,0,0,774
55,NF_LadoNNN,16,0,0,1,0.0,0,0,0,0,0.0,0,0,750
56,CiY_LASTiKCi,6,4,2,6,605.73267,0,6,2,3,38.571575,0,0,1604
57,CiY_Manken,6,3,1,11,229.12099,0,2,2,3,118.96384,2,0,1617
