,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,FirstLady,1,0,1,0,70.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,594.258,1500,0
1,Snedger,1,4,0,2,220.0,0,1,1000,0,1,1,0,0,16.40511,0,0,0,594.258,1500,0
2,Globusnuss,2,0,0,0,112.66,0,1,1000,0,0,0,0,0,0.0,0,2,0,586.209,1500,0
3,P4wnyhof,2,0,0,2,0.0,0,0,1000,0,0,0,0,0,0.0,0,1,0,551.051,1500,0
4,FirstLady,2,3,0,0,275.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,502.683,1500,0
5,Snedger,2,0,0,0,38.71111,0,0,1000,0,0,0,0,0,0.0,0,0,0,514.407,1500,0
6,P4wnyhof,1,1,0,0,200.0,1,2,1000,0,2,2,0,0,100.59433,0,1,0,522.429,1500,0
7,Globusnuss,1,0,1,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,2,0,522.429,1500,0
8,R3b0rn91,12,0,0,2,0.0,0,2,1000,0,0,0,0,0,0.0,0,0,0,1005.583,1500,0
9,sylar94,12,1,0,1,147.525818,0,0,1000,0,1,1,0,0,94.07569,0,0,0,1005.578,1500,0
10,Snedger,29,0,0,1,29.8289986,0,0,1000,0,0,0,0,0,0.0,0,0,0,547.459,1500,0
11,FirstLady,29,1,0,1,137.581787,0,0,1000,0,0,0,0,0,0.0,0,0,0,547.453,1500,0
12,Sk1LL2B3REAL,13,0,1,0,170.734985,1,0,1000,0,1,1,0,0,19.79598,0,0,0,1001.302,1500,0
13,SPOONPAI,13,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,1001.395,1500,0
14,ghostar,14,0,0,0,148.495789,0,3,1000,0,0,0,0,0,0.0,0,1,0,968.171,1500,0
15,izak__,14,0,0,4,0.0,0,4,1000,0,0,0,0,0,0.0,0,0,0,968.168,1500,0
16,Terroriser,5,0,0,4,237.453,0,3,1000,0,1,1,0,0,34.5382042,0,0,0,1257.657,1500,0
17,Maverick,5,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,742.207,1500,0
18,spajKK,2,2,1,4,402.0187,0,2,1000,0,2,3,0,0,114.034386,0,0,0,1431.128,1500,0
19,Double,2,0,0,3,126.373886,1,0,1000,0,1,1,0,0,92.3477859,0,0,0,1399.883,1500,0
