,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,Ghost_BALLOC,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,629.219,1500,0
1,Ghost_Miccoy,9,1,0,3,234.641251,0,0,1000,0,1,2,0,0,48.6355362,0,1,0,1172.304,1500,0
2,Ghost_Allajin,9,1,0,0,102.925072,0,0,1000,0,1,1,0,0,13.0282068,0,0,0,670.986,1500,0
3,Ghost_Turtle,9,0,0,0,11.1985292,0,1,1000,0,0,0,0,0,0.0,0,0,0,750.097,1500,0
4,V5_ShanD1anX,1,1,0,2,167.985016,1,4,1000,0,1,1,0,0,122.441994,0,0,0,1519.396,1500,0
5,V5_Little1ee,1,0,0,1,215.114548,0,3,1000,0,1,3,0,0,42.3299332,0,1,0,2143.242,1500,0
6,V5_LanrennnN,1,0,1,2,194.630951,0,2,1000,0,1,1,0,0,52.03927,0,0,0,2143.242,1500,0
7,V5_Lsn,1,1,1,2,200.129517,0,10,1000,0,0,0,0,0,0.0,0,0,0,2143.242,1500,0
8,TM_Subslayer,2,0,1,4,99.09155,0,9,1000,0,0,0,0,0,0.0,0,0,0,2034.743,1500,0
9,TM_Xtreme2g,2,3,0,1,657.627869,1,0,1000,0,1,2,0,0,59.0421638,0,1,0,2135.189,1500,0
10,TM_Benchu,2,1,0,3,135.092484,0,4,1000,0,1,1,0,0,150.739548,0,0,0,1702.814,1500,0
11,Secret_Smitty,14,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,243.346,1500,0
12,Standin_Czech,14,0,0,0,86.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,88.882,1500,0
13,Secret_Fiend,14,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,176.543,1500,0
14,Secret_7Teen,14,1,0,0,99.99999,0,0,1000,0,0,0,0,0,0.0,0,0,0,242.98,1500,0
15,WTSG_MiracU,10,2,1,3,444.8036,0,6,1000,0,1,1,0,0,9.914325,0,0,0,1012.909,1500,0
16,WTSG_Gaxyy,10,1,1,4,182.560013,0,6,1000,0,1,1,0,0,16.3418159,0,1,0,678.419,1500,0
17,WTSG_Larsen,10,1,0,2,49.1200027,0,1,1000,0,1,1,0,0,3.80079532,0,1,0,796.46,1500,0
18,WTSG_vard,10,1,0,4,344.6409,0,1,1000,0,1,2,0,0,24.7954826,0,0,0,983.257,1500,0
19,XQ_Cobra,8,2,0,3,310.2638,0,5,1000,0,1,1,0,0,1.99234951,0,0,0,1514.349,1500,0
20,XQ_XiaoDu,8,1,0,4,262.795441,0,0,1000,0,1,2,0,0,86.2148,0,0,0,1528.769,1500,0
21,XQ_AK,8,0,0,3,73.05205,0,3,1000,0,0,0,0,0,0.0,0,1,0,1489.787,1500,0
22,XQ_Z9Max,8,1,0,4,167.87468,0,17,1000,0,1,1,0,0,2.48868084,0,2,1,1513.356,1500,0
23,VEGA_VampireGame,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,136.663,1500,0
24,VEGA_Kippie,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,105.968,1500,0
25,VEGA_Maxiz0r,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,86.055,1500,0
26,VEGA_Kemba7,15,1,0,0,100.0,0,0,1000,0,1,1,0,0,16.5944366,0,0,0,239.666,1500,0
27,GenG_Chelator,13,1,0,0,131.912125,0,0,1000,0,1,1,0,0,14.3485193,0,0,0,657.796,1500,0
28,GenG_WICK2D,13,1,0,0,98.3201141,0,0,1000,0,0,0,0,0,0.0,0,0,0,770.406,1500,0
29,GenG_Loki,13,2,0,0,181.872955,0,0,1000,0,1,2,0,0,55.5470543,0,0,0,789.138,1500,0
30,MVP_paenG,4,2,0,13,419.401978,1,0,1000,0,1,3,0,0,11.6124363,0,0,0,2105.046,1500,0
31,MVP_siege,4,1,1,1,119.350006,1,1,1000,0,1,1,0,0,30.7816868,0,1,0,1007.464,1500,0
32,MVP_Alphaca,4,2,1,5,354.525,0,4,1000,0,1,2,0,0,43.0472527,0,0,0,1487.005,1500,0
33,NAVI_POKAMOLODOY,6,0,0,2,109.285049,0,1,1000,0,0,0,0,0,0.0,0,0,0,1066.513,1500,0
34,NAVI_Shade1,6,2,0,5,408.263367,0,7,1000,0,1,2,0,0,72.11688,0,3,0,2084.65,1500,0
35,NaVi_ubah-,6,2,0,4,473.4306,0,2,1000,0,1,2,0,0,192.15033,0,0,0,2025.261,1500,0
36,NAVI_drainy,6,0,0,3,91.87153,0,8,1000,0,0,0,0,0,0.0,0,0,0,1491.914,1500,0
37,METHOD_Raphyyy,5,1,0,0,100.0,0,0,1000,0,1,1,0,0,8.66963,0,0,0,231.428,1500,0
38,METHOD_MOLNMAN,5,1,2,6,599.2033,1,1,1000,0,1,4,0,0,81.22472,0,1,0,2090.015,1500,0
39,METHOD_xKriss,5,3,1,6,589.7585,0,6,1000,0,1,2,0,0,146.328842,0,0,0,1873.882,1500,0
40,METHOD_Aitzy,5,2,2,2,349.521667,0,3,1000,0,1,2,0,0,127.471718,0,1,0,2081.8,1500,0
41,17_qmcc,12,2,0,1,280.396,0,5,1000,0,1,1,0,0,4.454631,0,0,0,751.747,1500,0
42,17_shou,12,1,0,0,141.418,0,0,1000,0,0,0,0,0,0.0,0,0,0,540.028,1500,0
43,17_shox,12,1,0,3,254.787476,0,2,1000,0,1,1,0,0,23.6797848,0,0,0,810.09,1500,0
44,17_47Gamer,12,0,0,0,70.16472,0,0,1000,0,0,0,0,0,0.0,0,0,0,505.359,1500,0
45,M19_ELITEPLAYER,3,1,0,3,106.40802,0,4,1000,0,1,1,0,0,17.40569,0,1,0,1857.553,1500,0
46,M19_konstantinvk,3,3,0,4,337.981445,1,5,1000,0,1,1,0,0,103.895363,0,1,0,2074.93,1500,0
47,M19_xmpl,3,1,0,1,337.62207,0,0,1000,0,0,0,0,0,0.0,0,0,0,2033.768,1500,0
48,M19_BatulinS,3,2,2,6,585.645935,0,7,1000,0,1,1,0,0,18.20614,0,0,0,2108.3,1500,0
49,OpTic-Bahawaka,11,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,271.452,1500,0
50,OpTic-Valliate,11,0,0,0,95.9399948,0,1,1000,0,0,0,0,0,0.0,0,0,0,114.689,1500,0
51,OpTic-hypoc,11,1,0,1,214.232208,0,2,1000,0,0,0,0,0,0.0,0,0,0,944.067,1500,0
52,OpTic-Hetror,11,2,0,1,226.8542,0,1,1000,0,1,1,0,0,7.32011,0,0,0,939.513,1500,0
53,KNIGHTS_Draedon,16,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,156.196,1500,0
54,KNIGHTS_Voxsic,16,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,152.364,1500,0
