,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,PA_Deeda,13,0,0,0,158.12425,0,0,0,0,0.0,0,0,948.249
1,PA_4nte-,13,1,0,2,153.30934,0,5,1,1,74.018425,0,0,1045.716
2,PA_conepro21,13,0,0,4,72.84566,0,2,0,0,0.0,0,0,1045.714
3,PA_eeXtreMee,13,1,0,0,330.6315,0,0,0,0,0.0,0,0,1040.623
4,4HP_Semado,8,0,0,0,0.0,0,0,0,0,0.0,0,0,111.768
5,4HP_Raptor,8,0,0,6,92.01671,0,4,0,0,0.0,4,0,1334.899
6,4HP_1ncredible,8,0,0,4,172.25774,0,2,0,0,0.0,0,0,1256.162
7,4HP_LukeeV,8,1,0,5,329.4737,0,1,1,2,185.37878,0,0,1340.638
8,ESV_Mostfox,7,3,0,4,431.09198,0,0,1,1,78.42396,0,0,1389.44
9,ESV_GagaC,7,1,0,0,197.56403,0,0,0,0,0.0,1,0,1389.442
10,ESV_NmKK,7,1,0,2,63.28753,1,2,1,1,73.61591,0,0,1385.865
11,ESV_kizozoki,7,1,2,4,313.9448,0,4,0,0,0.0,1,0,1385.197
12,GT_StrixHunter,2,2,1,9,420.4679,1,7,1,1,73.633514,3,0,1814.759
13,GT_TschiTscha,2,2,2,11,329.7385,0,16,2,2,14.270699,0,0,1742.662
14,GT_ShoMy,2,3,3,3,771.515,1,1,1,4,186.50853,0,0,1814.761
15,GT_Toxic,2,4,2,7,598.9708,1,11,2,5,127.94958,1,0,1764.182
16,LFO_S1NY,6,1,0,3,100.0,0,4,1,1,14.6616955,0,0,931.232
17,LFO_marv,6,1,2,5,282.2521,0,9,1,1,54.165684,0,0,1411.565
18,LFO_rappha,6,0,0,0,0.0,0,0,0,0,0.0,0,0,580.574
19,404_RedgieBeardo,10,0,1,0,83.159996,0,0,0,0,0.0,0,0,721.228
20,404_bobboS,10,1,0,2,5.0154285,0,0,1,1,35.503456,0,0,715.206
21,404_BeeRus,10,1,0,4,104.19908,0,0,0,0,0.0,0,0,1156.067
22,404_InfiniTy,10,0,0,4,0.0,0,3,0,0,0.0,0,0,1156.069
23,TLD_Yuriy,9,1,1,4,252.28127,0,8,1,1,15.759538,0,0,1288.637
24,TLD_KARXX,9,1,0,3,123.90724,0,3,1,1,10.491307,0,0,1232.143
25,TLD_Momme,9,0,0,0,0.0,0,0,0,0,0.0,0,0,397.828
26,TLD_Godrillaa-,9,0,0,0,19.803396,0,0,0,0,0.0,0,0,1087.056
27,TSD_Velehos,11,0,0,4,0.0,0,0,0,0,0.0,0,0,1064.008
28,TSD_ivo,11,0,0,3,66.24907,0,2,0,0,0.0,0,0,1104.069
29,TSD_Mistake,11,0,0,1,0.0,0,0,0,0,0.0,0,0,1104.065
30,TSD_Friz,11,1,0,2,99.78637,0,0,0,0,0.0,0,0,1104.067
31,RL_Qbe,1,3,4,4,533.25415,1,3,2,4,143.70468,1,0,1814.881
32,RL_ivas,1,2,0,6,260.75702,0,7,0,0,0.0,1,0,1485.408
33,RL_Naylup,1,4,1,8,891.7959,1,3,1,7,206.8188,0,0,1814.881
34,RL_Lukarux,1,3,1,1,387.877,1,2,2,4,146.99922,0,0,1492.332
35,RSB_Justknight,3,0,0,2,0.0,0,1,0,0,0.0,0,0,953.345
36,RSB_Duality,3,2,2,9,252.20331,0,3,1,2,341.66495,0,0,1618.604
37,RSB_sWeD1sH,3,3,1,8,741.7325,1,12,1,2,37.257835,0,0,1618.602
38,RSB_Kosilica,3,2,0,3,317.11807,1,1,1,1,60.753056,0,0,944.353
39,SNIP_NIXZYEE,4,0,0,3,158.98813,0,4,0,0,0.0,3,0,1498.872
40,SNIP_Marcelek,4,1,0,8,308.4646,0,9,1,1,275.47913,1,0,1554.974
41,SNIP_ZEKO,4,0,2,2,202.4313,0,2,0,0,0.0,0,0,1528.509
42,SNIP_StEAL7hy,4,0,0,0,27.976185,0,0,0,0,0.0,0,0,623.654
43,MSF_curexi,12,0,0,2,127.79944,0,0,0,0,0.0,0,0,935.094
44,MSF_Ante,12,1,0,2,199.80498,0,3,2,2,108.12382,0,0,1063.58
45,MSF_dann1lo,12,1,0,2,228.96213,0,3,1,1,135.68558,0,0,1041.156
46,MF4_Double,5,2,2,7,456.51434,0,4,2,3,243.20691,1,0,1529.33
47,MF4_dogz3R,5,0,0,3,234.13858,0,2,0,0,0.0,0,0,1011.635
48,MF4_kleineman,5,3,2,6,386.8584,0,5,1,1,3.7740588,1,0,1399.558
49,MF4_KILYAKAi,5,2,0,2,286.94,0,14,2,2,32.213383,0,0,1059.009
50,SHP_borcale,15,1,0,3,286.13187,1,2,1,1,16.823341,0,0,1016.009
51,SHP_Juky844,15,0,0,1,0.0,0,0,0,0,0.0,1,0,1003.869
52,SHP_DelalaaCro,15,0,1,4,115.28999,0,2,0,0,0.0,0,0,954.361
53,SHP_smex,15,2,0,1,214.4459,1,1,2,2,40.2373,0,0,1000.053
