,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TE_alyagg,3,2,1,4,446.0007,0,2,1,2,171.86826,0,0,1555.818
1,TE_Kompot,3,0,1,3,227.238,0,0,0,0,0.0,0,0,705.879
2,TE_xmpl,3,1,2,0,707.02765,2,1,2,5,226.01227,0,0,1555.816
3,TE_Mellman,3,4,0,5,348.48355,1,6,1,4,139.52379,0,0,1555.821
4,OATH_Relo,4,0,0,6,206.83627,0,4,0,0,0.0,0,0,1330.175
5,OATH_Snakers,4,0,0,6,426.0951,0,4,0,0,0.0,0,0,1430.281
6,OATH_wo1f,4,0,0,3,65.937004,0,2,1,1,201.25516,0,0,1212.544
7,OATH_Shinboi,4,0,1,6,333.32394,0,10,0,0,0.0,2,0,1476.808
8,RED_raspu,7,1,0,0,0.0,0,0,0,0,0.0,0,0,598.077
9,RED_rustyzera,7,1,0,0,56.95001,0,0,1,1,21.717558,0,0,552.03
10,RED_and1FPS,7,0,0,0,0.0,0,0,0,0,0.0,0,0,123.756
11,RED_killdemo,7,0,0,2,82.114075,0,0,0,0,0.0,0,0,1315.272
12,ATH_Fludd,11,0,0,2,51.21756,0,0,0,0,0.0,0,0,623.857
13,ATH_Zoidm8,11,0,0,1,65.50177,0,1,0,0,0.0,0,0,654.269
14,ATH_Nick101,11,1,1,6,248.08728,1,5,1,1,26.884504,0,0,1074.468
15,ATH_Xtreme,11,3,0,4,299.28894,0,6,1,2,57.412445,0,0,1018.869
16,EXO_TaylorJay,9,1,1,3,124.6,0,2,1,1,8.446327,1,0,898.843
17,EXO_Balefrost,9,2,1,5,250.435,2,2,2,4,210.63809,0,0,1228.037
18,EXO_vegas,9,2,1,4,333.70386,1,3,2,2,58.477974,0,0,1131.571
19,EXO_PATKAPS,9,0,0,5,136.2904,0,8,1,1,15.641705,0,0,1259.687
20,WC_Kickstart,12,1,1,2,291.59357,1,6,1,2,37.725147,0,0,1070.465
21,WC_Keenan,12,1,0,4,241.24347,0,2,1,1,42.09167,0,0,1001.185
22,WC_Sharpshot4k,12,1,2,3,355.3779,0,3,1,1,49.68785,0,0,1067.046
23,WC_Woo1y,12,0,1,2,57.809998,0,8,0,0,0.0,0,0,1043.049
24,TL_mxey,8,1,1,5,143.3575,0,6,1,1,19.680109,0,0,1242.667
25,TL_Kaymind,8,0,0,1,91.39467,0,1,0,0,0.0,0,0,1214.507
26,TL_ibiza,8,1,0,6,181.90167,1,0,1,1,37.95122,0,0,1236.199
27,TL_jeemzz,8,0,0,5,73.85058,0,4,0,0,0.0,0,0,1274.723
28,SALT_mOnKeY,16,0,0,0,0.0,0,0,0,0,0.0,0,0,618.863
29,SALT_udyRR,16,0,0,0,23.369999,0,0,0,0,0.0,0,0,618.861
30,SALT_Shiv,16,0,0,1,59.9625,0,0,0,0,0.0,0,0,618.866
31,SALT_Naylup,16,0,0,0,21.842009,0,0,0,0,0.0,0,0,494.368
32,IG_Odstrelovac,13,0,1,3,132.9187,0,1,0,0,0.0,0,0,955.623
33,IG_PiXeL1K,13,3,0,5,387.13046,1,1,2,2,44.073154,0,0,973.564
34,IG_Zampeek,13,0,0,2,181.32185,0,3,0,0,0.0,0,0,973.557
35,IG_FreeKill,13,0,0,3,45.251083,0,3,0,0,0.0,1,0,973.56
36,FAZE_Fuzzface,2,1,2,5,437.5386,0,12,1,1,47.681236,0,0,1588.564
37,FAZE_Aitzy,2,5,1,4,454.86154,2,2,2,5,188.44917,0,0,1521.752
38,FAZE_ubah,2,2,0,4,340.63486,0,2,1,2,244.91875,0,0,1455.23
39,FAZE_Gustav,2,3,0,3,667.58435,1,2,3,6,174.4288,0,0,1588.567
40,WTSG_vard,1,1,0,8,343.278,0,3,1,2,70.96599,0,0,1588.594
41,WTSG_MiracU,1,0,0,4,96.84929,0,7,0,0,0.0,1,0,1588.594
42,WTSG_Iroh,1,4,3,8,862.2923,1,4,3,5,139.40582,0,0,1588.594
43,WTSG_Xiong,1,2,2,3,350.85583,0,6,1,2,43.067596,1,0,1588.594
44,STK_PurdyKurty,6,2,1,3,124.57424,0,4,1,1,213.60512,0,0,1340.417
45,STK_luke12,6,0,1,2,37.8841,0,1,0,0,0.0,0,0,1342.026
46,STK_aLOW,6,0,0,1,0.0,0,0,0,0,0.0,0,0,787.739
47,STK_Uncivil,6,0,1,3,422.28976,0,2,0,0,0.0,0,0,1342.028
48,NAVI_ceh9,5,0,0,2,132.14058,0,0,0,0,0.0,0,0,1196.987
49,NAVI_Bestoloch,5,0,0,3,29.741539,0,1,0,0,0.0,0,0,1197.754
50,NAVI_Kemba7,5,0,0,1,0.0,0,0,0,0,0.0,0,0,444.374
51,NAVI_TheTab,5,0,0,4,181.09462,0,1,1,1,113.514084,0,0,1413.763
52,OMK_TeaBone,10,0,0,3,0.0,0,6,0,0,0.0,0,0,1118.562
53,OMK_Vazku,10,0,0,1,195.5259,0,2,0,0,0.0,0,0,748.222
54,OMK_ivel,10,0,0,3,165.33083,0,1,0,0,0.0,0,0,746.429
55,OMK_PaG3,10,0,0,0,0.0,0,0,0,0,0.0,0,0,478.171
56,META_hiagguin,14,0,0,0,130.09952,0,0,0,0,0.0,0,0,917.515
57,META_sparkingg,14,0,0,4,91.89648,0,4,0,0,0.0,0,0,917.511
58,META_kyshenn,14,0,0,2,79.323845,0,0,0,0,0.0,0,0,917.518
59,META_vhz,14,0,0,1,56.044205,0,0,0,0,0.0,0,0,917.508
60,SNG_p0me,15,1,1,2,373.01962,0,11,0,0,0.0,0,0,901.451
61,SNG_kODAk1d,15,1,1,7,99.99999,0,0,0,0,0.0,0,0,893.877
62,SNG_quick,15,0,0,0,0.0,0,0,0,0,0.0,0,0,240.738
63,SNG_Harald,15,1,0,4,140.54832,0,9,1,1,6.249041,0,0,901.453
64,TE_xmpl,8,0,1,0,132.53249,0,0,0,0,0.0,0,0,359.749
65,TE_Kompot,8,0,0,7,184.26738,0,6,0,0,0.0,0,0,1147.712
66,TE_Mellman,8,2,0,5,214.70108,2,9,1,2,59.6673,0,0,1037.548
67,TE_alyagg,8,2,2,5,308.42245,0,9,0,0,0.0,1,0,1258.348
68,SNG_p0me,15,1,0,2,100.0,0,0,1,1,29.235397,0,0,571.597
