,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,UC_Salty,5,0,1,3,351.09824,0,3,0,0,0.0,0,0,1251.392
1,UC_prebs,5,1,1,6,302.35388,0,5,0,0,0.0,0,0,1597.493
2,UC_Sunny,5,1,0,4,407.06772,0,8,1,3,342.43643,0,0,1252.637
3,UC_rudii,5,3,1,6,507.37872,1,11,2,3,308.5135,1,0,1600.53
4,UM_StiCanPee,2,0,0,7,275.39313,0,12,0,0,0.0,2,0,1867.167
5,UM_Kisse,2,0,0,0,0.0,0,0,0,0,0.0,0,0,336.409
6,UM_Sphoof,2,5,1,6,450.29108,1,13,1,3,76.44925,1,0,1827.303
7,UM_Symphonize,2,1,2,3,411.79803,0,3,1,1,286.636,0,0,1866.396
8,NOM_PartyBeetle,8,2,0,6,286.64505,0,13,1,1,12.940551,0,0,1345.504
9,NOM_Snuskiduski,8,1,0,2,147.97,1,1,1,1,7.3836555,0,0,677.106
10,NOM_AveiMil,8,0,0,0,18.199852,0,0,0,0,0.0,0,0,661.132
11,NOM_Herkii,8,0,0,1,54.46862,0,0,0,0,0.0,0,0,627.715
12,OIL_Unability,12,0,0,3,0.0,0,1,0,0,0.0,0,0,1042.367
13,OIL_niel,12,0,0,1,138.28287,0,1,0,0,0.0,0,0,1031.473
14,OIL_DEV1ANT,12,1,0,3,100.0,0,4,0,0,0.0,0,0,1110.196
15,OIL_Disco,12,0,0,6,114.368965,0,4,0,0,0.0,0,0,1013.907
16,iB4_Krutz,9,0,0,0,87.42,0,0,0,0,0.0,0,0,381.74
17,iB4_CLAYZILLA,9,0,0,2,275.976,0,11,1,1,14.013816,1,0,1118.55
18,iB4_FELIX-j-,9,3,1,9,389.28406,0,12,1,2,46.965767,0,0,1334.448
19,IB4_Silerzz,9,2,2,7,562.9671,0,6,1,1,27.115881,0,0,1334.438
20,N71_kennyb0y,15,2,0,4,26.3445,0,0,0,0,0.0,0,1,949.738
21,N71_Hyper,15,0,0,0,0.0,0,1,0,0,0.0,0,0,949.001
22,N71_Ney,15,0,0,0,0.0,0,0,0,0,0.0,0,0,949.729
23,N71_Showie,15,0,0,0,71.28,0,1,0,0,0.0,0,0,949.719
24,NE_Leaqen,3,3,1,4,487.33307,1,6,3,4,49.857197,1,0,1640.22
25,NE_GLS,3,1,0,4,237.41098,1,6,1,1,4.2232523,1,0,1252.291
26,NE_boba,3,0,2,8,207.04276,0,12,0,0,0.0,0,0,1633.927
27,NE_4ff1,3,3,2,3,530.37524,0,1,1,2,31.341465,1,0,1628.109
28,CG_Fysickz,16,0,0,0,37.121864,0,1,0,0,0.0,0,0,926.307
29,CG_Himan,16,0,0,3,76.52158,0,5,0,0,0.0,0,0,856.441
30,CG_xmpl,16,0,0,2,103.27865,0,1,0,0,0.0,2,0,926.297
31,CG_DEX,16,0,0,3,18.0,0,3,0,0,0.0,0,0,868.722
32,AWOB_Spectro,14,0,0,3,124.48004,0,1,1,1,22.334715,1,0,986.904
33,AWOB_maskiNQQ,14,2,1,3,196.95291,0,2,1,1,16.375473,0,0,992.459
34,AWOB_Yippikayey,14,0,1,1,118.01555,0,1,0,0,0.0,0,0,998.875
35,AWOB_Isaksa,14,1,0,0,100.0,0,0,0,0,0.0,0,0,308.305
36,BFR_Chunk,13,0,0,0,0.0,0,0,0,0,0.0,0,0,597.769
37,BFR_Ultimatuma,13,0,0,5,155.35945,0,2,1,1,379.6693,0,0,1078.038
38,BFR_Gappyslappy,13,0,0,1,26.354345,0,0,0,0,0.0,0,0,1081.595
39,BFR_Lothe,13,0,0,3,195.1437,0,3,0,0,0.0,0,0,1081.604
40,AIR_glAmund,1,1,1,6,848.2002,2,5,2,3,86.1022,0,0,1867.298
41,AIR_Triquo,1,2,1,4,564.2508,0,5,1,1,102.05056,0,0,1487.193
42,AIR_Adle,1,3,2,8,445.56412,0,18,1,3,94.12273,1,0,1867.298
43,AIR_Ticko,1,4,0,5,1134.66,1,6,1,4,207.02602,1,0,1867.298
44,APKS_TekkerZ,6,2,0,3,591.55273,0,2,2,2,102.72661,0,0,1504.948
45,APKS_intenZ,6,1,0,4,246.75493,1,6,1,2,377.0614,1,0,1465.448
