,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,ORG_shecreated,14,1,1,1,260.83466,0,1,0,0,0.0,0,0,979.0
1,ORG_Thenderlost,14,0,0,0,68.6925,0,0,0,0,0.0,0,0,276.0
2,ORG_onur,14,3,0,1,435.7074,1,1,2,3,14.171426,0,0,1092.0
3,NAVI_Mellman,6,1,1,2,307.2721,0,4,2,2,61.715527,0,0,1456.0
4,NAVI_Qwizzy,6,0,1,3,74.399994,0,4,0,0,0.0,0,0,1244.0
5,NAVI_xmpl,6,1,0,1,186.34244,0,0,1,1,164.57834,0,0,1192.0
6,NAVI_alya,6,2,2,3,657.15436,1,5,2,4,61.688564,1,0,1492.0
7,SMB_rip9,7,0,0,5,0.0,0,2,0,0,0.0,0,0,1467.0
8,SMB_Bambaki,7,2,2,5,432.6284,0,3,0,0,0.0,0,0,1467.0
9,SMB_Hueth,7,2,0,9,232.74084,1,4,1,2,164.2698,0,0,1467.0
10,SMB_Apocalyp,7,0,1,3,77.7844,0,5,0,0,0.0,0,0,1440.0
11,ENCE_D1gg3r1,8,1,0,3,278.66495,0,2,0,0,0.0,0,0,1358.0
12,ENCE_Rustanmar,8,0,0,7,365.95346,0,6,1,2,432.5374,1,0,1366.0
13,ENCE_SKUIJKE,8,1,2,7,146.53,0,4,0,0,0.0,0,0,1366.0
14,ENCE_Tiikzu,8,0,0,3,23.347483,0,3,0,0,0.0,0,0,1137.0
15,RL_Lukarux,9,1,0,9,191.54997,0,8,1,1,15.019088,0,0,1328.0
16,RL_ivas,9,3,1,4,558.54407,0,6,2,4,89.44674,0,0,1351.0
17,RL_Qbe,9,2,1,3,92.59363,0,3,1,2,56.072872,0,0,1328.0
18,RL_Naylup,9,1,1,4,273.40762,0,3,1,1,2.7992747,1,0,1335.0
19,DA_vard,3,0,0,3,0.0,0,3,0,0,0.0,0,0,909.0
20,DA_Xiong,3,1,0,2,363.69635,0,2,1,1,15.281741,0,0,1449.0
21,DA_PiXeL1K,3,3,0,8,479.8369,1,8,2,4,30.637451,0,0,1607.0
22,DA_Jembty,3,1,1,2,191.3102,1,2,1,1,72.549995,0,0,1511.0
23,TL_mxey,4,0,0,7,70.92327,0,1,0,0,0.0,0,0,1585.0
24,TL_ibiza,4,0,0,3,0.0,0,2,0,0,0.0,0,0,1001.0
25,TL_clib,4,1,0,0,150.38141,1,1,1,1,26.631773,0,0,1018.0
26,TL_jeemzz,4,1,0,5,236.68864,1,3,1,1,188.45178,1,0,1585.0
27,SKD_Sikora,11,0,0,5,150.02951,1,5,1,1,10.509745,0,0,1277.0
28,SKD_Anonymous,11,1,0,1,144.85175,1,1,1,1,4.551654,0,0,1096.0
29,SKD_Mise,11,3,0,6,696.2768,0,5,1,3,312.50867,0,0,1277.0
30,SKD_NOOKIE,11,0,0,2,174.16441,0,0,0,0,0.0,0,0,997.0
31,VP_spyrro,15,3,0,4,322.49127,1,0,1,1,37.017654,0,1,1022.0
32,VP_BatulinS,15,0,0,3,60.494728,0,4,0,0,0.0,0,0,1022.0
33,VP_Perfect1ks,15,0,0,3,0.0,0,1,0,0,0.0,0,0,935.0
34,VP_Lu,15,0,0,3,26.186443,0,3,0,0,0.0,0,0,1022.0
35,QM_DaNt3-,2,1,0,2,146.94331,1,4,1,2,46.318043,0,0,1531.0
36,QM_Faultlessly,2,1,1,5,446.48077,1,1,1,2,16.979778,0,0,1661.0
37,QM_ADOUZ1E,2,3,0,6,827.89075,0,3,1,3,210.37822,0,0,1670.0
38,QM_fate,2,0,0,2,0.0,0,0,0,0,0.0,0,0,994.0
39,DiNG_Sai1,12,0,1,3,56.399998,0,2,0,0,0.0,0,0,1085.0
40,DiNG_Besto,12,2,0,0,503.40448,0,1,1,1,31.305649,0,0,1197.0
41,DiNG_Priyl,12,0,0,2,177.59999,0,2,0,0,0.0,1,0,1184.0
42,DiNG_ceh9,12,0,0,1,14.805206,0,3,0,0,0.0,0,0,1065.0
43,FAZE_Aitzy,10,1,0,5,286.5173,0,10,1,1,21.048801,0,0,1346.0
44,FAZE_Gustav,10,0,0,2,100.62612,0,1,0,0,0.0,0,0,634.0
45,FAZE_Fexx,10,1,1,4,451.17618,0,1,1,1,44.91717,1,0,1346.0
46,FAZE_Fuzzface,10,1,1,3,54.11303,0,11,0,0,0.0,0,0,1346.0
47,EIQ_Nowikk,16,0,0,2,157.23877,0,0,0,0,0.0,0,0,989.0
48,EIQ_Hawki,16,0,0,1,0.0,0,1,0,0,0.0,0,0,989.0
49,EIQ_RedgieBeardo,16,1,0,2,100.0,0,4,1,1,16.311352,0,0,715.0
50,EIQ_curexi,16,0,0,2,0.0,0,4,0,0,0.0,1,0,954.0
51,MTN_GOOSYARA666,5,1,0,2,463.91544,0,2,1,1,152.93695,1,0,1522.0
52,MTN_Layosh,5,2,0,4,138.34015,0,2,1,1,188.5951,0,0,1547.0
53,MTN_Granula,5,0,1,5,149.7303,0,6,0,0,0.0,1,0,1547.0
