,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,cgapubg33,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,772.483,0,0
1,cgapubg35_,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,226.746,0,0
2,cgapubg34,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,178.652,0,0
3,cgapubg36,8,0,0,7,89.39847,0,1,0,0,0,0,0,0,0.0,0,1500,0,0,1567.704,0,0
4,cgapubg66,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,177.123,0,0
5,cgapubg68,16,5,0,0,472.966827,2,0,0,0,4,5,0,0,4.618432,0,1500,0,0,912.132,0,0
6,cgapubg65,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,171.986,0,0
7,cgapubg67,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,835.49,0,0
8,cgapubg79,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,338.107,0,0
9,cgapubg77,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,177.329,0,0
10,cgapubg78,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,738.63,0,0
11,cgapubg80,20,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,172.37,0,0
12,cgapubg55,1,1,0,7,721.2309,1,3,0,0,1,6,0,0,56.4494324,0,1500,0,0,2046.716,0,0
13,cgapubg54,1,0,1,3,61.4673729,0,2,0,0,0,0,0,0,0.0,0,1500,2,0,2046.716,0,0
14,cgapubg53,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,307.952,0,0
15,cgapubg56,1,0,0,2,78.0,0,2,0,0,1,1,0,0,40.15268,0,1500,3,0,2046.716,0,0
16,cgapubg75,5,1,0,1,103.0,0,2,0,0,0,0,0,0,0.0,0,1500,0,0,1849.551,0,0
17,cgapubg74,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,817.516,0,0
18,cgapubg76,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,638.485,0,0
19,cgapubg73,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,1,0,1959.064,0,0
20,cgapubg42,17,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,310.8,0,0
21,cgapubg43,17,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,775.505,0,0
22,cgapubg44,17,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,403.217,0,0
23,cgapubg41,17,0,0,0,19.35,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,887.367,0,0
24,cgapubg02,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,855.505,0,0
25,cgapubg04,7,1,0,0,146.876343,1,0,0,0,1,2,0,0,4.122791,0,1500,0,0,1669.93,0,0
26,cgapubg01,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,851.501,0,0
27,cgapubg03,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,166.651,0,0
28,cgapubg63,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,176.853,0,0
29,cgapubg64,18,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,1,287.958,0,0
30,cgapubg62_,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,851.669,0,0
31,cgapubg61,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1500,0,0,810.519,0,0
32,cgapubg58,6,0,0,2,0.0,0,9,0,0,0,0,0,0,0.0,0,1500,0,0,1888.717,0,0
33,cgapubg60,6,0,0,0,0.0,0,4,0,0,0,0,0,0,0.0,0,1500,0,0,509.474,0,0
