,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,SZ_cocorou,20,2,0,3,249.879974,1,2,1000,0,1,2,0,0,26.0,0,0,0,1119.0,1500,0
1,SZ_Icebahn,20,0,1,2,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,1065.0,1500,0
2,SZ_Fa9ye,20,1,1,2,181.565079,0,0,1000,0,0,0,0,0,0.0,0,0,0,1089.0,1500,0
3,SZ_BONON,20,0,0,2,12.9125719,0,0,1000,0,0,0,0,0,0.0,0,0,0,1047.0,1500,0
4,AS9_Galiljp,1,1,1,4,110.556885,0,2,1000,0,1,1,0,0,16.0,0,0,0,1991.0,1500,0
5,AS9_Giru,1,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,732.0,1500,0
6,AS9_MiracleTV,1,1,2,7,322.7951,2,3,1000,0,1,3,0,0,90.0,0,2,0,1991.0,1500,0
7,AS9_MAO_TypeX,1,2,1,5,479.314056,0,2,1000,0,1,1,0,0,57.0,0,0,0,1991.0,1500,0
8,ZAP_sencal,16,1,0,1,59.3663177,0,1,1000,0,1,1,0,0,18.0,0,1,0,1276.0,1500,0
9,ZAP_Melfy,16,0,0,1,0.0,0,2,1000,0,0,0,0,0,0.0,0,0,0,1267.0,1500,0
10,ZAP_Amyuzuki,16,0,0,1,17.6311016,0,5,1000,0,0,0,0,0,0.0,0,0,0,1276.0,1500,0
11,ZAP_Faily,16,1,1,2,173.785049,0,6,1000,0,0,0,0,0,0.0,0,0,0,1276.0,1500,0
12,RJ_takomayo,12,0,0,0,0.0,0,1,1000,0,0,0,0,0,0.0,0,0,0,921.0,1500,0
13,RJ_Maron,12,0,0,3,70.0392151,0,3,1000,0,0,0,0,0,0.0,0,0,0,1345.0,1500,0
14,RJ_SeaKingJAWS,12,0,0,4,77.53874,0,6,1000,0,1,1,0,0,465.0,0,0,0,1505.0,1500,0
15,RJ_kendesu,12,2,0,3,138.85936,0,4,1000,0,0,0,0,0,0.0,0,0,0,1511.0,1500,0
16,PNF_d_AzuR,8,0,1,0,106.5195,0,0,1000,0,0,0,0,0,0.0,0,0,0,836.0,1500,0
17,PNF_Sw_bear,8,1,1,1,74.20981,0,0,1000,0,1,1,0,0,80.0,0,0,0,1479.0,1500,0
18,PNF_Apple,8,0,0,0,53.4672623,0,0,1000,0,0,0,0,0,0.0,0,0,0,182.0,1500,0
19,PNF_1GODzilla1,8,2,0,4,503.6351,1,7,1000,0,1,3,0,0,374.0,0,0,0,1720.0,1500,0
20,CGW_MrYoppy,18,1,0,2,126.46,0,2,1000,0,1,1,0,0,8.0,0,0,0,913.0,1500,0
21,CGW_MarimoSTAR,18,0,0,0,0.0,0,1,1000,0,0,0,0,0,0.0,0,0,0,1204.0,1500,0
22,CGW_kurad,18,0,0,3,27.6515617,0,6,1000,0,0,0,0,0,0.0,0,0,0,1197.0,1500,0
23,CGW_LevArie,18,0,1,0,9.45539951,0,5,1000,0,0,0,0,0,0.0,0,0,0,516.0,1500,0
24,AE_EveRyn,3,1,4,1,748.8964,1,0,1000,0,2,4,0,0,208.0,0,0,0,1968.0,1500,0
25,AE_cro,3,0,3,0,113.524567,0,0,1000,0,0,0,0,0,0.0,0,0,0,1970.0,1500,0
26,AE_FireMight,3,1,1,2,275.3237,0,4,1000,0,1,1,0,0,218.0,0,0,0,1970.0,1500,0
27,AE_rebekka094,3,1,3,4,273.168243,0,9,1000,0,1,3,0,0,167.0,0,0,0,1970.0,1500,0
28,SSS_Sabrac,2,2,2,4,628.972961,0,5,1000,0,2,2,0,0,92.0,0,1,0,1982.0,1500,0
29,SSS_CrazySam,2,7,3,7,1307.75171,1,6,1000,0,4,10,0,0,222.0,0,1,0,1991.0,1500,0
30,SSS_gabha,2,1,0,1,111.310043,0,0,1000,0,1,1,0,0,198.0,0,0,0,1198.0,1500,0
31,SSS_XhanZ1119,2,1,0,1,298.8866,0,0,1000,0,1,1,0,0,112.0,0,0,0,1225.0,1500,0
32,N4U_Satou,13,4,0,2,637.369,0,4,1000,0,2,3,0,0,43.0,0,1,0,1497.0,1500,0
33,N4U_JapanNo1,13,0,0,3,94.45085,0,2,1000,0,0,0,0,0,0.0,0,0,0,1497.0,1500,0
34,N4U_Brazilian,13,1,0,3,347.545746,0,2,1000,0,1,2,0,0,102.0,0,0,0,1497.0,1500,0
35,N4U_amonot,13,1,0,2,99.8354,0,0,1000,0,1,1,0,0,29.0,0,1,0,1497.0,1500,0
36,USG_CiNVe,7,2,1,3,312.024841,0,0,1000,0,1,2,0,0,369.0,0,0,0,1450.0,1500,0
37,USG_clockbox,7,0,1,3,190.427368,0,2,1000,0,0,0,0,0,0.0,0,0,0,1724.0,1500,0
38,USG_Akira90,7,2,1,2,271.919861,0,0,1000,0,2,3,0,0,11.0,0,1,0,1432.0,1500,0
39,USG_Scrqmb1e,7,2,0,3,141.391937,0,2,1000,0,0,0,0,0,0.0,0,0,0,1724.0,1500,0
40,Zoo_Ruytv-,17,0,0,2,0.0,0,9,1000,0,0,0,0,0,0.0,0,0,0,1220.0,1500,0
41,Zoo_Rush-,17,0,0,4,25.4313335,0,4,1000,0,0,0,0,0,0.0,0,0,0,1265.0,1500,0
42,Zoo_sm0o0ky,17,2,0,1,112.168663,0,1,1000,0,0,0,0,0,0.0,0,1,1,1267.0,1500,0
43,Zoo_PlayerJP,17,1,0,4,100.962761,0,7,1000,0,1,1,0,0,0.0,0,0,0,1265.0,1500,0
44,SBL_RccKMYbe,5,0,1,4,53.5373878,0,6,1000,0,0,0,0,0,0.0,0,0,0,1250.0,1500,0
45,SBL_Tetranyan,5,2,1,5,270.367584,1,6,1000,0,2,3,0,0,53.0,0,1,0,1864.0,1500,0
46,SBL_SixVII,5,0,0,8,126.205872,0,4,1000,0,1,1,0,0,79.0,0,1,0,1802.0,1500,0
47,SBL_Lia-EMT,5,4,1,5,626.81604,2,0,1000,0,1,5,0,0,218.0,0,1,0,1864.0,1500,0
48,V3FManju_,19,0,0,1,0.9524846,0,1,1000,0,0,0,0,0,0.0,0,0,0,1192.0,1500,0
49,V3F_Brost,19,1,2,1,164.920074,1,1,1000,0,1,2,0,0,195.0,0,0,0,1192.0,1500,0
50,V3F_yobiyobi,19,0,0,1,0.0,0,2,1000,0,0,0,0,0,0.0,0,0,0,974.0,1500,0
51,V3F_whitejack,19,0,0,2,15.8983326,0,1,1000,0,0,0,0,0,0.0,0,0,0,1192.0,1500,0
52,IAB_Yuukun,10,1,3,0,64.08019,0,0,1000,0,0,0,0,0,0.0,0,1,0,1476.0,1500,0
53,IAB_Revenge,10,2,2,6,334.461029,0,4,1000,0,1,4,0,0,333.0,0,0,0,1664.0,1500,0
54,IAB_ruka_14,10,3,1,1,191.828827,0,0,1000,0,1,1,0,0,129.0,0,0,0,1075.0,1500,0
55,IAB_Fumiaki,10,0,1,1,59.2112732,0,0,1000,0,0,0,0,0,0.0,0,0,0,1053.0,1500,0
56,CAG_masashi,15,1,1,2,146.067215,0,1,1000,0,1,1,0,0,20.0,0,1,0,1356.0,1500,0
57,CAG_Meuta,15,0,1,2,83.66929,0,0,1000,0,0,0,0,0,0.0,0,0,0,1239.0,1500,0
58,CAG_fuki6_,15,0,0,1,0.0,0,1,1000,0,0,0,0,0,0.0,0,0,0,563.0,1500,0
59,CAG_Kimari,15,1,0,3,96.9280548,0,2,1000,0,0,0,0,0,0.0,0,0,0,1387.0,1500,0
60,Vif_tidimiyy,9,0,0,1,49.36782,0,2,1000,0,0,0,0,0,0.0,0,1,0,1663.0,1500,0
