,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,ESS_PEC,10,0,1,9,208.22978,0,3,0,0,0.0,0,0,1473.369
1,ESS_BoA,10,1,0,2,94.48514,1,0,0,1,44.086025,1,0,1233.003
2,ESS_Wh1tETiger,10,0,0,3,172.02,0,2,0,0,0.0,1,0,1473.359
3,ESS_kituneiri,10,0,0,0,0.0,0,0,0,0,0.0,0,0,143.356
4,IMG_Magiacafe,5,2,1,5,542.1092,0,9,0,0,0.0,0,0,1702.637
5,IMG_moyataka,5,0,0,0,0.0,0,0,0,0,0.0,0,0,1041.524
6,IMG_Weakest4me,5,1,0,1,200.5445,0,0,0,1,16.533619,0,0,1038.131
7,IMG_mochamoro,5,3,0,8,478.8647,1,3,0,4,106.21005,0,0,1698.506
8,EB_Kei,12,0,0,2,0.0,0,0,0,0,0.0,0,0,1298.994
9,EB_pafeman,12,0,0,5,0.0,0,1,0,0,0.0,0,0,1317.593
10,EB_Prominence,12,1,0,6,16.778357,1,11,0,1,39.74873,0,0,1350.293
11,EB_SuperSub,12,0,1,4,91.122025,0,3,0,0,0.0,0,0,1319.696
12,ATG_Dubia,13,0,1,1,249.73589,0,2,0,1,33.32561,2,0,1017.475
13,ATG_Aflacco,13,0,2,5,87.42,0,4,0,0,0.0,0,0,1017.485
14,ATG_babukichi,13,0,1,1,122.96149,0,2,0,0,0.0,0,0,1016.362
15,ATG_nachi,13,2,0,0,222.26343,1,0,0,2,16.796574,0,0,940.703
16,GEA_MiKeNEKO,14,0,0,2,144.17352,0,0,0,0,0.0,0,0,861.987
17,GEA_Doragon,14,2,0,0,169.40398,0,0,0,0,0.0,0,0,930.887
18,GEA_BuNBuN,14,0,0,1,56.399998,0,2,0,0,0.0,0,0,932.138
19,GEA_KARIKUN,14,1,0,2,186.51753,0,7,0,1,28.269966,0,0,976.12
20,A5_matsukou,9,0,0,6,148.3285,0,8,0,0,0.0,1,0,1569.03
21,A5_Sy4N,9,1,1,3,153.77808,0,2,0,0,0.0,1,0,1569.019
22,A5_IgniteK,9,0,0,3,181.84753,0,3,0,0,0.0,0,0,1552.828
23,A5_Litt1eKing,9,0,0,3,116.01821,0,2,0,1,67.38911,0,0,1552.491
24,LAG_PKPLAYER,2,2,0,7,443.20718,0,10,0,1,1.2574337,0,0,1870.42
25,LAG_Hek7or,2,2,0,1,310.45398,1,3,0,2,52.69156,1,0,1748.337
26,LAG_DAHLIA,2,0,0,2,0.0,0,0,0,0,0.0,0,0,1285.221
27,LAG_LOLIPE,2,2,0,4,200.0,0,3,0,1,12.332878,1,0,1597.392
28,QR_Revenge,3,1,2,7,407.47156,0,4,0,0,0.0,1,0,1766.795
29,QR_LevA,3,2,0,8,254.80669,0,3,0,2,77.80395,0,0,1766.803
30,QR_SouLM4N,3,2,1,3,225.30597,1,2,0,2,99.113434,0,0,1766.787
31,QR_sixthsense,3,0,0,0,0.0,0,0,0,0,0.0,0,0,105.763
32,ISG_DAIKI,4,2,0,5,397.5046,0,3,0,3,103.37762,0,0,1745.082
33,ISG_Masashi,4,0,2,2,60.669262,0,5,0,0,0.0,0,0,1251.735
34,ISG_Mochi,4,3,0,3,290.08362,0,3,0,4,141.78558,0,0,1276.466
35,ISG_Yone,4,1,0,3,501.37216,0,1,0,0,0.0,0,0,1721.998
36,DLH_punixi,6,3,0,4,307.61,3,2,0,3,22.08959,0,0,1622.472
37,DLH_Gootn,6,1,1,3,174.26112,0,2,0,1,22.2818,0,0,1621.625
38,DLH_Kein,6,0,0,7,194.68622,1,6,0,1,28.05905,0,0,1693.284
39,DLH_Yasusi,6,1,0,5,90.44768,0,1,0,0,0.0,2,0,1639.765
40,RC_osakana,1,3,3,7,625.0123,0,10,0,2,32.98844,0,0,1617.488
41,RC_coolit,1,3,2,5,534.84973,1,8,0,4,31.220924,0,0,1870.551
42,RC_albert,1,1,3,4,116.34,1,4,0,2,12.212347,0,0,1870.551
43,RC_Suzukipoke,1,3,2,1,395.57828,1,2,0,4,78.32541,1,0,1870.551
44,MS_Nanamr,7,1,0,3,162.97917,0,7,0,1,196.27324,0,0,1560.463
45,MS_decha,7,1,1,4,570.497,0,0,0,0,0.0,0,0,1635.89
46,MS_YAMATA,7,2,0,5,517.0292,0,6,0,1,9.716648,2,0,1635.881
47,MS_reusKD,7,1,2,1,192.47375,0,1,0,1,268.67538,1,0,1635.9
48,AFE_SapporoNo1,11,0,1,6,58.298775,0,2,0,0,0.0,0,0,1396.092
49,AFE_Neko96,11,1,0,6,125.95458,0,4,0,0,0.0,0,0,1394.679
50,AFE_Mika22n,11,1,0,5,147.28227,0,3,0,1,13.30162,0,0,1396.101
51,ARC_Pet,8,0,0,1,159.81702,0,1,0,0,0.0,1,0,1600.136
52,ARC_Hykw,8,0,0,5,34.66224,0,7,0,0,0.0,0,0,1581.69
53,ARC_Can,8,0,0,2,74.381996,0,1,0,0,0.0,0,0,1600.128
54,ARC_Re6i,8,2,1,2,96.681595,0,1,0,1,18.656504,0,0,1387.386
55,AFE_SapporoNo1,12,0,0,1,0.0,0,1,0,0,0.0,0,0,1144.931
56,AFE_Mika22n,12,0,0,2,72.85925,0,0,0,0,0.0,0,0,1139.153
57,AFE_Neko96,12,1,0,0,91.75774,0,0,0,0,0.0,0,0,1144.921
58,AFE_KouChan,12,0,0,2,118.79089,0,0,0,0,0.0,0,0,1144.941
59,MS_decha,13,0,0,2,99.58365,0,0,0,0,0.0,0,0,1015.947
60,MS_reusKD,13,1,0,1,275.12476,0,1,0,0,0.0,0,0,1015.964
61,MS_Nanamr,13,0,0,4,91.83485,0,2,0,0,0.0,0,0,1015.955
62,MS_YAMATA,13,0,0,1,47.897717,0,2,0,0,0.0,0,0,982.875
63,ATG_Dubia,14,0,0,1,42.585503,0,0,0,0,0.0,0,0,834.669
64,ATG_babukichi,14,0,0,2,117.43448,0,0,0,0,0.0,0,0,834.659
65,ATG_nachi,14,0,0,2,146.67415,0,3,0,0,0.0,0,0,388.354
