,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,SM_Summer,10,2,3,2,237.43234,0,3,2,2,140.78253,0,0,1292
1,SM_azha,10,3,1,5,358.5274,0,8,1,1,9.412466,1,0,1285
2,SM_Xiaodi,10,1,0,1,94.86669,0,1,1,2,387.0511,0,0,980
3,SM_SaoMouMou,10,0,2,1,151.95,0,0,0,0,0.0,0,0,1268
4,Alo_yugee_,13,0,0,6,60.38805,0,0,0,0,0.0,0,0,1017
5,Alo_Seongjang,13,0,0,1,0.0,0,0,0,0,0.0,0,0,1085
6,Alo_Yakk,13,1,0,1,189.47343,1,1,1,1,341.81845,0,0,1112
7,Alo_Alohayo,13,1,0,3,168.11876,0,0,0,0,0.0,0,0,855
8,PSC_Jude,4,0,1,6,80.520004,0,0,0,0,0.0,0,0,1060
9,PSC_Rage,4,2,1,6,238.23747,0,7,1,1,25.96377,0,0,1464
10,PSC_Minsung,4,1,0,8,394.5264,0,6,1,2,28.832867,0,1,1559
11,PSC_pkmuse,4,0,0,7,351.508,0,3,1,1,1.8252612,3,0,1472
12,KR_ayoh,3,1,0,6,283.90036,0,3,0,0,0.0,0,0,1583
13,KR_EscA,3,0,0,6,42.801727,0,2,0,0,0.0,2,0,1583
14,KR_dlghfjs7,3,0,0,3,34.863266,0,0,0,0,0.0,0,0,1534
15,KR_suktv,3,3,0,10,317.1142,1,6,1,1,388.10294,0,0,1583
16,Bang_Sa,12,0,1,4,90.726974,0,1,0,0,0.0,0,0,1116
17,Bang_Gouzi,12,1,1,3,101.82971,0,1,2,2,51.106083,0,0,1124
18,Bang_77,12,0,1,1,99.38824,0,0,0,0,0.0,0,0,913
19,Bang_Rua,12,1,1,4,75.0,0,2,1,1,7.28472,0,0,1117
20,TL_PIGFF,6,1,2,11,128.65642,0,9,1,1,45.440067,0,0,1464
21,TL_karlwow,6,0,1,1,82.799995,0,1,0,0,0.0,0,0,395
22,TL_Awen,6,3,1,6,465.67676,0,1,1,3,41.896805,1,0,1474
23,TL_xiongcute,6,0,1,5,174.47119,0,3,1,1,46.365116,2,0,1463
24,MAC_Boradori,2,1,1,6,242.26735,0,2,1,2,176.94844,3,0,1718
25,MAC_DAEVA,2,3,0,7,475.25546,0,6,1,3,19.845531,2,0,1724
26,MAC_Handsomerok,2,0,1,10,148.96219,1,13,1,1,3.959834,1,0,1720
27,MAC_AIMING,2,1,1,5,515.0599,1,3,1,2,73.8212,0,0,1552
28,Gp_Damin97,1,4,3,6,675.5773,0,4,1,1,4.5846095,1,0,1725
29,Gp_Muk,1,3,2,4,896.6021,2,0,2,4,129.65755,0,0,1725
30,Gp_Yangkwon2,1,4,0,5,287.14423,1,3,2,3,242.63443,0,0,1725
31,Gp_Parkpro,1,2,3,4,399.9832,0,2,1,2,19.042076,1,0,1725
32,DG_47Gamer,14,0,0,0,58.08,0,1,0,0,0.0,0,0,425
33,DG_Regret,14,1,0,2,332.68173,0,6,1,1,9.958924,0,0,819
34,DG_iSy,14,0,0,0,0.0,0,0,0,0,0.0,0,0,422
35,EL_Zack61,16,1,0,0,100.0,0,0,0,0,0.0,0,0,219
36,EL_6G,16,1,1,2,38.38,0,2,0,0,0.0,0,0,955
37,EL_KAKA,16,0,1,4,61.62,0,0,0,0,0.0,0,0,955
38,EL_TonyBox,16,0,0,4,0.0,0,4,0,0,0.0,0,0,960
39,BG_Juwon,8,0,0,4,89.22241,0,5,0,0,0.0,0,0,1352
40,BG_Thorkorea,8,1,0,5,238.29233,1,1,1,1,72.765686,0,0,1352
41,BG_WOORIXIKK,8,2,0,7,293.80405,0,3,1,1,247.47617,0,0,1352
42,BG_Psychopathy,8,0,0,10,29.814564,0,7,0,0,0.0,1,0,1243
43,QM_PHNB,9,0,0,0,0.0,0,0,0,0,0.0,0,0,294
44,QM_Qdnb,9,1,0,6,100.0,1,0,1,2,353.24158,0,0,1288
45,QM_Hxnb,9,0,0,0,0.0,0,0,0,0,0.0,0,0,280
46,QM_v1nb,9,1,2,1,189.99017,0,0,0,0,0.0,0,0,1296
47,AG_blackwalk,7,1,0,0,148.4,0,0,1,1,8.762392,0,0,403
48,AG_DaeHwi,7,1,0,5,281.7531,0,5,1,1,258.5543,0,0,1316
49,AG_Draft,7,0,0,6,92.53843,0,3,0,0,0.0,0,0,1357
50,AG_JAEXNA,7,0,1,5,233.14148,0,4,0,0,0.0,0,0,1309
51,SXTH_AixMeng,5,2,1,3,354.122,1,1,1,1,72.07457,1,0,1543
52,SXTH_Tigerking,5,1,0,3,172.47003,0,2,1,2,90.40518,0,0,1519
53,SXTH_Lanzhanfei,5,1,0,3,34.733,1,1,2,3,59.46129,0,0,1495
54,SXTH_ZiWu,5,4,1,4,698.45306,0,5,1,1,23.27473,0,0,1543
55,CZ_PPYang,15,0,0,3,113.12125,0,2,0,0,0.0,0,0,999
56,CZ_Xshuo,15,0,0,3,69.563675,0,1,0,0,0.0,0,0,970
