,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_kr-bjs3_01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,2.275
1,es_kr-bjs3_01,2,0,0,2,29.699999,0,4,0,0,0.0,0,0,991.911
2,af_rio,1,0,0,0,154.0368,0,0,1,1,37.278767,0,0,991.929
3,BUO_DIVE,3,1,2,5,220.43483,0,2,1,1,39.787647,0,0,1438.991
4,BUO_JUN-TV,3,1,2,8,430.5549,0,0,2,3,101.38648,2,0,1760.369
5,BUO_606,3,0,2,3,104.292046,0,0,0,0,0.0,0,0,1151.43
6,SBC_Simsn,11,0,0,3,64.97948,0,1,0,0,0.0,0,0,869.284
7,SBC_BBABBO,11,1,0,6,206.50537,0,1,1,1,104.697266,0,0,1062.591
8,SBC_danuri,11,0,0,4,0.0,0,2,0,0,0.0,0,0,1075.452
9,JUN_Jeonha,13,0,0,3,0.0,0,0,0,0,0.0,0,0,714.048
10,JUN_JxNa,13,0,0,4,25.117428,0,3,0,0,0.0,0,0,990.985
11,JUN_suk_tv,13,0,0,4,255.90926,0,1,1,1,228.15039,1,0,995.454
12,JUN_heoyena,13,1,0,5,104.99769,0,2,1,1,78.63036,1,0,995.451
13,GPS_Parkpro,9,0,0,3,88.85056,0,2,1,1,72.96565,1,0,778.698
14,GPS_BJleejisang,9,0,1,9,36.417995,0,4,0,0,0.0,0,0,1207.802
15,GPS_Psychopathy-,9,3,0,8,488.41837,1,9,2,5,223.7048,0,0,1463.312
16,ZDK_Damin97,5,0,2,4,143.60936,0,2,0,0,0.0,2,0,1597.653
17,ZDK_Hayeong,5,0,0,1,49.2,0,0,1,1,215.91457,0,0,1210.981
18,ZDK_Rozar-_-,5,1,0,4,413.8775,0,3,0,0,0.0,0,0,1589.645
19,ZDK_K1rby-_-,5,1,0,6,483.76938,0,4,1,1,33.8752,0,0,1687.632
20,S2J_GuJaMyoung,1,1,2,5,332.75784,0,5,1,2,138.05107,0,0,1798.903
21,S2J_BJ_S2,1,2,1,6,219.95251,1,7,2,3,46.846283,0,0,1798.903
22,S2J_JINDDOTV,1,0,1,6,144.86963,0,2,0,0,0.0,0,0,1798.903
23,S2J_KARINTV,1,2,2,8,344.28622,0,4,0,0,0.0,0,0,1798.903
24,TDU_KwonJinMan,6,0,0,0,0.0,0,0,0,0,0.0,0,0,985.645
25,TDU_SADO,6,2,0,3,155.82574,0,3,1,1,126.07847,0,0,1358.978
26,TDU_YouE,6,0,0,4,0.0,0,5,0,0,0.0,0,0,1473.076
27,TDU_Thorkorea,6,4,0,9,525.038,0,5,2,5,410.18958,0,0,1579.108
28,WTK_VEN,10,0,1,6,52.52966,0,1,0,0,0.0,0,0,1145.178
29,WTK_GIKEN,10,0,1,8,240.44682,0,9,0,0,0.0,0,0,1241.477
30,WTK_GEONHU,10,0,0,2,0.0,0,1,0,0,0.0,0,0,777.552
31,WTK_PIKER,10,0,0,5,22.844055,0,2,0,0,0.0,0,0,1153.64
32,DDB_wooddook,8,4,0,8,677.88293,1,19,3,4,20.932724,0,0,1544.479
33,DDB_xikk,8,0,0,3,0.0,0,1,0,0,0.0,0,1,952.424
