,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,A13_EVERMORE,16,0,0,0,0.0,0,0,0,0,0.0,0,0,923.132
1,A13_Gyuyeon,16,0,0,1,0.0,0,0,0,0,0.0,0,0,903.316
2,A13_Curious,16,0,0,3,24.6,0,4,0,0,0.0,0,0,986.187
3,A13_Merald,16,0,0,0,57.809998,0,0,0,0,0.0,0,0,910.243
4,DNW_CheongGak,13,0,2,3,22.140001,0,0,0,0,0.0,0,0,1112.1
5,DNW_JunSu,13,1,0,3,111.625694,0,3,1,1,183.42137,0,0,1112.081
6,DNW_DG98,13,2,1,3,166.23384,1,1,1,2,365.27655,0,1,1112.111
7,DNW_Raeng,13,0,1,2,0.0,0,0,0,0,0.0,0,0,1112.09
8,EM_KiraV,9,1,0,4,178.6756,0,4,1,1,23.809847,0,0,1258.662
9,EM_k1nch,9,1,0,3,32.96582,0,3,1,1,29.10953,0,0,1086.65
10,EM_Lash,9,0,0,0,0.0,0,0,0,0,0.0,0,0,507.214
11,EM_Makne,9,0,0,7,97.7275,1,1,1,1,32.199085,0,0,1242.086
12,emT_LeClo,11,0,1,4,239.23676,0,3,1,1,79.82478,0,0,1158.485
13,emT_Alphaca,11,1,1,4,72.45999,0,2,0,0,0.0,0,0,1177.53
14,emT_seoul,11,1,0,5,138.06282,0,0,1,1,24.794744,0,0,1028.031
15,emT_emTek,11,0,0,1,64.43695,0,0,0,0,0.0,0,0,1026.78
16,OPGG_Ayoh,2,1,2,5,237.6683,0,14,1,1,246.77588,0,0,1761.265
17,OPGG_Silky,2,0,1,3,475.03625,1,0,1,1,219.3725,0,0,1761.255
18,OPGG_int,2,2,2,3,284.9546,0,4,1,1,125.3359,0,0,1761.283
19,OPGG_Untop,2,0,0,3,116.90715,0,1,0,0,0.0,0,0,1761.275
20,APK_KIMGONI,12,0,0,2,0.0,0,0,0,0,0.0,0,0,952.423
21,APK_Rain1ng,12,1,0,2,89.86843,0,0,0,0,0.0,0,0,1015.239
22,APK_Hwan2da,12,1,0,4,100.0,1,8,1,1,48.243217,0,0,1156.318
23,APK_maczora,12,0,0,1,25.305178,0,0,0,0,0.0,0,0,829.536
24,ENT_indigo,1,4,5,1,599.6282,1,1,2,4,191.99728,0,0,1761.347
25,ENT_Seongjang,1,1,2,5,273.422,0,5,1,1,225.24643,1,0,1761.347
26,ENT_kAyle,1,1,2,1,339.0008,0,1,2,3,129.92136,0,0,1761.347
27,ENT_Under,1,2,1,5,741.89844,0,7,1,2,200.672,1,0,1761.347
28,AF_Shadow,15,1,0,3,178.105,0,4,0,0,0.0,0,0,993.358
29,AF_EJ,15,1,0,3,125.374435,0,1,1,1,27.774014,0,0,987.844
30,AF_NN,15,0,0,0,57.24218,0,1,0,0,0.0,1,0,993.339
31,AF_R0wha,15,1,0,5,246.7571,1,2,1,1,45.1422,0,0,993.348
32,T1_Rex,4,1,1,1,202.90755,0,5,0,0,0.0,0,0,1267.751
33,T1_Treasure,4,0,0,1,27.060001,0,0,0,0,0.0,0,0,1378.061
34,T1_JeffLocka,4,2,1,7,315.20718,1,14,1,1,104.03595,0,0,1570.783
35,T1_Adder,4,0,1,2,176.01546,0,2,1,1,0.0,0,0,1392.737
36,VLG_Hikari,8,0,0,2,245.50287,0,1,0,0,0.0,0,0,1380.789
37,VLG_Spear,8,0,0,7,28.101002,0,0,0,0,0.0,1,0,1364.586
38,VLG_Lambu,8,0,0,2,95.339096,0,0,0,0,0.0,0,0,1371.562
39,VLG_DAEVA,8,0,0,2,311.4988,0,2,0,0,0.0,0,0,1396.394
