,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta,rank_points
0,DTN_ISCO,11,0,0,4,0.33107,0,5,1000,0,0,0,0,0,0.0,0,0,0,772.208,1500,0,
1,DTN_Hikari,11,0,0,2,0.33107,0,10,1000,0,0,0,0,0,0.0,0,0,0,772.869,1500,0,
2,DTN_DDoCHI,11,0,0,3,0.0,0,6,1000,0,0,0,0,0,0.0,0,0,0,766.499,1500,0,
3,DTN_Klocky,11,0,1,6,3.992741,0,13,1000,0,0,0,0,0,0.0,0,0,0,1092.92,1500,0,
4,KDG_Lash,13,0,0,1,20.2685871,0,1,1000,0,0,0,0,0,0.0,0,0,0,1048.512,1500,0,
5,KDG_Draft,13,0,0,3,104.813263,0,1,1000,0,0,0,0,0,0.0,0,0,0,1071.802,1500,0,
6,KDG_HngKeon,13,1,2,3,86.19523,0,3,1000,0,1,1,0,0,156.946228,0,0,0,1022.472,1500,0,
7,KDG_BIGSAN,13,2,0,2,105.20459,1,1,1000,0,2,2,0,0,38.0688324,0,0,0,1022.48,1500,0,
8,Lunatic_DDDoit,15,1,1,2,163.1741,0,4,1000,0,0,0,0,0,0.0,0,0,0,1010.333,1500,0,
9,Lunatic_NewCode,15,1,0,2,194.080765,0,1,1000,0,1,1,0,0,3.307396,0,0,0,1010.326,1500,0,
10,Lunatic_Seoul,15,1,1,2,206.739227,1,2,1000,0,1,1,0,0,173.671921,0,0,0,1010.33,1500,0,
11,Lunatic_School,15,0,1,1,132.351929,0,7,1000,0,0,0,0,0,0.0,0,0,0,1006.535,1500,0,
12,SKT_Daze,10,0,0,0,83.42,0,0,1000,0,0,0,0,0,0.0,0,0,0,204.158,1500,0,
13,SKT_Adder,10,1,0,3,196.807434,0,3,1000,0,0,0,0,0,0.0,0,0,0,1168.643,1500,0,
14,SKT_PLIKHE,10,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,205.068,1500,0,
15,SKT_JeffLocka,10,0,0,1,90.6255646,0,2,1000,0,0,0,0,0,0.0,0,0,0,1175.459,1500,0,
