,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,danawa_suppak,16,0,0,1,49.02,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,985.437,0.0,0.0
1,danawa_yacha,16,0,0,2,28.38,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,985.445,0.0,0.0
2,danawa_Juwon,16,0,0,1,0.0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,985.45,0.0,0.0
3,danawa_C4tch,16,0,0,3,91.1636047,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,976.276,0.0,0.0
4,APK_Black9,15,0,0,3,20.8952484,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,949.257,0.0,0.0
5,APK_KIMGONI,15,0,0,2,33.2059174,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1033.52,0.0,0.0
6,APK_LeClo,15,0,0,3,0.0,0,4,0.0,0.0,1,1,0.0,0.0,151.027649,0.0,0.0,0,0,1033.511,0.0,0.0
7,APK_Voici,15,1,0,4,196.542969,0,3,0.0,0.0,1,1,0.0,0.0,363.863464,0.0,0.0,1,0,986.517,0.0,0.0
8,KSR_pbans,1,4,2,9,366.28714,1,3,0.0,0.0,1,5,0.0,0.0,150.675583,0.0,0.0,1,0,1806.127,0.0,0.0
9,KSR_Qurate,1,2,5,7,364.96347,1,2,0.0,0.0,2,2,0.0,0.0,26.9406414,0.0,0.0,0,0,1806.127,0.0,0.0
10,KSR_Elca,1,3,0,5,706.7448,2,4,0.0,0.0,3,6,0.0,0.0,81.60687,0.0,0.0,2,0,1806.127,0.0,0.0
11,KSR_hngkeon,1,2,0,6,570.281,0,2,0.0,0.0,1,1,0.0,0.0,19.413105,0.0,0.0,0,0,1444.99,0.0,0.0
12,EntusF_Yakk,8,4,0,1,486.267944,1,2,0.0,0.0,1,4,0.0,0.0,45.57997,0.0,0.0,0,0,1452.811,0.0,0.0
13,EntusF_indigo,8,1,1,0,234.294373,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1471.912,0.0,0.0
14,EntusF_kAyle,8,0,0,1,169.114059,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,970.339,0.0,0.0
15,EntusF_Seongjang,8,0,0,2,227.7312,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1469.367,0.0,0.0
16,VSG_Starlord,4,1,0,0,170.447845,0,0,0.0,0.0,1,1,0.0,0.0,263.159851,0.0,0.0,0,0,1115.97,0.0,0.0
17,VSG_Daengchae,4,0,0,2,86.77137,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1313.471,0.0,0.0
18,VSG_Hwan2da,4,2,1,5,88.89194,1,1,0.0,0.0,1,1,0.0,0.0,211.512146,0.0,0.0,0,0,1457.482,0.0,0.0
19,VSG_Hulk,4,3,0,5,407.9263,0,3,0.0,0.0,1,3,0.0,0.0,40.599205,0.0,0.0,0,0,1608.453,0.0,0.0
20,LavegaA_Maul,3,0,0,1,60.6299973,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1118.413,0.0,0.0
21,LavegaA_Bellua,3,0,0,2,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1794.263,0.0,0.0
22,LavegaA_Pallas,3,1,0,1,142.523376,0,0,0.0,0.0,1,1,0.0,0.0,30.5781517,0.0,0.0,0,0,1084.131,0.0,0.0
23,LavegaA_Drave,3,0,0,1,74.40151,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1085.03,0.0,0.0
24,Hunters_Giken,7,2,0,5,145.9295,0,1,0.0,0.0,2,2,0.0,0.0,181.446472,0.0,0.0,0,0,1117.694,0.0,0.0
25,Hunters_suk,7,1,0,5,134.460312,0,6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1507.177,0.0,0.0
26,Hunters_Pio,7,0,1,2,73.10528,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1125.382,0.0,0.0
27,Hunters_SexyPIG,7,1,2,3,39.4076,0,6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1123.456,0.0,0.0
28,MVP_JuNe,13,0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1097.429,0.0,0.0
29,MVP_Spear,13,2,0,2,222.074615,1,1,0.0,0.0,1,1,0.0,0.0,12.85235,0.0,0.0,0,0,1100.718,0.0,0.0
30,MVP_JOHN,13,1,1,1,228.522629,0,1,0.0,0.0,1,1,0.0,0.0,7.93865728,0.0,0.0,0,0,1100.707,0.0,0.0
31,MVP_asura,13,0,1,0,243.869751,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1100.714,0.0,0.0
32,Cesti_miha,14,1,0,1,178.17688,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1074.697,0.0,0.0
33,Cesti_coldbuff,14,1,0,0,154.761414,0,0,0.0,0.0,1,1,0.0,0.0,28.0594254,0.0,0.0,0,0,1073.659,0.0,0.0
34,Cesti_xikk,14,0,0,3,90.47628,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1087.46,0.0,0.0
35,Cesti_MYway,14,1,0,0,175.644348,0,0,0.0,0.0,1,1,0.0,0.0,19.80285,0.0,0.0,0,0,1087.47,0.0,0.0
36,AFF_Style,5,3,0,4,419.6776,1,0,0.0,0.0,2,4,0.0,0.0,175.964172,0.0,0.0,0,0,1441.217,0.0,0.0
37,AFF_Shadow,5,0,5,4,322.890381,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1592.857,0.0,0.0
38,AFF_Lambu,5,0,0,1,0.0,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1084.173,0.0,0.0
39,AFF_NN,5,1,1,4,198.499969,0,1,0.0,0.0,1,2,0.0,0.0,205.708359,0.0,0.0,0,0,1577.031,0.0,0.0
40,EM_Lash,12,0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,772.511,0.0,0.0
41,EM_RyaN,12,0,0,2,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1109.223,0.0,0.0
42,EM_siege,12,3,1,3,284.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1106.647,0.0,0.0
43,EM_KiraV,12,3,0,4,274.240021,1,0,0.0,0.0,3,3,0.0,0.0,21.3523026,0.0,0.0,2,0,1145.183,0.0,0.0
