,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,p0me,5,1,1,4,201.566513,1,1,0.0,0.0,1,2,0.0,0.0,18.2728825,0.0,0.0,1,0,1474.296,0.0,0.0
1,RiboxD,5,2,2,4,326.14,0,3,0.0,0.0,1,1,0.0,0.0,181.864059,0.0,0.0,0,0,1459.79,0.0,0.0
2,Pand4e,5,2,2,6,535.456055,1,4,0.0,0.0,1,2,0.0,0.0,19.85857,0.0,0.0,0,0,1485.143,0.0,0.0
3,Loquix,5,2,0,7,176.693573,0,2,0.0,0.0,1,1,0.0,0.0,15.4291439,0.0,0.0,1,0,1460.333,0.0,0.0
4,R0nner,8,1,0,1,100.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,664.488,0.0,0.0
5,Nehibol,8,0,0,2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,979.931,0.0,0.0
6,pG_LOGAN,8,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,979.936,0.0,0.0
7,pG_Capitanbooblo,8,0,0,2,298.023132,0,6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1316.016,0.0,0.0
8,O_Heyno,7,0,0,6,171.51181,0,2,0.0,0.0,1,1,0.0,0.0,121.329681,0.0,0.0,0,0,1314.373,0.0,0.0
9,DuhWS,7,0,0,4,91.47308,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1300.261,0.0,0.0
10,Trancoso_,7,0,1,7,153.404892,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1334.423,0.0,0.0
11,hiPoW,7,0,0,3,26.9185753,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1246.403,0.0,0.0
12,BD_FA1SKA,2,1,1,7,277.675873,0,2,0.0,0.0,1,1,0.0,0.0,49.9514923,0.0,0.0,2,0,1814.511,0.0,0.0
13,BD_Killdemo,2,0,0,4,214.91626,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1771.63,0.0,0.0
14,BD_b1rck,2,2,0,4,47.9144669,1,7,0.0,0.0,1,2,0.0,0.0,49.25288,0.0,0.0,1,0,1814.514,0.0,0.0
15,BD_H11jr,2,1,3,4,250.389252,0,2,0.0,0.0,1,1,0.0,0.0,230.306091,0.0,0.0,0,0,1814.517,0.0,0.0
16,Ragnardoix,3,1,0,7,371.610168,0,3,0.0,0.0,1,1,0.0,0.0,85.13526,0.0,0.0,1,0,1803.023,0.0,0.0
17,Harald013,3,3,0,6,655.1776,1,10,0.0,0.0,1,2,0.0,0.0,90.98377,0.0,0.0,0,0,1803.029,0.0,0.0
18,BLT_ernzxr,3,0,1,2,37.2218246,0,0,0.0,0.0,1,1,0.0,0.0,55.7176743,0.0,0.0,0,0,1481.808,0.0,0.0
19,SzylzEN,3,5,1,7,975.7567,0,3,0.0,0.0,2,4,0.0,0.0,58.77803,0.0,0.0,1,0,1803.025,0.0,0.0
20,RelaNce,9,3,0,2,260.7,0,1,0.0,0.0,1,2,0.0,0.0,86.21548,0.0,0.0,0,0,1155.258,0.0,0.0
21,Yunkosh,9,2,0,2,177.156372,0,2,0.0,0.0,1,1,0.0,0.0,69.47567,0.0,0.0,1,0,1144.391,0.0,0.0
22,dTz0r,9,2,1,5,563.653564,1,10,0.0,0.0,1,2,0.0,0.0,113.515526,0.0,0.0,0,0,1160.757,0.0,0.0
23,NecroAQN,9,2,2,5,492.665833,0,1,0.0,0.0,2,3,0.0,0.0,89.76643,0.0,0.0,1,0,1271.193,0.0,0.0
24,MvG_N0RAN142,13,2,0,2,285.62027,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1151.391,0.0,0.0
25,MvG_AleeRv,13,0,0,5,45.6480255,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1149.385,0.0,0.0
26,MvG_EINKEL,13,0,0,1,122.892891,0,8,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1151.4,0.0,0.0
27,MvG_Kuzask,13,0,0,2,0.0,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1045.054,0.0,0.0
28,BRC_ps1copata,1,1,1,4,344.444061,0,9,0.0,0.0,2,2,0.0,0.0,11.5095768,0.0,0.0,0,0,1814.655,0.0,0.0
29,BRC_rustyzera,1,1,2,3,448.9161,0,7,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1814.655,0.0,0.0
30,BRC_raspu,1,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,577.155,0.0,0.0
31,BRC_and1FPS,1,3,2,3,821.762146,0,5,0.0,0.0,2,4,0.0,0.0,301.2242,0.0,0.0,1,0,1814.655,0.0,0.0
32,rogiwOw,12,0,0,1,139.318,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1181.403,0.0,0.0
33,GBLxD,12,1,0,3,69.39711,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1195.433,0.0,0.0
34,LorenSid,12,2,0,3,164.775177,0,2,0.0,0.0,2,2,0.0,0.0,49.12701,0.0,0.0,1,0,1195.428,0.0,0.0
35,Rds149,12,1,0,5,20.6262264,0,3,0.0,0.0,1,1,0.0,0.0,52.71497,0.0,0.0,0,0,1182.526,0.0,0.0
36,swag-boosted,4,2,2,4,547.311646,1,11,0.0,0.0,1,2,0.0,0.0,236.1981,0.0,0.0,2,0,1559.222,0.0,0.0
37,Raphaa-,4,2,0,3,341.501465,0,6,0.0,0.0,1,1,0.0,0.0,158.737625,0.0,0.0,1,0,1569.805,0.0,0.0
38,c4ss1n,4,0,2,0,336.347534,0,0,0.0,0.0,1,1,0.0,0.0,63.43779,0.0,0.0,1,0,1486.65,0.0,0.0
39,FLG1,4,3,1,3,499.925171,0,1,0.0,0.0,3,4,0.0,0.0,18.9335022,0.0,0.0,0,0,1413.212,0.0,0.0
