,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,T8_YaaBull,4,1,1,3,143.56714,0,0,1,2,52.288742,1,0,1147
1,T8_Palecks,4,1,0,4,143.32228,1,2,1,1,3.2995014,0,0,1436
2,T8_xennny-,4,1,1,3,137.44446,1,4,1,1,56.645668,1,0,1459
3,T8_Psycho-Idiot,4,3,2,5,504.88052,1,8,2,5,109.24519,0,0,1490
4,4MA_SNZWALD,12,0,0,4,0.0,0,0,0,0,0.0,0,0,1050
5,4MA_Idkeron,12,0,0,3,91.76066,0,0,0,0,0.0,0,0,687
6,4MA_FLASHY,12,0,0,2,0.0,0,1,0,0,0.0,0,0,684
7,4MA_itsZeiko,12,1,0,4,149.0927,0,0,1,1,200.96764,0,0,1049
8,ORN_Gwen,6,2,0,1,275.5403,0,2,1,2,372.11313,0,0,1462
9,ORN_Tater,6,1,2,5,331.26227,0,4,0,0,0.0,0,0,1458
10,ORN_DillAnn,6,0,1,8,368.83124,1,5,1,1,99.3373,0,0,1448
11,ORN_dyeLiFT,6,0,0,2,57.755363,0,0,1,1,274.95163,0,0,1151
12,SNO_Chadtchieboi,14,2,0,5,36.278206,0,4,1,2,192.7041,0,0,934
13,SNO_Lister,14,0,0,3,139.68898,0,3,0,0,0.0,0,0,911
14,SNO_PizzaDaddy,14,0,0,0,0.0,0,0,0,0,0.0,0,0,589
15,SNO_Kynes,14,1,0,1,0.0,0,1,0,0,0.0,0,1,637
16,GDK_gHosTyGGG,13,3,1,5,275.56354,1,7,1,2,39.317677,1,0,974
17,GDK_marqed,13,2,1,3,110.133316,0,4,1,1,242.75145,1,0,968
18,GDK_Hunter1337-,13,1,2,2,170.60774,1,4,1,1,50.053955,1,0,907
19,GDK_SPASTIC,13,1,0,1,92.6531,0,0,1,1,198.24715,0,0,794
20,SF_Uncivil,1,0,1,9,131.64278,1,3,1,3,305.37784,0,0,1422
21,SF_SILERZZ,1,1,1,5,413.07022,0,2,2,2,114.18857,1,0,1647
