,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,SSG_Bahawaka,12,4,0,7,609.8984,0,4,0,0,1,1,0,0,5.18137264,0,0,0,0,1241.05,0,0
1,SSG_Valliate,12,1,0,4,264.4962,0,3,0,0,1,1,0,0,121.829704,0,0,0,0,999.086,0,0
2,SSG_Jsank,12,2,2,4,269.68335,0,6,0,0,0,0,0,0,0.0,0,0,1,0,996.472,0,0
3,SSG_Hetror,12,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,843.056,0,0
4,SIM_pentalol,1,0,2,3,187.3042,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1841.32,0,0
5,SIM_Czechshooter,1,0,1,3,343.130676,0,3,0,0,0,0,0,0,0.0,0,0,1,0,1841.32,0,0
6,SIM_Lobes,1,1,1,6,515.0484,0,6,0,0,2,2,0,0,62.40271,0,0,0,0,1841.32,0,0
7,SIM_CherryPoppin,1,1,3,4,213.217,0,0,0,0,1,2,0,0,207.82164,0,0,1,0,1841.32,0,0
8,THC_doon,10,0,1,3,134.230515,0,1,0,0,0,0,0,0,0.0,0,0,0,0,961.929,0,0
9,THC_Lush,10,1,1,2,193.752228,0,2,0,0,1,1,0,0,9.706614,0,0,1,0,1291.879,0,0
10,THC_Atom,10,1,1,4,79.11001,0,2,0,0,2,2,0,0,28.8094559,0,0,0,0,1291.885,0,0
11,THC_Charity,10,2,1,2,329.0368,1,2,0,0,1,2,0,0,84.46611,0,0,0,0,1279.563,0,0
12,C9_Pr0phie,13,1,0,0,169.372025,1,2,0,0,1,1,0,0,9.169046,0,0,0,0,1132.234,0,0
13,C9_hwinn,13,0,0,3,68.43736,0,2,0,0,0,0,0,0,0.0,0,0,0,1,1127.829,0,0
14,C9_Kaymind,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,384.067,0,0
15,C9_Nerf,13,0,0,4,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1094.618,0,0
16,SQ_Keenan,4,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,629.879,0,0
17,SQ_TonyV,4,0,0,1,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,644.391,0,0
18,SQ_Woo1y,4,1,1,4,297.367676,0,2,0,0,1,4,0,0,159.82016,0,0,0,0,1545.492,0,0
19,SQ_TGLTN,4,3,0,1,477.878418,1,6,0,0,1,2,0,0,178.613922,0,0,0,0,891.493,0,0
20,TS_sharky,2,4,2,5,436.2431,0,9,0,0,1,4,0,0,99.2391052,0,0,0,0,1841.262,0,0
21,TS_Meluke,2,0,2,3,145.0912,0,9,0,0,1,1,0,0,80.5148239,0,0,1,0,1541.077,0,0
22,TS_YaBoiDre,2,3,3,5,412.119,1,7,0,0,2,3,0,0,52.1607475,0,0,1,0,1839.972,0,0
23,TS_Zanpah,2,2,0,8,694.4429,0,9,0,0,2,3,0,0,60.28721,0,0,0,0,1830.897,0,0
24,WC_toumai,16,0,0,0,33.1069145,0,0,0,0,0,0,0,0,0.0,0,0,0,0,466.656,0,0
25,WC_SharpShot,16,1,0,2,159.0849,0,1,0,0,1,1,0,0,23.0372429,0,0,0,0,899.122,0,0
26,WC_pride,16,0,0,0,77.9976959,0,0,0,0,0,0,0,0,0.0,0,0,0,0,881.024,0,0
27,WC_CAD3N,16,0,0,1,157.278381,0,1,0,0,0,0,0,0,0.0,0,0,0,0,899.116,0,0
28,END_SomeThang,15,1,0,0,202.555023,0,2,0,0,0,0,0,0,0.0,0,0,0,0,488.753,0,0
29,END_Krispyer,15,0,0,0,21.285,0,0,0,0,0,0,0,0,0.0,0,0,1,0,466.147,0,0
30,END_wo1f,15,0,0,2,0.0,0,3,0,0,0,0,0,0,0.0,0,0,0,1,1082.109,0,0
31,END_Relo,15,1,1,0,366.073029,0,1,0,0,1,1,0,0,186.151108,0,0,0,0,1082.116,0,0
32,LZR_Adam,6,2,1,1,127.950172,1,1,0,0,1,2,0,0,95.0757751,0,0,0,0,1426.672,0,0
33,LZR_Uncivil,6,2,0,3,250.866837,0,0,0,0,1,2,0,0,264.868134,0,0,1,0,1465.697,0,0
34,LZR_aLOW,6,1,2,1,323.559875,0,0,0,0,1,1,0,0,422.816376,0,0,1,0,1454.593,0,0
35,LZR_PurdyKurty,6,0,2,3,90.2568741,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1465.701,0,0
36,GG_Miccoy,3,3,0,3,322.5574,0,1,0,0,2,4,0,0,90.72877,0,0,1,0,1569.223,0,0
37,GG_Shrimzy,3,0,1,4,23.2200012,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1310.979,0,0
38,GG_DrasseL,3,2,1,3,433.4043,0,1,0,0,1,1,0,0,59.33057,0,0,0,0,1574.406,0,0
39,GG_BALLOC,3,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1083.2,0,0
40,NV_PATKAPS,5,3,1,0,358.30542,1,0,0,0,1,1,0,0,41.2758827,0,0,1,0,1472.54,0,0
