,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,DGE_Corsac,9,2,0,6,481.76395,0,5,0,3,55.10396,0,0,1301.483
1,DGE_f1nna,9,0,0,0,0.0,0,0,0,0,0.0,0,0,506.366
2,DGE_Kropp,9,1,0,2,287.4985,0,2,0,0,0.0,0,0,1342.545
3,DGE_Reno,9,0,0,2,0.0,0,4,0,0,0.0,1,0,1230.561
4,OATH_Relo,2,0,1,4,91.4805,0,5,0,0,0.0,0,0,1771.596
5,OATH_PATKAPS,2,1,0,5,182.66501,0,4,0,2,23.890396,0,0,1793.739
6,OATH_Balefrost,2,0,0,6,168.0631,0,1,0,0,0.0,0,0,1592.655
7,OATH_Snakers,2,2,0,3,138.18939,0,1,0,0,0.0,1,0,1592.665
8,ATC_Marcelek,8,0,0,5,77.66113,0,7,0,0,0.0,1,0,1434.188
9,ATC_Melon,8,1,0,4,186.42229,0,7,0,0,0.0,0,0,1266.72
10,ATC_KnorkiS,8,1,0,5,121.43216,0,3,0,0,0.0,0,0,1573.64
11,ATC_Aghila,8,1,0,3,287.3544,0,4,0,0,0.0,0,0,1564.185
12,DUEL_DannyG,15,0,0,4,0.0,0,3,0,0,0.0,1,1,975.431
13,DUEL_Woo1y,15,0,0,4,29.241337,0,3,0,0,0.0,0,0,977.109
14,DUEL_Cherry,15,1,0,4,70.75867,0,1,0,0,0.0,0,1,952.666
15,DUEL_Lampalot,15,1,0,3,128.63135,0,4,0,0,0.0,1,0,1006.385
16,FBL_rhyp,1,0,2,7,181.66353,0,5,0,1,13.962693,2,0,1793.873
17,FBL_hellaaaaaa,1,2,2,7,206.36496,0,3,0,3,376.20016,0,0,1793.873
18,FBL_Haxete,1,3,1,8,363.98657,0,3,0,4,89.321846,0,0,1793.873
19,FBL_GregShotGG,1,2,4,4,517.3087,1,0,0,5,372.61044,2,0,1793.873
20,SQ_TGLTN,5,4,2,7,730.1355,1,7,0,5,90.24836,1,0,1724.894
21,SQ_M1ME,5,1,2,2,319.39285,0,2,0,1,152.74467,0,0,1232.824
22,SQ_Shrimzy,5,0,1,5,100.81796,0,7,0,0,0.0,0,0,1265.47
23,SQ_hwinn,5,0,0,0,0.0,0,0,0,0,0.0,0,0,273.58
24,303_DRich,12,0,0,0,0.0,0,0,0,0,0.0,0,0,504.346
25,303_Voxsic,12,0,1,3,70.47327,0,3,0,0,0.0,1,0,1179.332
26,303_LANDOOON,12,1,0,3,42.0,0,3,0,1,84.55678,0,0,1228.682
27,303_HoneyBadger,12,3,0,6,470.9196,2,5,0,2,89.66084,0,0,1230.705
28,CG_ZrayGOD,10,1,0,6,237.0946,0,3,0,2,46.09172,0,0,1275.207
29,CG_Maji,10,2,3,2,349.63742,0,5,0,2,7.258707,0,0,1295.364
30,CG_Ripp3r,10,1,1,4,62.781548,0,6,0,1,5.406694,0,0,1229.552
31,CG_Crawfresh,10,2,2,3,124.86949,0,2,0,1,34.11238,0,0,1222.478
32,ILL_Adam,3,3,2,4,479.1962,0,3,0,2,37.250233,0,0,1768.783
33,ILL_Freemeplease,3,0,1,7,130.25842,0,2,0,0,0.0,0,0,1768.773
34,ILL_Topdawg,3,0,0,6,57.964855,0,7,0,0,0.0,0,0,1404.092
35,ILL_icyflex,3,2,0,9,265.13153,0,1,0,1,109.75119,0,0,1768.763
36,RAD_Waldoe,14,1,0,0,208.89423,0,0,0,1,18.073372,0,0,1048.03
37,RAD_LosHD,14,0,0,0,25.861847,0,0,0,0,0.0,0,0,1055.399
38,RAD_Miccoy,14,0,1,0,76.92305,0,0,0,0,0.0,0,0,1054.788
39,RAD_Gaxy,14,0,0,0,148.46085,1,0,0,1,390.34415,0,0,1055.41
40,STK_aLOW,7,1,2,4,198.32011,0,4,0,0,0.0,0,0,1463.167
41,STK_PurdyKurty,7,0,0,6,174.87503,0,3,0,0,0.0,1,0,1619.374
42,STK_luke12,7,2,0,10,364.964,0,4,0,1,207.73293,1,0,1595.358
43,STK_Uncivil,7,2,2,7,551.0175,0,5,0,1,23.051916,1,0,1619.384
44,HARD_Chubba,6,0,4,1,105.66059,0,1,0,0,0.0,1,0,1623.841
45,HARD_Meluke,6,1,0,3,206.49431,0,3,0,3,149.21814,0,0,1560.452
