,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,DUEL_mykLe,14,0,0,2,0.0,0,1,0,0,0.0,0,0,962.137
1,DUEL_Woo1y,14,0,0,3,20.295,0,1,0,0,0.0,0,0,979.863
2,DUEL_Lampalot,14,0,0,2,0.0,0,12,0,0,0.0,0,0,1148.29
3,DUEL_Cherry,14,0,0,1,19.730673,0,0,0,0,0.0,0,0,896.207
4,GR_Lister,7,1,1,0,151.505,0,0,1,1,178.09135,0,0,800.791
5,GR_Darth,7,0,2,3,260.9426,0,2,0,0,0.0,0,0,1393.24
6,GR_Stylez,7,2,2,4,320.48007,1,9,1,4,313.79102,0,0,1394.919
7,GR_Mia,7,0,2,3,133.72916,0,0,1,2,313.38068,1,0,1394.91
8,LBR_GuaB,5,1,3,5,196.69513,0,9,1,2,423.23703,1,0,1580.986
9,LBR_Addit,5,1,1,3,293.94595,0,2,1,1,14.784418,0,0,1582.277
10,LBR_IceTech,5,2,3,4,348.91553,1,14,1,3,106.987434,0,0,1532.313
11,LBR_SimplyMatt,5,0,2,8,201.48615,0,3,0,0,0.0,0,0,1587.899
12,ILL_Icyflex,10,2,0,0,164.25029,0,0,1,1,22.130033,0,0,1017.414
13,ILL_Ranger,10,0,1,3,279.667,0,3,0,0,0.0,0,0,1297.867
14,ILL_Freemeplease,10,0,0,4,28.98,0,2,0,0,0.0,0,0,1291.48
15,ILL_Topdawg,10,0,2,3,127.47188,0,6,0,0,0.0,0,0,1254.385
16,STK_Uncivil,13,1,0,7,100.0,0,2,1,1,15.689664,0,0,1157.288
17,STK_aLOW,13,0,1,4,64.0,0,3,0,0,0.0,0,0,1157.309
18,STK_luke12,13,2,0,8,226.53493,1,2,1,2,216.51814,0,0,1157.298
19,STK_PurdyKurty,13,0,0,6,84.99988,0,3,0,0,0.0,0,0,1152.618
20,CG_Maji,6,3,0,9,139.56303,1,13,2,2,16.721752,0,0,1494.502
21,CG_Ripp3r,6,0,1,6,27.060001,0,7,0,0,0.0,0,0,1315.752
22,CG_Delta,6,0,0,6,37.73338,0,5,0,0,0.0,0,0,1208.848
23,CG_Zray,6,1,0,4,39.26662,0,10,1,1,104.27786,0,0,1264.426
24,DGE_Kropp,2,2,0,5,354.06958,1,1,1,2,163.7701,0,0,1678.685
25,DGE_Reno,2,0,0,3,229.78534,0,0,0,0,0.0,0,0,1678.662
26,DGE_f1nna,2,0,0,7,331.53995,0,5,0,0,0.0,1,0,1678.67
27,DGE_Monte,2,1,1,4,168.73265,0,1,1,1,166.75604,0,0,1678.678
28,COM_DTreats,8,0,1,2,180.90338,0,2,0,0,0.0,0,0,1070.822
29,COM_Victxr,8,1,0,1,426.01187,0,0,1,2,95.308846,0,0,1220.048
