,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,BW_k1te,3,1,0,6,232.58508,0,4,1,1,96.1297,1,1,1689.179
1,BW_hyunny,3,0,0,3,36.425404,0,1,0,0,0.0,0,0,1248.806
2,BW_Melon,3,0,0,5,252.98207,0,10,0,0,0.0,1,0,1607.194
3,BW_1440x1080,3,1,1,6,339.3628,0,2,1,1,5.679238,4,0,1689.191
4,CALM_Zoveren,11,0,0,3,182.58414,0,2,0,0,0.0,0,0,1194.169
5,CALM_Nlan,11,0,0,1,80.40621,1,0,1,1,15.880545,0,0,1145.794
6,CALM_PANKILL,11,1,0,4,189.54582,1,4,1,1,7.3548336,0,0,1264.378
7,CALM_Yusouglee,11,1,0,3,335.28662,0,2,2,2,7.583949,0,0,1264.388
8,ZEN_Lataa,5,1,1,7,456.8269,0,3,1,2,139.88486,2,0,1475.248
9,ZEN_Mystery,5,0,0,4,62.69404,0,0,0,0,0.0,1,0,1456.391
10,ZEN_Roth,5,9,2,7,1195.5225,1,3,2,5,65.24375,0,0,1598.451
11,ZEN_Kickstart,5,2,2,5,465.29193,0,6,1,2,56.1808,1,0,1478.251
12,HC_kholG,7,0,0,2,164.66383,0,1,0,0,0.0,0,0,1230.331
13,HC_Jsnow4life,7,0,0,2,54.690273,0,2,0,0,0.0,0,0,1219.778
14,HC_Dox,7,3,0,5,409.4662,1,3,3,4,17.120703,0,0,1415.623
15,GS_Xero,2,3,0,9,814.7541,1,8,1,3,170.79662,0,0,1788.664
16,GS_MORTI,2,2,2,6,237.61197,0,4,1,1,65.86995,1,0,1788.675
17,GS_Trigs,2,0,2,3,567.6476,0,1,1,1,21.105724,1,0,1591.098
18,WC_Sharpshot4k,13,3,0,3,369.62274,0,1,0,0,0.0,1,0,1142.615
19,WC_HoneyBadger,13,0,0,6,91.97849,0,4,0,0,0.0,0,0,1236.949
20,WC_pentalol,13,1,1,4,269.68665,0,8,0,0,0.0,0,0,1237.282
21,WC_Keenan,13,1,0,6,352.89832,0,7,1,2,213.0173,1,0,1237.291
22,1I_Zoomar,9,1,0,4,380.83643,0,1,0,0,0.0,3,0,1281.199
23,1I_Monharti,9,1,0,3,224.15196,0,3,1,2,15.608551,0,0,1288.087
24,1I_Duubie,9,0,1,3,119.44696,0,1,0,0,0.0,0,0,1286.132
25,1I_JAYFII,9,0,0,3,20.633257,0,0,0,0,0.0,0,0,1140.34
26,BE_Deathmore,8,0,0,3,222.30441,0,3,0,0,0.0,0,0,1385.604
27,BE_NiMaith,8,0,0,2,157.1055,0,7,0,0,0.0,0,0,1385.907
28,BE_Airichan,8,1,0,2,278.50162,0,1,0,0,0.0,1,0,1393.041
29,BE_Wicked,8,2,0,0,217.51399,0,1,0,0,0.0,1,0,1392.816
30,64UP_Hoshi,16,0,0,0,0.0,0,0,0,0,0.0,0,0,391.209
31,64UP_brokestatus,16,0,0,3,31.509832,0,1,0,0,0.0,0,0,697.036
32,64UP_Rjx,16,0,0,1,23.408915,0,0,0,0,0.0,0,0,652.447
33,64UP_Sociopath,16,0,0,0,65.71319,0,0,0,0,0.0,0,0,651.801
34,BM_Protuhge,12,0,0,4,67.04427,0,6,0,0,0.0,0,0,1083.733
35,BM_Mcluvin,12,0,0,4,149.41844,0,5,0,0,0.0,1,0,1249.445
