,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GEX_Leo,13,0,0,2,0.0,0,1,0,0,0.0,0,0,1102.983
1,GEX_sophiya666,13,0,0,2,90.53319,0,0,0,0,0.0,0,0,1131.829
2,GEX_kane,13,0,0,4,30.21,0,1,0,0,0.0,0,0,1163.392
3,GEX_ChiaWei1031,13,0,0,2,53.79011,0,0,0,0,0.0,0,0,1071.371
4,IFTY_Boliang,11,1,0,1,178.9541,0,4,0,0,0.0,0,0,1230.47
5,IFTY_Jiaoyang,11,0,0,1,77.23372,0,0,0,0,0.0,0,0,1230.467
6,IFTY_LongSkr,11,0,0,1,371.85532,0,1,1,1,14.109147,0,0,1227.149
7,SDV_Turtle,3,0,0,1,132.70866,0,0,0,0,0.0,0,0,1704.323
8,SDV_Leviz,3,0,0,5,93.96342,0,5,0,0,0.0,1,0,1729.678
9,SDV_Jettt,3,1,0,6,131.88106,0,2,1,2,180.58482,1,0,1737.999
10,SDV_Nickyyy,3,0,1,1,206.72919,0,1,1,1,100.04548,0,0,1706.681
11,TSM_Gustav,2,2,4,6,682.0168,1,12,1,3,107.36714,1,1,1752.794
12,TSM_rawryy,2,1,2,7,157.12122,1,3,1,2,162.74908,0,0,1529.729
13,TSM_mykLe,2,2,0,4,644.2565,1,9,2,5,129.74678,1,0,1719.695
14,TSM_Iroh,2,5,0,7,537.382,0,7,2,3,57.583824,2,0,1752.792
15,VC_DouM,5,0,1,1,91.46119,0,1,0,0,0.0,0,0,1558.073
16,VC_Tide,5,0,2,2,267.71298,0,1,1,1,260.10696,0,0,1549.235
17,VC_DJboy,5,0,1,5,290.01736,0,4,1,2,46.839977,0,0,1587.673
18,VC_Summer,5,2,1,2,281.1061,0,0,1,2,306.74628,0,0,1575.797
19,LZR_PurdyKurty,6,1,0,3,290.59564,1,5,1,2,88.92993,0,0,1155.393
20,LZR_aLOW,6,1,0,1,226.62294,0,0,0,0,0.0,0,0,982.257
21,LZR_luke12,6,1,2,5,309.2171,0,1,1,1,71.74466,0,0,1455.065
22,LZR_Uncivil,6,1,0,1,100.0,0,4,1,1,5.413796,0,0,973.646
23,QM_L1gEEE,12,2,0,0,201.34584,0,0,1,2,150.62326,0,0,1143.269
24,QM_JiYy,12,0,0,4,130.432,0,6,1,1,150.45213,0,0,1180.589
25,QM_YIZz,12,1,0,1,55.13385,0,0,1,1,187.77386,0,0,1141.617
26,QM_WuFeng,12,0,0,5,64.76417,0,2,0,0,0.0,0,0,1222.24
27,ENF_DoYa,8,1,0,2,64.82531,0,0,1,1,100.40736,0,0,932.824
28,ENF_Seongjang,8,0,0,2,118.979996,0,0,0,0,0.0,0,0,975.915
29,ENF_indigo,8,1,0,4,197.7,0,17,1,2,55.125683,0,0,1378.674
30,ENF_kAyle,8,0,0,0,116.15991,0,0,0,0,0.0,0,0,923.985
31,GNS_Nerf,9,0,2,1,30.509586,0,0,0,0,0.0,1,0,1026.688
32,GNS_Pr0phie,9,2,3,3,319.88773,0,2,1,1,56.727222,0,0,1353.193
33,GNS_Kaymind,9,3,1,1,381.2803,1,2,2,4,218.42413,0,0,1227.329
34,GNS_hwinn,9,0,1,1,18.379686,0,4,0,0,0.0,0,0,1053.028
35,GEN_Esther,7,0,2,6,127.80659,0,4,0,0,0.0,2,0,1442.065
