,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,ESPObserver04,4,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,130.609,1500,0
1,ESPObserver02,3,0,0,0,100.0,0,0,1000,0,1,1,0,0,0.932095647,0,0,0,143.063,1500,0
2,ESPObserver08,5,0,0,0,23.3324661,0,0,1000,0,0,0,0,0,0.0,0,0,0,110.942,1500,0
3,ESPObserver07,2,0,0,0,193.52,0,1,1000,0,2,2,0,0,9.501566,0,0,0,190.248,1500,0
4,ESPObserver01,1,0,0,0,275.0,1,0,1000,0,2,3,0,0,29.303299,0,0,0,190.264,1500,0
5,ESPObserver03,7,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,85.901,1500,0
6,Kevinario,6,0,0,0,79.2908,0,0,1000,0,0,0,0,0,0.0,0,0,0,104.096,1500,0
7,Kevinario,1,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,102.073,1500,0
8,ESPObserver08,1,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,102.073,1500,0
9,es_NA-PPC_2,1,0,0,0,99.99999,0,0,1000,0,1,1,0,0,0.800304055,0,0,0,102.073,1500,0
10,ESPObserver01,1,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,102.073,1500,0
11,ESPObserver02,2,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,102.055,1500,0
12,skyline_,1,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,168.642,1500,0
13,ESPObserver01,2,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,168.61,1500,0
14,ESPObserver04,1,1,0,1,99.99999,0,0,1000,0,1,1,0,0,7.73546743,0,0,0,501.658,1500,0
