,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,eW_NickS,9,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1254.201,0.0,0.0
1,eW_CreaMzie,9,1,0,4,356.49646,0,3,0.0,0.0,2,2,0.0,0.0,137.532333,0.0,0.0,0,0,1424.358,0.0,0.0
2,eW_Zetsentu,9,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1243.38,0.0,0.0
3,eW_Dang,9,0,2,2,147.461517,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1451.635,0.0,0.0
4,HLCG_Zodyak,2,0,0,2,191.61937,0,1,0.0,0.0,1,1,0.0,0.0,32.95062,0.0,0.0,0,0,1881.942,0.0,0.0
5,HLCG_Duckk,2,5,0,10,567.120544,1,2,0.0,0.0,2,4,0.0,0.0,44.5031166,0.0,0.0,0,0,1871.893,0.0,0.0
6,HLCG_Kaisuko,2,3,2,4,370.52,1,6,0.0,0.0,1,1,0.0,0.0,13.1759157,0.0,0.0,0,1,1861.978,0.0,0.0
7,HLCG_GUNNER,2,0,1,2,17.1380463,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1583.02,0.0,0.0
8,LK_Joker,12,1,2,1,154.227737,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1352.123,0.0,0.0
9,LK_Fignaldo,12,2,0,1,582.8085,1,2,0.0,0.0,1,1,0.0,0.0,76.3871841,0.0,0.0,0,0,1363.162,0.0,0.0
10,LK_Relo,12,0,0,1,26.03156,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1363.158,0.0,0.0
11,LK_ch4rle,12,1,1,3,307.456268,0,3,0.0,0.0,1,1,0.0,0.0,4.45552635,0.0,0.0,0,0,1356.442,0.0,0.0
12,TRI_Filthy,14,0,0,1,80.34642,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1006.525,0.0,0.0
13,TRI_Soko,14,1,1,5,225.678833,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1128.019,0.0,0.0
14,TRI_Hadez,14,0,0,1,146.228729,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1187.996,0.0,0.0
15,TRI_Therous,14,0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1135.086,0.0,0.0
16,LYE_Zaitus,11,0,0,1,124.774429,0,1,0.0,0.0,1,1,0.0,0.0,116.530693,0.0,0.0,1,0,1366.969,0.0,0.0
17,LYE_thirdline,11,3,1,2,342.24408,0,0,0.0,0.0,1,2,0.0,0.0,155.217453,0.0,0.0,0,0,1366.978,0.0,0.0
18,LYE_Zinite,11,0,0,1,100.0914,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1265.991,0.0,0.0
19,LYE_Mardones,11,1,3,3,108.535812,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,1350.736,0.0,0.0
20,OC_Riftt,1,0,2,6,393.975922,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1655.094,0.0,0.0
21,OC_Trevor,1,0,2,4,47.4233475,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1668.15,0.0,0.0
22,OC_Shrimzy,1,5,1,7,578.4456,1,6,0.0,0.0,1,3,0.0,0.0,75.38865,0.0,0.0,0,0,1844.503,0.0,0.0
23,OC_Stab,1,5,1,6,414.7837,1,7,0.0,0.0,2,7,0.0,0.0,56.5094757,0.0,0.0,1,0,1881.978,0.0,0.0
24,P1E_DTreats,6,2,0,4,341.475647,1,3,0.0,0.0,1,2,0.0,0.0,126.899635,0.0,0.0,0,0,1583.876,0.0,0.0
25,P1E_Lampalot,6,1,0,5,107.524055,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1614.396,0.0,0.0
26,P1E_Uadavidx,6,1,1,0,502.441284,1,0,0.0,0.0,1,3,0.0,0.0,79.69621,0.0,0.0,0,0,1612.978,0.0,0.0
27,P1E_Aghila,6,0,0,2,398.0019,0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1614.393,0.0,0.0
28,Soniqs_Yaxley,15,2,0,3,260.09,0,6,0.0,0.0,1,3,0.0,0.0,34.212738,0.0,0.0,2,0,973.97,0.0,0.0
29,Soniqs_TonyV,15,1,0,1,136.5025,0,1,0.0,0.0,1,1,0.0,0.0,107.622,0.0,0.0,0,0,903.234,0.0,0.0
30,Soniqs_LANdooon,15,1,1,6,121.619667,0,6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,973.96,0.0,0.0
31,Soniqs_Smithy,15,0,0,3,56.76,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,903.782,0.0,0.0
32,ELV_Packs,4,0,1,3,112.204056,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,3,0,1756.81,0.0,0.0
33,ELV_ChubbaBubba,4,0,0,4,246.15274,0,4,0.0,0.0,1,1,0.0,0.0,13.280035,0.0,0.0,1,0,1673.573,0.0,0.0
34,ELV_GodKu,4,1,0,1,144.171341,0,2,0.0,0.0,1,1,0.0,0.0,64.91641,0.0,0.0,0,0,1650.961,0.0,0.0
35,ELV_TGLTN,4,3,1,0,420.0636,2,1,0.0,0.0,1,2,0.0,0.0,60.1350632,0.0,0.0,0,0,1753.974,0.0,0.0
36,ZEN_Kendo,7,2,0,5,372.1424,0,4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1574.644,0.0,0.0
37,ZEN_P4TRON,7,1,0,4,514.716553,0,7,0.0,0.0,1,1,0.0,0.0,29.6317768,0.0,0.0,0,0,1574.64,0.0,0.0
38,ZEN_Roth,7,1,0,2,119.133781,0,0,0.0,0.0,1,1,0.0,0.0,200.706635,0.0,0.0,1,0,1558.985,0.0,0.0
39,ZEN_Lush-,7,0,0,0,47.9531,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,855.204,0.0,0.0
40,GGWP_dexy,10,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,496.345,0.0,0.0
41,GGWP_Nuisance,10,1,0,4,80.0,0,2,0.0,0.0,1,1,0.0,0.0,1.92612445,0.0,0.0,0,0,1342.71,0.0,0.0
42,GGWP_Biznatch,10,0,0,4,29.6416168,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1318.628,0.0,0.0
43,GGWP_Heffaa,10,1,0,7,276.959351,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1450.906,0.0,0.0
44,THC_Leafeye,16,1,1,2,233.334961,0,4,0.0,0.0,1,1,0.0,0.0,36.17721,0.0,0.0,0,0,953.164,0.0,0.0
45,THC_Atom,16,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,581.134,0.0,0.0
46,THC_Charity,16,1,0,3,149.565735,0,5,0.0,0.0,1,1,0.0,0.0,4.153247,0.0,0.0,0,0,825.161,0.0,0.0
47,THC_SpreY,16,4,2,2,517.41095,1,2,0.0,0.0,1,2,0.0,0.0,7.72930956,0.0,0.0,0,0,970.227,0.0,0.0
48,Dave_Moody,8,0,0,1,114.7515,0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1342.649,0.0,0.0
49,Dave_Microfry,8,0,0,4,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1375.027,0.0,0.0
50,Dave_LosHD,8,0,0,3,69.44745,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1540.711,0.0,0.0
51,Dave_godspeed,8,1,0,3,91.52926,0,5,0.0,0.0,1,1,0.0,0.0,6.604083,0.0,0.0,0,0,1321.309,0.0,0.0
52,RT_GregShotGG,3,1,0,6,38.1143265,0,5,0.0,0.0,1,1,0.0,0.0,268.957367,0.0,0.0,0,0,1572.272,0.0,0.0
53,RT_Cillo,3,2,1,2,351.576447,1,1,0.0,0.0,1,2,0.0,0.0,287.813721,0.0,0.0,1,0,1603.967,0.0,0.0
54,RT_Grisly,3,0,0,3,351.351471,1,4,0.0,0.0,1,1,0.0,0.0,96.44716,0.0,0.0,1,0,1852.12,0.0,0.0
55,RT_SteeZybb,3,2,1,5,368.423462,0,2,0.0,0.0,1,2,0.0,0.0,277.068451,0.0,0.0,0,0,1852.117,0.0,0.0
56,Denial_decipLe,5,0,0,2,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1013.249,0.0,0.0
