,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,FURY_Ykikamucow,1,2,1,2,397.71902,0,2,2,3,226.62674,0,0,1501.992
1,FURY_Fludd,1,5,2,7,816.035,2,3,2,3,318.28882,1,0,1501.992
2,FURY_Ronon,1,1,2,0,206.67616,0,0,1,1,22.89387,1,0,1501.992
3,FURY_Insight,1,1,0,2,447.51227,1,3,1,3,209.34747,0,0,1501.992
4,INT_basic,2,4,2,5,409.05795,0,2,1,2,53.35285,0,0,1501.85
5,INT_Jimskis,2,3,1,5,378.7,2,2,3,4,39.27206,0,0,1350.724
6,INT_Dejawow1116,2,0,0,4,109.82112,0,2,1,1,470.55508,1,0,1162.343
7,INT_LokiesMY,2,2,2,5,467.5077,0,2,1,3,35.906353,0,0,1501.841
8,VIP_Suh,13,3,0,4,219.6995,1,1,1,2,100.49849,0,0,1128.544
9,VIP_Gats,13,3,0,4,190.16888,2,3,2,2,76.63038,0,0,1090.791
10,VIP_lucidfreak,13,1,0,1,254.31456,0,1,1,1,31.556892,0,0,1118.596
11,VIP_GregShotGG,13,1,1,5,222.3328,1,0,1,1,57.03737,0,0,1095.012
12,TNG_Cherry,15,0,0,0,0.0,0,0,0,0,0.0,0,0,383.103
13,TNG_Light,15,0,0,0,0.0,0,0,0,0,0.0,0,0,362.174
14,TNG_Linksy,15,1,0,1,100.0,0,0,0,0,0.0,0,0,798.204
15,TNG_MACCA,15,0,0,0,0.0,0,0,0,0,0.0,0,0,361.246
16,GT6_Joombie,8,0,0,0,0.0,0,0,0,0,0.0,0,0,67.533
17,GT6_Vexyl,8,6,0,3,799.4524,1,10,3,6,196.53308,0,0,1262.639
18,GT6_Steele,8,1,0,0,100.0,0,0,0,0,0.0,0,0,167.155
19,GT6_IceTech,8,0,0,0,0.0,0,0,0,0,0.0,0,0,120.392
20,TB_mewnty,6,0,0,3,105.771065,0,2,0,0,0.0,0,0,1323.764
21,TB_Textil3,6,0,0,4,0.0,0,0,0,0,0.0,0,0,891.274
