,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GULL_oST0RM,4,1,0,3,97.89898,0,12,0,0,0.0,1,0,978.634
1,GULL_Virgill,4,1,0,5,378.4465,0,3,0,0,0.0,2,0,965.442
2,GULL_DRN,4,1,0,4,187.50829,1,1,1,1,16.69783,0,0,1587.789
3,GULL_OldMate,4,0,0,0,29.581661,0,1,0,0,0.0,0,0,869.24
4,EXG_StoneNautz,10,0,0,3,94.07373,0,2,0,0,0.0,0,0,901.243
5,EXG_GAMMB1T,10,0,0,1,101.91946,0,1,0,0,0.0,0,0,892.658
6,EXG_Ocker,10,0,0,2,0.0,0,2,0,0,0.0,0,0,839.983
7,EXG_D3,10,2,0,3,212.10477,0,2,1,1,136.14375,0,0,1206.695
8,300_v1ha,12,3,1,2,375.27505,0,5,1,1,46.15411,0,0,1023.923
9,300_Neferhor,12,2,0,5,539.29266,0,5,1,2,60.009193,0,0,1110.412
10,300_headkick,12,5,0,4,479.59262,1,2,1,5,103.4655,0,0,1082.141
11,300_Vox,12,1,0,1,100.0,0,1,0,0,0.0,0,0,701.298
12,TROL_TriMe,14,0,0,2,0.0,0,4,0,0,0.0,0,0,945.374
13,TROL_Truism,14,1,1,2,100.0,0,3,0,0,0.0,0,0,945.372
14,TROL_EpLemonSqzy,14,1,0,4,100.0,0,1,0,0,0.0,0,0,945.376
15,TROL_Joey_T,14,1,0,3,176.78587,0,10,1,1,28.108383,0,0,915.476
16,LG_Sebby,8,0,0,4,79.659996,0,1,0,0,0.0,1,0,1280.736
17,LG_X-Eleven,8,1,0,4,154.51999,0,3,2,2,32.341793,1,0,1059.997
18,LG_Zomniac,8,1,1,3,221.35777,0,0,0,0,0.0,1,0,1280.739
19,LG_ParadoX,8,1,2,5,175.71393,0,4,1,1,37.05275,0,0,929.221
20,AQUI_Rickardoo,15,1,1,1,183.92662,0,0,0,0,0.0,0,0,597.951
21,AQUI_ex,15,0,0,0,21.6,0,0,0,0,0.0,0,0,602.208
22,AQUI_Janky,15,1,0,1,202.35019,0,5,0,0,0.0,0,0,710.53
23,AQUI_Strukovski,15,1,0,0,86.02678,0,0,1,1,40.243507,0,0,576.718
24,DIX_remz,13,1,0,2,94.8,0,2,0,0,0.0,0,0,1001.403
25,DIX_Mittzan,13,0,0,3,240.24448,0,1,0,0,0.0,0,0,996.16
26,DIX_Jouxy,13,1,0,0,146.3458,0,0,0,0,0.0,0,1,1001.405
27,DIX_Spek,13,0,0,1,0.0,0,0,0,0,0.0,0,0,1001.407
28,2N_Akita,2,1,0,0,183.5326,0,0,1,1,23.160616,1,0,749.927
29,2N_Jakeey,2,2,0,2,346.60425,0,1,0,0,0.0,0,0,763.424
30,2N_Wicko,2,0,1,1,0.0,0,1,0,0,0.0,0,0,715.529
31,2N_Rookie,2,4,1,8,370.68167,1,3,1,2,54.208256,0,0,1721.728
32,SLD_Ol7l7l,7,0,3,7,241.1988,0,5,0,0,0.0,1,0,1080.277
33,SLD_Kappa,7,2,0,8,483.4702,0,4,1,3,49.736744,0,0,1340.673
34,SLD_YongRoot,7,1,1,6,171.88403,0,6,1,1,85.89491,0,0,1340.671
35,SLD_FURlOUS,7,0,0,4,0.0,0,0,0,0,0.0,2,0,1340.675
36,TSCA_Crazy,9,0,0,3,19.8,0,0,0,0,0.0,0,0,1243.275
37,TSCA_PROZZY-_-,9,0,0,0,150.87,0,0,0,0,0.0,0,0,955.253
38,TSCA_Elevated,9,0,0,0,0.0,0,0,0,0,0.0,0,0,904.452
39,TSCA_Grove,9,1,0,0,15.400007,0,0,1,1,177.13373,0,0,906.717
40,IFR_poonye,11,0,2,6,221.91959,0,10,1,1,110.58067,2,0,1196.946
41,IFR_lucidfreak,11,0,0,2,23.979832,0,0,0,0,0.0,0,0,564.26
42,IFR_FadeAway,11,3,2,6,307.0602,1,10,1,4,192.31398,0,0,1197.115
43,IFR_Inn8,11,3,0,6,326.75592,1,19,1,3,60.59225,0,0,1101.735
44,PP_Winny,5,0,0,5,362.5597,0,7,1,1,234.71219,1,0,1494.983
45,PP_Jeff,5,4,1,4,745.3979,1,2,2,4,82.523094,2,0,1496.133
46,PP_Blissey,5,2,0,5,236.58052,0,1,1,2,51.93319,0,0,1113.301
47,FLSH_Reggi,6,0,0,1,118.36801,0,1,0,0,0.0,0,0,1380.386
48,FLSH_bee2,6,0,0,4,145.1328,0,0,0,0,0.0,0,0,1342.58
49,FLSH_7ayloR,6,0,1,2,181.74898,0,2,0,0,0.0,0,0,1478.895
50,FLSH_H311C4T,6,0,0,0,0.0,0,0,0,0,0.0,1,0,1347.13
51,TR_Hegggy,1,0,2,2,143.67375,0,2,1,1,23.446117,0,0,1721.861
52,TR_ZookM8,1,2,0,3,338.27722,2,4,1,3,438.54523,0,0,1597.339
53,TR_Makaveli,1,3,1,6,346.27237,0,2,1,3,141.6593,0,0,1721.861
54,TR_Wellzy,1,1,1,2,234.93279,1,0,1,1,67.54285,0,0,1639.742
55,KRNK_Zray,3,1,1,6,333.2767,1,4,1,2,95.85756,1,0,1497.595
56,KRNK_KIAORA,3,2,0,5,200.0581,0,8,1,2,83.480705,2,0,1630.305
57,KRNK_GRANTLANTIS,3,2,0,4,214.32202,1,3,1,4,103.48416,1,0,1483.735
58,KRNK_Testroy,3,2,2,8,604.03076,3,6,1,4,97.95567,1,0,1630.307
59,ELXR_funzies,16,0,0,0,28.294548,0,0,0,0,0.0,0,0,375.473
60,ELXR_Disher,16,0,0,1,56.399998,0,0,0,0,0.0,0,0,375.471
