,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,EMS_VegeBird,7,0,0,3,25.806381,0,2,0,0,0.0,0,0,1339
1,EMS_Dejavu,7,1,0,2,147.4374,0,1,1,1,101.609436,0,0,1315
2,EMS_XiaoLian,7,3,1,6,478.33017,0,7,1,2,114.45872,0,0,1484
3,EMS_NGskrovo,7,0,0,6,204.89032,0,1,0,0,0.0,0,0,1396
4,ODM_Skroozer,8,0,1,4,345.46118,0,1,0,0,0.0,0,0,1368
5,ODM_DY,8,0,1,4,233.11179,0,5,0,0,0.0,0,0,1472
6,ODM_Xynku,8,2,0,1,247.89702,1,0,1,2,116.29892,1,0,1472
7,ODM_Akita,8,2,1,1,418.73285,0,1,0,0,0.0,0,0,1462
8,iM_Speedy,11,0,0,4,140.53459,0,3,0,0,0.0,0,0,1281
9,iM_Gin,11,0,0,3,88.941025,0,2,0,0,0.0,1,0,1281
10,iM_BiggyyJ,11,0,0,3,145.69397,0,1,0,0,0.0,1,0,1281
11,iM_Jeff,11,0,0,2,132.0415,0,0,0,0,0.0,0,0,732
12,SEN_Steele,3,0,0,6,80.93968,0,5,2,2,137.00148,2,0,1384
13,SEN_Reb,3,1,2,7,168.29141,0,5,0,0,0.0,1,0,1765
14,SEN_Linksy,3,1,1,5,322.73538,0,4,0,0,0.0,0,0,1783
15,SEN_kang,3,1,0,9,604.7514,0,4,2,2,72.212,1,0,1796
16,2N_Wicko,15,0,0,0,0.0,0,0,0,0,0.0,0,0,1033
17,2N_Jakeey,15,1,0,3,123.41881,0,0,0,0,0.0,0,0,1085
18,2N_reupeni,15,0,0,3,61.335,0,3,0,0,0.0,0,0,1085
19,2N_PRDX,15,1,0,2,204.3066,0,0,0,0,0.0,0,0,1085
20,TB_monty,2,4,1,6,902.0943,0,5,1,5,100.70975,0,0,1774
21,TB_Insight,2,1,0,3,364.02988,0,2,0,0,0.0,0,0,1418
22,TB_Mirage,2,1,2,5,411.33273,0,4,1,1,22.693909,2,0,1797
23,TB_6RYN,2,3,2,6,333.1187,1,7,2,3,41.63257,2,0,1797
24,JMT_Kappa,6,1,0,7,320.68384,1,12,1,1,5.27008,1,0,1497
25,JMT_EDDIE,6,2,0,6,149.81685,0,3,1,2,125.90918,1,0,1497
26,JMT_Nike,6,0,1,9,0.0,0,0,0,0,0.0,1,0,1423
27,JMT_KONGSSS,6,1,1,6,247.10437,0,8,0,0,0.0,0,0,1497
28,WYWM_ChaelYeah,10,0,0,5,430.96527,0,12,0,0,0.0,0,0,1252
29,WYWM_headkick,10,0,0,2,64.96623,0,0,0,0,0.0,0,0,808
30,WYWM_Cherry,10,2,0,6,172.83199,0,0,2,2,90.32649,0,0,1291
31,WYWM_P4,10,4,2,6,545.4169,0,5,1,1,366.19714,0,0,1291
32,TRDT_Snow,13,0,0,0,34.770744,0,0,0,0,0.0,0,0,186
33,TRDT_Jam,13,0,0,6,39.6,0,1,0,0,0.0,0,0,1155
34,TRDT_Millah,13,3,0,2,290.49463,1,1,1,2,44.76092,0,0,1173
35,TRDT_Poonye,13,2,0,0,225.38,0,0,0,0,0.0,0,0,157
36,CF_Heffaa,14,0,0,1,137.42578,0,3,0,0,0.0,0,0,1103
37,CF_Champzzzz,14,2,1,1,131.28,0,0,1,1,23.840218,0,0,1103
38,CF_Reggi,14,1,1,2,289.62006,0,0,1,1,48.000412,0,0,1101
39,CF_BigBoyMacca,14,4,0,1,400.0,0,1,0,0,0.0,1,0,1103
40,CC_nonreg,5,0,0,4,119.64556,0,7,0,0,0.0,1,0,1472
41,CC_Textil3,5,1,1,7,428.86523,1,7,1,1,14.78037,0,0,1510
42,CC_Spaggy,5,0,0,3,0.0,0,6,0,0,0.0,0,0,937
43,CC_kritikal,5,3,0,4,273.2718,1,4,1,2,168.68295,1,0,1509
44,CE_Suh,9,1,1,3,216.05853,0,1,1,1,41.46478,1,0,1304
45,CE_Sweetsoul,9,1,2,1,251.89487,0,0,1,1,124.0544,0,0,1342
46,CE_Asba,9,0,0,5,0.0,0,10,0,0,0.0,0,0,1296
47,CE_sSuspekT,9,2,0,3,526.1833,3,4,2,3,165.8533,0,0,1347
48,BTL_Ch1n,16,0,0,5,116.82,0,7,0,0,0.0,0,0,1074
49,BTL_M1chael,16,2,0,3,99.67561,0,1,1,1,21.020409,1,1,1074
50,BTL_N1u,16,1,0,2,0.0,0,0,0,0,0.0,0,0,1007
51,BTL_Invis1ble,16,1,0,5,50.134098,0,6,1,1,13.394004,1,0,1074
52,PRDX_KillerRoo,1,4,0,6,457.91592,0,4,1,3,202.70499,0,0,1797
53,PRDX_ShinLao,1,3,2,6,1093.74,1,4,1,2,165.542,0,0,1797
54,PRDX_Aroh,1,0,3,5,216.12848,0,15,1,2,257.0209,1,0,1797
55,PRDX_Jak0vsky,1,3,0,7,316.6118,2,13,1,2,269.13477,0,0,1797
56,RVX_Ann3N,4,0,0,9,145.55869,0,10,1,1,7.1553555,0,0,1664
57,RVX_xxxHZ,4,0,0,4,277.02783,0,5,0,0,0.0,1,0,1334
58,RVX_Mrclayyy,4,3,0,7,526.50354,1,7,2,2,59.06792,1,0,1612
59,RVX_JoyteamJB,4,0,0,3,162.75354,0,5,0,0,0.0,1,0,1353
60,4PM_BigJJJgirll,12,3,0,8,221.895,1,15,1,4,254.39885,1,0,1273
61,4PM_SUPERM4N_-,12,0,1,1,78.104996,0,1,0,0,0.0,2,0,1191
