,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,NOVAMS_CY,13,0,0,3,0.0,0,5,0,0,0,0,0,0,0.0,0,0,1,0,1200.375,0,0
1,NOVAMS_PuPufish,13,0,0,2,42.55801,0,1,0,0,0,0,0,0,0.0,0,0,2,0,1211.472,0,0
2,NOVAMS_Yuyuyu,13,0,0,1,56.65075,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1209.395,0,0
3,NOVAMS_ANiNi,13,0,0,4,0.0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1253.46,0,0
4,EntusF_kAyle,8,0,0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1419.078,0,0
5,EntusF_indigo,8,1,1,1,463.047668,0,1,0,0,1,2,0,0,349.4665,0,0,0,0,1421.676,0,0
6,EntusF_Seongjang,8,1,0,3,239.9065,0,1,0,0,1,1,0,0,31.91948,0,0,0,0,1421.685,0,0
7,EntusF_Yakk,8,1,0,3,345.80957,1,2,0,0,1,1,0,0,197.288315,0,0,0,0,1412.241,0,0
8,AW7_Avocrn,3,1,1,9,444.215973,0,7,0,0,1,1,0,0,253.840057,0,0,0,0,1601.547,0,0
9,AW7_IkyAr,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,415.291,0,0
10,AW7_rdk,3,3,1,10,427.614166,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1597.941,0,0
11,AW7_Godly,3,0,1,6,304.1813,0,9,0,0,1,1,0,0,115.765457,0,0,1,0,1481.813,0,0
12,Lstars_Aduo,1,0,0,3,129.973862,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1040.465,0,0
13,Lstars_Ydd,1,4,2,7,845.188538,3,6,0,0,1,5,0,0,144.1742,0,0,0,0,1636.209,0,0
14,Lstars_Wnnn,1,2,2,5,334.7654,0,0,0,0,1,4,0,0,347.0777,0,0,1,0,1636.209,0,0
15,Lstars_Easy,1,0,0,6,68.23552,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1636.209,0,0
16,ahq_K3,7,3,1,2,196.181381,0,3,0,0,2,2,0,0,186.503815,0,0,0,0,1353.007,0,0
17,ahq_Milk,7,2,0,3,347.727234,0,2,0,0,2,2,0,0,114.990295,0,0,0,0,1433.031,0,0
18,ahq_W1nner,7,0,0,2,221.5166,0,6,0,0,0,0,0,0,0.0,0,0,0,0,1433.018,0,0
19,ahq_SR,7,1,0,2,70.75743,0,3,0,0,1,1,0,0,105.593147,0,0,0,0,1352.281,0,0
20,SSS_CiNVe,5,0,1,1,252.1705,1,0,0,0,1,1,0,0,77.21852,0,0,1,0,1490.071,0,0
21,SSS_gabha,5,1,0,1,292.580841,0,3,0,0,1,1,0,0,363.958954,0,0,0,0,1460.262,0,0
22,SSS_CrazySam,5,2,1,2,551.1883,0,5,0,0,2,2,0,0,74.52621,0,0,0,0,1473.808,0,0
23,SSS_Sabrac,5,2,0,1,269.139252,0,1,0,0,1,2,0,0,176.7603,0,0,0,0,1444.421,0,0
24,ACTOZ_R_Daengche,9,3,0,4,347.69,1,1,0,0,1,3,0,0,169.455688,0,0,0,0,1401.81,0,0
25,ACTOZ_R_Hulk,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,111.934,0,0
26,ACTOZ_R_Starlord,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,824.579,0,0
27,ACTOZ_R_Hwan2da,9,2,1,2,324.751862,0,10,0,0,1,1,0,0,10.5456457,0,0,0,0,1398.065,0,0
