,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,SDF_THZ,8,0,1,1,113.148949,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1675.526,0,0
1,SDF_Fr_Steph,8,1,0,2,168.642014,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1529.695,0,0
2,SDF_Houlow,8,0,0,1,76.67758,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1675.523,0,0
3,SDF_sezk0,8,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1084.243,0,0
4,TSM_Gustav,5,1,2,3,216.716187,0,3,0,0,1,1,0,0,197.127029,0,0,0,0,1876.985,0,0
5,TSM_Turtle,5,2,2,1,333.7176,1,0,0,0,1,1,0,0,355.436218,0,0,0,0,1876.966,0,0
6,TSM_Wookiebookie,5,2,0,3,328.571045,1,2,0,0,1,2,0,0,222.88736,0,0,0,0,1876.97,0,0
7,TSM_rawryy,5,1,2,1,246.873672,0,0,0,0,1,1,0,0,268.371033,0,0,0,0,1876.975,0,0
8,OHM_xiaNNN,11,0,0,3,0.0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1551.031,0,0
9,OHM_ctrkN,11,0,0,1,44.1166153,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1348.268,0,0
10,OHM_Antodalt,11,0,0,1,53.7266273,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1404.504,0,0
11,OHM_Jusse0,11,1,0,2,98.0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1501.885,0,0
12,FB_Marco,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1244.028,0,0
13,FB_Kalimdor,16,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,554.226,0,0
14,FB_theBSD,16,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1244.02,0,0
15,FB_XONK,16,0,0,0,26.460001,0,0,0,0,0,0,0,0,0.0,0,0,0,0,550.758,0,0
16,Jokers_Kemba7,7,2,3,1,247.74736,1,2,0,0,1,1,0,0,29.038868,0,0,0,0,1577.519,0,0
17,Jokers_TheTab,7,1,2,1,234.53096,0,0,0,0,1,1,0,0,266.984344,0,0,0,0,1574.272,0,0
18,Jokers_ceh9,7,0,0,3,571.6754,0,2,0,0,2,3,0,0,214.241882,0,0,0,0,1680.131,0,0
19,Jokers_dmash,7,3,0,5,358.757721,1,6,0,0,2,3,0,0,214.455521,0,0,0,0,1680.136,0,0
20,ALLIANCE_Ciggzy,4,2,0,3,362.788574,0,6,0,0,1,2,0,0,217.755325,0,0,0,0,1692.836,0,0
21,ALLIANCE_mykLe,4,1,0,1,148.1573,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1271.061,0,0
22,ALLIANCE_MOLNMAN,4,0,0,2,84.14535,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1485.532,0,0
23,ALLIANCE_Teabone,4,0,1,5,93.98737,0,5,0,0,1,1,0,0,28.2887516,0,0,0,0,1915.967,0,0
24,Se7en_MuMiNo,15,0,1,2,98.87346,0,3,0,0,0,0,0,0,0.0,0,0,0,1,1148.364,0,0
25,Se7en_Edelweiss,15,1,1,7,140.734756,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1317.276,0,0
26,Se7en_crab1k,15,0,1,2,171.952637,0,4,0,0,0,0,0,0,0.0,0,0,1,0,1309.269,0,0
27,Se7en_gr4G,15,1,1,1,136.380539,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1147.135,0,0
28,CREW_rup7ure,6,0,2,3,310.715454,1,5,0,0,1,3,0,0,110.015068,0,0,1,0,1773.098,0,0
29,CREW_UNO47,6,2,1,2,226.183014,0,2,0,0,1,2,0,0,158.146149,0,0,0,0,1722.801,0,0
30,CREW_buyukayi,6,0,1,2,168.379532,0,7,0,0,0,0,0,0,0.0,0,0,0,0,1736.933,0,0
31,CREW_Kozki,6,1,0,0,55.4213829,0,0,0,0,1,1,0,0,65.29727,0,0,0,0,1551.906,0,0
32,PENTA_ItzzChrizZ,2,4,1,3,541.1355,0,1,0,0,3,5,0,0,177.080872,0,0,0,0,1975.753,0,0
33,PENTA_Caint,2,1,0,2,91.2818146,0,2,0,0,1,1,0,0,95.39169,0,0,0,1,2013.219,0,0
34,PENTA_Braexco,2,3,2,2,577.8945,3,1,0,0,2,8,0,0,250.887543,0,0,0,0,2013.223,0,0
35,PENTA_Udyr,2,1,0,3,36.1279831,1,0,0,0,1,1,0,0,162.24295,0,0,0,0,1742.899,0,0
36,AP_Dream4u,3,0,1,1,243.496857,0,6,0,0,0,0,0,0,0.0,0,0,2,0,1903.962,0,0
37,AP_EXMAGISTR,3,0,1,1,70.5403,0,4,0,0,0,0,0,0,0.0,0,0,1,0,1927.876,0,0
38,AP_SeT_i7,3,4,0,4,463.360657,1,6,0,0,1,1,0,0,65.95628,0,0,0,0,1922.129,0,0
39,AP_ALFPLAYS,3,0,0,7,120.231667,0,10,0,0,0,0,0,0,0.0,0,0,0,0,1973.72,0,0
40,TORNADO_Mellman,10,1,4,4,353.460266,2,5,0,0,1,2,0,0,367.8772,0,0,0,0,1552.995,0,0
41,TORNADO_XTeam,10,1,1,3,10.8753891,0,4,0,0,1,1,0,0,318.026062,0,0,0,0,1553.02,0,0
42,TORNADO_Kompot,10,4,2,6,341.3034,0,7,0,0,1,2,0,0,83.85503,0,0,0,0,1552.998,0,0
43,TORNADO_Camca,10,3,1,3,306.920563,0,3,0,0,1,4,0,0,241.4988,0,0,1,0,1553.006,0,0
44,GL_Maccandark,9,2,0,4,167.153687,0,6,0,0,2,2,0,0,25.9697628,0,0,0,0,1530.003,0,0
45,GL_hamster,9,0,2,2,164.219635,0,8,0,0,0,0,0,0,0.0,0,0,0,0,1560.533,0,0
46,GL_bjorN,9,1,0,2,152.46,0,6,0,0,0,0,0,0,0.0,0,0,0,0,1328.7,0,0
47,GL_t1mber,9,1,0,5,82.34761,0,3,0,0,1,1,0,0,32.64177,0,0,1,0,1475.807,0,0
48,ZeN_Ivel,14,0,0,1,112.4947,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1256.462,0,0
49,ZeN_Vazku,14,0,0,2,39.67443,0,4,0,0,0,0,0,0,0.0,0,0,0,0,1343.413,0,0
50,ZeN_Aerckie,14,0,0,3,59.8115921,0,2,0,0,0,0,0,0,0.0,0,0,1,0,1334.89,0,0
51,ZeN_Cudtastic,14,0,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1332.915,0,0
52,eSuba_zuppaa,12,1,0,2,367.779633,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1371.206,0,0
53,eSuba_freekill,12,0,0,0,51.9084854,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1374.415,0,0
54,eSuba_kejdoran,12,1,0,1,75.0,0,8,0,0,1,1,0,0,28.7549324,0,0,2,0,1508.217,0,0
55,eSuba_swalker,12,0,0,2,188.854141,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1373.272,0,0
56,G2_ZiphoN,13,0,0,1,53.2066727,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1123.888,0,0
57,G2_WACKO,13,0,0,2,129.208878,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1355.236,0,0
58,G2_stephen,13,0,0,2,122.011955,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1098.01,0,0
59,G2_velan,13,0,0,0,22.901907,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1043.017,0,0
60,AVANGAR_0nuqtive,1,3,3,3,546.497864,0,11,0,0,1,2,0,0,159.994324,0,0,2,0,2013.281,0,0
61,AVANGAR_Snoopykx,1,3,3,3,428.948975,2,3,0,0,1,3,0,0,224.2661,0,0,0,0,1990.807,0,0
62,AVANGAR_Maxiz0r,1,1,1,6,194.8115,0,11,0,0,1,1,0,0,39.14183,0,0,0,0,2013.281,0,0
63,AVANGAR_azverin,1,0,1,5,519.125061,0,13,0,0,1,1,0,0,212.331421,0,0,1,0,1940.817,0,0
64,AVANGAR_0nuqtive,1,7,2,6,787.989868,1,7,0,0,3,4,0,0,48.27739,0,0,0,0,2023.312,0,0
65,AVANGAR_Maxiz0r,1,4,3,5,194.261688,1,3,0,0,1,3,0,0,229.246048,0,0,3,0,2023.312,0,0
66,AVANGAR_Snoopykx,1,1,4,9,453.0598,0,5,0,0,1,2,0,0,63.3278122,0,0,0,0,2023.312,0,0
67,AVANGAR_azverin,1,5,0,5,711.952332,0,1,0,0,2,3,0,0,101.321152,0,0,3,0,2011.733,0,0
68,AP_SeT_i7,5,1,0,3,317.1349,0,3,0,0,1,1,0,0,30.08121,0,0,0,0,1534.756,0,0
69,AP_Dream4u,5,1,0,3,184.405014,0,1,0,0,1,2,0,0,17.1009636,0,0,1,0,1514.576,0,0
70,AP_EXMAGISTR,5,0,1,2,86.44371,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1625.039,0,0
71,AP_ALFPLAYS,5,1,0,5,171.719589,0,5,0,0,1,1,0,0,43.549015,0,0,0,0,1771.944,0,0
72,TSM_Wookiebookie,10,0,2,3,158.05571,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1487.841,0,0
73,TSM_Gustav,10,1,0,5,160.478912,0,4,0,0,1,1,0,0,17.38514,0,0,2,0,1531.1,0,0
74,TSM_Turtle,10,0,1,4,153.49057,0,5,0,0,0,0,0,0,0.0,0,0,1,0,1540.421,0,0
75,TSM_rawryy,10,1,0,4,208.07074,0,7,0,0,1,1,0,0,394.965546,0,0,1,0,1651.804,0,0
76,OHM_ctrkN,3,1,0,5,290.5076,1,1,0,0,2,3,0,0,47.6095467,0,0,3,0,1829.397,0,0
77,OHM_Antodalt,3,2,1,3,264.093964,0,9,0,0,1,2,0,0,191.879822,0,0,1,0,1827.811,0,0
