,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,AvG_0nuqtive,8,0,0,0,120.400482,0,0,1000,0,0,0,0,0,0.0,0,0,0,460.583,1500,0
1,AvG_DieZzz,8,0,0,6,0.0,0,8,1000,0,0,0,0,0,0.0,0,0,0,1452.382,1500,0
2,AvG_keeN,8,1,0,3,145.38,0,2,1000,0,0,0,0,0,0.0,0,1,0,1467.182,1500,0
3,AvG_MuMiNo,8,3,0,5,525.883,1,5,1000,0,1,3,0,0,119.141731,0,0,0,1455.35,1500,0
4,KNIGHTS_Voxsic,15,0,0,1,204.065063,0,1,1000,0,1,1,0,0,172.173431,0,0,0,619.198,1500,0
5,KNIGHTS_Krama,15,4,2,4,580.9983,0,1,1000,0,2,2,0,0,13.8955832,0,0,0,1143.334,1500,0
6,KNIGHTS_TEXQS,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,236.629,1500,0
7,KNIGHTS_Dre,15,2,0,3,199.9625,0,2,1000,0,1,1,0,0,19.4168987,0,0,0,1188.435,1500,0
8,MiTH_Ezqelusia,3,0,1,5,278.361969,0,3,1000,0,0,0,0,0,0.0,0,0,0,1770.033,1500,0
9,MiTH_SviTT,3,2,1,4,187.625,1,10,1000,0,1,2,0,0,469.371124,0,0,0,1700.576,1500,0
10,MiTH_HoNBoya,3,3,1,4,575.8202,0,3,1000,0,2,3,0,0,15.924777,0,2,0,1764.162,1500,0
11,MiTH_MinORu,3,3,0,4,443.739258,1,9,1000,0,1,2,0,0,8.436441,0,0,0,1783.718,1500,0
12,NAVI_MOLODOY,1,1,3,5,230.787552,0,9,1000,0,1,3,0,0,394.137146,0,1,0,1883.708,1500,0
13,NAVI_Drainys,1,1,2,2,527.1795,0,2,1000,0,1,2,0,0,418.434143,0,2,0,1842.801,1500,0
14,NAVI_iLame,1,4,2,4,563.797058,0,5,1000,0,3,5,0,0,358.058319,0,3,0,1883.708,1500,0
15,NAVI_ubah,1,5,5,5,735.4707,0,5,1000,0,2,4,0,0,173.556519,0,0,0,1883.708,1500,0
16,Liquid_ibiza,20,0,0,0,11.6100006,0,0,1000,0,0,0,0,0,0.0,0,0,0,279.088,1500,0
17,Liquid_Jeemzz,20,0,0,0,42.1199951,0,0,1000,0,0,0,0,0,0.0,0,0,0,275.272,1500,0
18,Liquid_Scoom,20,0,0,0,69.09,0,4,1000,0,0,0,0,0,0.0,0,0,0,375.11,1500,0
19,Liquid_Sambty,20,0,0,0,156.515518,0,0,1000,0,0,0,0,0,0.0,0,0,0,375.121,1500,0
20,TG_MORTIFY,11,0,0,1,51.0892029,0,0,1000,0,0,0,0,0,0.0,0,0,0,1232.769,1500,0
21,TG_Exko,11,0,0,3,55.569458,0,8,1000,0,0,0,0,0,0.0,0,0,0,1229.851,1500,0
22,TG_Mossy,11,2,2,4,195.521576,0,2,1000,0,0,0,0,0,0.0,0,0,0,1289.675,1500,0
23,TG_Cillo,11,0,0,2,86.75087,0,0,1000,0,1,1,0,0,543.8469,0,0,0,1242.146,1500,0
24,HBN_Timid,18,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,564.149,1500,0
25,HBN_w1ckk,18,1,0,0,160.62999,0,0,1000,0,0,0,0,0,0.0,0,0,0,194.259,1500,0
26,HBN_Fastrail,18,0,0,0,99.0600052,0,0,1000,0,0,0,0,0,0.0,0,0,0,88.442,1500,0
27,HBN_Grisly,18,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,190.991,1500,0
28,SAVAGE_Ragnar,5,2,0,3,268.441559,1,5,1000,0,1,1,0,0,251.034866,0,1,0,1724.517,1500,0
29,SAVAGE_Loquix,5,1,0,3,225.818253,1,0,1000,0,1,1,0,0,279.0374,0,0,0,1515.577,1500,0
30,SAVAGE_Maikzj,5,0,0,3,30.0930252,0,6,1000,0,0,0,0,0,0.0,0,1,0,1547.95,1500,0
31,SAVAGE_SzylzEN,5,3,1,5,881.951233,1,6,1000,0,2,3,0,0,143.157425,0,2,0,1724.512,1500,0
32,Refund_Pino,17,1,1,1,206.743713,0,0,1000,0,0,0,0,0,0.0,0,0,0,961.788,1500,0
33,Refund_DjChip,17,0,0,0,79.335,0,0,1000,0,0,0,0,0,0.0,0,0,0,132.538,1500,0
34,Refund_MeoU,17,0,0,0,68.42898,0,0,1000,0,0,0,0,0,0.0,0,0,0,957.871,1500,0
35,Refund_FunkyM,17,0,0,1,0.0,0,2,1000,0,0,0,0,0,0.0,0,0,0,790.83,1500,0
36,CHF_Champzzzz,2,2,0,1,195.206757,0,4,1000,0,1,2,0,0,21.4907379,0,2,0,1883.63,1500,0
37,CHF_PforPotato,2,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,486.497,1500,0
38,CHF_eDGe,2,2,2,3,669.2452,2,11,1000,0,2,5,0,0,93.1532745,0,0,0,1883.635,1500,0
39,CHF_kritikal,2,3,3,3,680.5697,1,7,1000,0,2,3,0,0,51.3390579,0,2,0,1877.123,1500,0
40,WTSG_Gaxy,10,0,1,4,54.30977,0,9,1000,0,0,0,0,0,0.0,0,0,0,964.424,1500,0
41,WTSG_MiracU,10,0,0,3,100.0,0,2,1000,0,1,1,0,0,23.3068562,0,0,0,1308.516,1500,0
42,WTSG_Larsen,10,1,0,4,422.1813,0,0,1000,0,1,1,0,0,80.406456,0,0,0,1297.764,1500,0
43,WTSG_vard,10,4,0,1,518.2831,4,2,1000,0,2,5,0,0,172.94986,0,2,0,1308.522,1500,0
44,ahq_K3,16,0,0,0,0.0,0,3,1000,0,0,0,0,0,0.0,0,0,0,1158.293,1500,0
45,ahq_W1nner,16,1,0,0,129.508224,0,0,1000,0,1,1,0,0,13.2242851,0,0,0,1160.715,1500,0
46,ahq_Waisun,16,0,0,0,25.2441864,0,4,1000,0,0,0,0,0,0.0,0,0,0,1160.71,1500,0
47,ahq_M4,16,1,0,0,82.23994,0,0,1000,0,1,1,0,0,2.26734662,0,1,0,1066.627,1500,0
48,CGX_Shianblue,19,1,0,1,100.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,429.039,1500,0
49,CGX_Rio01,19,1,0,0,55.33361,0,1,1000,0,0,0,0,0,0.0,0,0,0,495.422,1500,0
50,CGX_Aries_,19,0,0,1,70.73499,0,3,1000,0,0,0,0,0,0.0,0,0,0,427.841,1500,0
51,CGX_Pureboy,19,0,0,0,32.0799179,0,0,1000,0,0,0,0,0,0.0,0,0,0,495.428,1500,0
52,CGW_MarimoSTAR,12,0,0,0,89.79648,0,0,1000,0,0,0,0,0,0.0,0,2,0,1273.916,1500,0
53,CGW_LevArie,12,2,1,2,264.16,1,11,1000,0,1,2,0,0,33.22611,0,0,0,1244.417,1500,0
54,CGW_MrYoppy,12,2,0,2,194.619629,0,7,1000,0,1,2,0,0,9.197407,0,0,0,1281.579,1500,0
55,CGW_kurad,12,0,0,3,64.04208,0,1,1000,0,0,0,0,0,0.0,0,0,0,1273.907,1500,0
56,OHM_tmhMM,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,500.411,1500,0
57,OHM_MrSedaT,9,2,0,2,245.0629,2,12,1000,0,2,2,0,0,26.23203,0,0,0,1392.039,1500,0
58,OHM_Colorist,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,815.75,1500,0
59,OHM_POLLADERUC,9,0,1,1,205.409454,0,0,1000,0,0,0,0,0,0.0,0,0,0,1392.045,1500,0
60,OMG_silentBT,6,1,2,4,158.074524,0,7,1000,0,1,1,0,0,16.0306931,0,0,0,1064.146,1500,0
