,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,TTG_Kennyszz,8,6,1,4,420.2259,0,2,0,0,3,5,0,0,37.3923836,0,0,0,0,1252.509,0,0
1,TTG_baozaoyang,8,0,1,3,295.657654,0,2,0,0,1,1,0,0,27.3044014,0,0,0,0,1279.337,0,0
2,TTG_Kalvin,8,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,633.53,0,0
3,TTG_LDD,8,4,0,2,362.0,2,2,0,0,1,2,0,0,16.5549278,0,0,0,0,944.112,0,0
4,YT_WSS,2,0,2,1,321.455719,0,6,0,0,1,1,0,0,135.597839,0,0,1,0,1663.369,0,0
5,YT_QingTian,2,1,1,3,156.428925,0,2,0,0,1,1,0,0,97.85366,0,0,0,0,1677.194,0,0
6,YT_K3Nan,2,2,2,5,292.6282,0,14,0,0,1,2,0,0,357.1293,0,0,0,0,1677.198,0,0
7,YT_Toma,2,2,0,5,221.729,1,5,0,0,1,1,0,0,23.8917,0,0,0,0,1677.201,0,0
8,GOL_Am1go,6,1,0,3,59.9982452,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1290.901,0,0
9,GOL_Noseee,6,1,1,2,175.9513,0,0,0,0,1,1,0,0,100.454765,0,0,0,0,1290.91,0,0
10,GOL_3water,6,0,0,2,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,1290.905,0,0
11,GOL_KABA,6,1,1,2,67.90824,0,0,0,0,1,1,0,0,112.235931,0,0,0,0,1239.271,0,0
12,Fire_Sevenking,13,0,0,0,19.35,0,0,0,0,0,0,0,0,0.0,0,0,0,0,681.733,0,0
13,Fire_MaNeo,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,704.187,0,0
