,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,PUGb_O_Heyno,7,4,1,7,430.5026,0,3,1,3,58.230278,0,0,1274.497
1,PUGb_Tr4ncoso,7,0,1,5,189.462479,0,1,0,0,0.0,2,0,1087.678
2,PUGb_DuhWS,7,3,0,3,243.031479,1,4,1,1,10.0214491,0,0,1100.13
3,PUGb_hiPo,7,1,0,6,128.38,0,3,1,1,14.7855387,0,0,1068.837
4,FK_Balita,2,0,0,3,83.15878,0,3,0,0,0.0,0,0,628.695
5,FK_handywho,2,2,2,8,291.652252,0,1,1,3,307.724884,0,0,1708.631
6,FK_MufasaGOD,2,0,2,6,85.7398148,0,4,0,0,0.0,1,0,1708.628
7,FK_C0vaD,2,2,0,2,333.76004,0,0,0,0,0.0,0,0,608.642
8,FURIA_chuckpira,5,3,0,3,420.250732,0,2,1,1,90.24874,0,0,1360.948
9,FURIA_hiagguin,5,1,3,0,351.5802,0,0,1,1,165.94664,0,0,1319.184
10,FURIA_Rdnx,5,1,0,4,133.664764,0,0,1,2,324.979034,0,0,1341.47
11,FURIA_zFluxxx,5,1,1,3,243.473862,0,2,1,1,43.52393,1,0,1359.564
12,PRONET_NecroAQN,14,2,1,8,515.3351,1,0,2,3,45.9624672,0,0,1095.493
13,PRONET_Yunkosh,14,0,0,2,26.9216366,0,0,0,0,0.0,0,0,1080.356
14,PRONET_RelaNce,14,1,1,2,168.839142,0,5,1,1,35.3010941,0,0,1094.063
15,PRONET_dTz0r,14,0,0,3,0.0,0,0,0,0,0.0,0,0,981.591
16,BRC_ps1co,8,0,1,4,140.87,0,4,1,1,273.455475,0,0,1253.963
17,BRC_raspu,8,1,0,3,237.03688,0,2,1,1,206.977768,0,0,1263.304
18,BRC_rustyzera,8,0,1,2,65.5782242,0,1,0,0,0.0,0,0,855.672
19,BRC_and1FPS,8,1,1,2,214.3776,0,1,1,2,172.552185,0,0,1270.443
20,SHARKS_swag60hz,16,0,0,3,18.5438251,0,0,0,0,0.0,0,0,718.065
21,SHARKS_Raphaa,16,0,0,2,82.9206161,0,0,0,0,0.0,0,0,499.927
22,SHARKS_FLG,16,1,0,1,140.584961,0,3,0,0,0.0,0,0,671.612
23,SHARKS_c4ssin,16,1,0,2,100.0,0,1,0,0,0.0,0,0,768.357
24,pG_R0nner,10,0,1,2,0.0,0,2,0,0,0.0,0,0,1171.864
25,pG_Capitanbooblo,10,1,1,2,320.458862,0,0,2,2,85.78446,0,0,1189.045
26,pG_LOGAN,10,2,2,3,390.273,0,1,2,4,219.728592,0,0,1189.05
27,pG_Nehibol,10,1,0,4,126.902328,0,2,1,1,134.2259,0,0,1179.271
28,AG_Execs,13,1,0,5,339.480225,0,1,1,1,230.195358,0,0,1072.881
29,AG_Letti1,13,2,0,3,86.25911,0,2,3,3,98.8941345,0,0,1093.838
30,AG_IVANZ1TO,13,1,1,1,172.945129,0,6,1,1,64.40087,0,0,1103.06
31,AG_p4Mpz,13,1,0,0,253.679947,0,0,1,1,35.276165,0,0,1078.869
32,BD_FAiSKA,1,5,1,2,730.905151,3,0,3,7,225.656128,1,0,1708.682
33,BD_b1rck,1,0,1,1,81.22604,0,1,1,1,189.280273,0,0,1708.682
34,BD_H11jr,1,1,1,4,480.01297,1,0,2,3,75.30533,1,0,1708.682
35,BD_Killdemo,1,1,2,4,277.315247,1,1,1,3,184.5668,0,0,1708.682
36,FG_NRGy-_,3,0,0,0,24.7449875,0,0,0,0,0.0,0,0,613.173
37,FG_FLKS,3,0,0,2,132.1149,0,7,0,0,0.0,0,0,1696.339
38,FG_Chiquitin,3,0,0,3,81.06588,0,2,0,0,0.0,0,0,1696.337
39,FG_danitw,3,0,0,4,72.53541,0,9,0,0,0.0,0,0,1696.343
40,MvG_EINKEL,11,0,1,3,121.399887,0,5,0,0,0.0,0,0,1172.028
41,MvG_N0RAN142,11,0,0,5,162.038925,0,6,1,1,41.59917,0,0,1172.03
42,MvG_Kuzask,11,0,1,4,143.23378,0,8,0,0,0.0,0,0,1172.025
43,MvG_AleRv,11,1,0,5,55.0363159,0,2,1,1,21.8277569,0,0,1172.033
44,SNG_Loquix,6,0,0,2,137.810883,0,0,0,0,0.0,0,0,1018.034
45,SNG_RiboxD,6,0,1,0,0.0,0,0,0,0,0.0,0,0,1316.809
46,SNG_Pand4e,6,2,0,2,194.0,0,2,1,1,40.9494629,0,0,1316.805
47,SNG_p0me,6,0,0,5,0.0,0,10,0,0,0.0,0,0,1083.829
48,REI_Rds149,12,0,0,5,100.715446,0,3,0,0,0.0,1,0,1144.147
49,REI_LorenSid,12,2,1,2,236.871872,0,3,1,1,37.64288,2,0,1166.029
50,REI_rogiwOw,12,0,0,7,269.053131,0,10,0,0,0.0,0,0,1048.658
51,REI_GBL,12,2,1,3,382.033722,0,3,1,1,20.7662678,0,0,1142.251
52,BLT_Harald,9,1,1,1,188.703918,0,1,1,1,162.850937,0,0,1194.577
53,BLT_SzylzEN,9,0,0,3,160.81134,0,1,0,0,0.0,0,0,1193.868
54,BLT_ernzxr,9,2,0,1,200.000015,0,0,2,2,13.6140347,0,0,1185.348
55,BLT_Ragnar,9,0,0,2,0.0,0,0,0,0,0.0,0,0,1194.573
56,SpaceM_kbron,4,0,0,0,0.0,0,0,0,0,0.0,0,0,356.929
57,SpaceM_7onni,4,0,0,1,0.0,0,0,0,0,0.0,0,0,360.106
58,SpaceM_Judro,4,0,0,2,128.470261,0,2,0,0,0.0,0,0,1436.592
59,SpaceM_Maikzj,4,0,0,1,0.0,0,0,0,0,0.0,0,0,1229.051
60,BOSS_V1N1,15,1,0,6,72.46,0,8,1,1,59.166256,1,0,980.275
61,BOSS_GODZER0,15,1,0,6,162.402573,0,12,1,1,231.259048,0,0,980.268
62,BOSS_NOAAH,15,0,0,9,36.54,0,20,0,0,0.0,1,0,980.266
63,BD_b1rck,2,2,2,3,320.370667,0,0,1,2,184.24823,1,0,1545.063
64,BD_H11jr,2,3,2,6,458.6515,0,4,1,6,307.182281,0,0,1571.26
65,BD_FAiSKA,2,1,1,9,165.8268,0,2,0,0,0.0,0,0,1323.207
66,BD_Killdemo,2,0,0,2,54.18,0,0,0,0,0.0,0,0,1011.87
67,FK_MufasaGOD,7,0,0,2,0.0,0,6,1,1,149.515915,1,0,1258.181
68,FK_handywho,7,2,0,0,152.794556,0,1,0,0,0.0,0,1,1104.803
69,FK_Balita,7,3,0,7,356.8163,1,6,2,4,98.0221,1,0,1430.978
70,FK_C0vaD,7,0,0,0,125.773148,0,0,0,0,0.0,0,0,1089.554
71,SNG_Pand4e,3,0,0,0,0.0,0,0,0,0,0.0,0,0,237.388
72,SNG_RiboxD,3,1,1,6,179.721863,0,3,1,2,181.154068,1,0,1398.931
73,SNG_Loquix,3,3,0,6,435.411865,2,4,1,4,184.858551,0,0,1570.011
74,SNG_p0me,3,0,0,3,165.90062,0,5,0,0,0.0,0,0,970.854
75,BOSS_NOAAH,13,1,0,0,48.72027,0,1,1,1,10.0957794,0,0,1057.653
76,BOSS_V1N1,13,1,1,0,294.149353,0,0,1,1,3.88408351,0,0,1074.042
77,BOSS_GODZER0,13,1,1,0,287.205963,0,1,1,2,417.863129,1,0,1052.021
78,SHARKS_c4ssin,4,1,2,4,182.83197,0,9,1,1,273.7796,0,0,1400.611
79,SHARKS_FLG,4,1,1,4,267.7519,0,6,0,0,0.0,0,0,1338.195
80,SHARKS_swag60hz,4,7,2,10,793.4263,1,4,2,4,229.905762,2,0,1563.938
81,SHARKS_Raphaa,4,0,0,0,32.33506,0,0,0,0,0.0,0,0,599.97
82,FG_danitw,8,0,0,0,60.11703,0,0,0,0,0.0,0,0,983.683
83,FG_NRGy-_,8,1,1,4,189.3601,0,3,1,1,51.23058,2,0,1348.855
84,FG_Chiquitin,8,1,1,1,246.362946,0,2,1,1,4.197555,0,0,1355.261
85,FG_FLKS,8,0,1,1,76.11,0,3,0,0,0.0,0,0,1089.646
86,AG_p4Mpz,5,0,0,3,0.0,0,0,0,0,0.0,0,0,818.354
87,AG_Letti1,5,0,0,2,144.432373,0,1,0,0,0.0,0,0,1323.379
88,AG_Execs,5,2,1,5,377.172729,0,3,1,2,29.81179,0,0,1523.327
89,AG_IVANZ1TO,5,0,0,2,71.17833,0,2,0,0,0.0,0,0,1340.507
90,pG_LOGAN,9,1,1,2,100.727234,0,1,1,1,72.11611,1,0,1056.304
91,pG_Nehibol,9,2,1,4,216.326172,0,4,1,2,237.844437,0,0,1068.065
92,pG_R0nner,9,2,0,4,283.0,1,2,2,2,39.958725,0,0,1027.656
93,pG_Capitanbooblo,9,2,2,8,449.040771,1,4,2,2,15.7801981,0,0,1264.953
94,FURIA_hiagguin,14,1,0,3,223.64679,0,6,0,0,0.0,0,0,1064.825
95,FURIA_chuckpira,14,0,0,2,0.0,0,0,0,0,0.0,0,0,1052.822
96,FURIA_zFluxxx,14,0,0,2,0.0,0,0,0,0,0.0,0,0,1028.089
97,FURIA_Rdnx,14,0,0,3,128.497986,0,0,0,0,0.0,0,0,1064.817
98,SpaceM_kbron,15,0,0,0,0.0,0,0,0,0,0.0,0,0,794.705
99,SpaceM_Judro,15,0,0,2,132.503021,0,1,0,0,0.0,0,0,621.07
100,SpaceM_7onni,15,1,1,2,23.199276,0,0,0,0,0.0,0,0,629.91
101,SpaceM_Maikzj,15,1,0,2,102.070343,0,0,0,0,0.0,0,0,794.713
102,PUGb_hiPo,10,2,0,5,502.1552,0,6,2,2,105.732765,1,0,1261.919
103,PUGb_Tr4ncoso,10,0,0,7,132.5053,0,3,0,0,0.0,1,1,1261.915
104,PUGb_O_Heyno,10,1,1,2,207.844482,0,2,1,1,189.677017,0,0,1189.949
105,PUGb_DuhWS,10,1,0,3,90.65997,0,1,1,1,218.222992,0,0,1230.113
106,PRONET_RelaNce,16,2,0,3,183.0,0,1,1,1,51.08772,0,0,632.448
107,PRONET_Yunkosh,16,0,0,3,104.74968,0,0,0,0,0.0,0,0,632.435
108,PRONET_NecroAQN,16,0,0,4,0.0,0,0,0,0,0.0,0,0,632.445
109,PRONET_dTz0r,16,0,0,3,25.8,0,0,0,0,0.0,0,0,632.438
110,REI_Rds149,12,1,0,3,99.57391,0,2,0,0,0.0,0,0,1206.762
111,REI_rogiwOw,12,0,1,2,0.0,0,3,0,0,0.0,0,0,970.592
112,REI_LorenSid,12,1,1,5,189.2779,0,6,0,0,0.0,1,0,1206.769
113,REI_GBL,12,1,0,0,36.46688,1,0,1,1,58.18171,0,0,982.258
114,BLT_Ragnar,1,1,0,4,396.85968,0,6,1,1,81.57801,2,0,1571.311
115,BLT_SzylzEN,1,2,3,5,308.882477,0,3,1,3,274.889832,0,0,1571.311
116,BLT_Harald,1,1,1,5,275.008,0,1,0,0,0.0,1,0,1571.311
117,BLT_ernzxr,1,0,1,4,49.4021835,0,9,0,0,0.0,0,0,1571.311
118,BRC_and1FPS,6,2,1,5,210.777618,0,2,1,1,110.486748,2,0,1449.7
119,BRC_raspu,6,1,0,3,193.551392,0,2,0,0,0.0,0,0,1394.638
120,BRC_rustyzera,6,1,0,0,159.770233,0,1,1,1,78.5481644,0,0,1449.695
121,BRC_ps1co,6,2,0,5,217.591492,0,3,1,1,190.296112,1,0,1449.697
122,MvG_N0RAN142,11,0,1,1,289.3511,0,3,0,0,0.0,0,0,1106.285
123,MvG_EINKEL,11,3,0,2,333.2769,0,0,1,1,13.1906347,0,0,1110.435
124,MvG_Kuzask,11,0,0,6,119.559296,0,2,1,1,324.5103,0,1,1257.082
125,MvG_AleRv,11,0,0,3,216.516556,0,1,0,0,0.0,2,0,1257.086
126,SNG_p0me,11,0,0,0,0.0,0,0,0,0,0.0,0,0,416.83
127,SNG_Loquix,11,1,0,4,165.7036,0,1,1,1,26.1515427,0,0,1174.179
128,SNG_RiboxD,11,1,1,6,130.0,0,12,0,0,0.0,1,0,1164.551
129,SNG_Pand4e,11,0,1,2,74.81999,0,6,0,0,0.0,0,0,959.28
130,SHARKS_swag60hz,3,2,0,4,172.33255,0,1,1,2,357.1406,0,0,1192.881
131,SHARKS_FLG,3,1,1,1,304.289032,1,1,1,2,221.636246,0,0,1294.099
132,SHARKS_Raphaa,3,4,3,5,554.9919,0,2,1,4,162.098251,2,0,1767.124
133,SHARKS_c4ssin,3,1,0,3,138.771576,0,3,0,0,0.0,0,0,1590.373
134,REI_GBL,6,0,1,4,349.259979,0,1,1,2,19.9629135,0,0,1526.112
135,REI_rogiwOw,6,0,0,3,32.6456223,0,0,0,0,0.0,0,0,1013.049
136,REI_LorenSid,6,2,0,2,259.522217,0,3,1,1,8.844606,0,0,1116.32
