,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TBG_brAtu,15,0,0,2,0.0,0,3,0,0,0.0,0,0,790.719
1,TBG_ps1ca26,15,0,0,1,0.0,0,1,0,0,0.0,0,0,622.06
2,TBG_m4rtinsan,15,1,0,3,77.89292,0,0,0,0,0.0,0,0,621.454
3,TBG_eMi,15,1,0,5,200.93552,0,4,0,1,12.211606,0,0,790.729
4,EXP_marsh1,16,0,0,0,0.0,0,0,0,0,0.0,0,0,436.567
5,EXP_SoulsHunter,16,0,0,0,19.8,0,0,0,0,0.0,0,0,436.557
6,EXP_PoP1000,16,1,0,0,100.0,0,1,0,1,22.86801,0,0,436.577
7,EXP_MufasaDOG,16,0,0,0,62.415016,0,0,0,0,0.0,0,0,436.548
8,SPA_bisnag4,1,1,1,8,504.99005,2,6,0,5,149.79874,0,0,1784.094
9,SPA_LorenSid,1,3,2,3,566.2488,2,0,0,4,174.17949,0,0,1784.094
10,SPA_C0vaD,1,1,2,7,556.0607,1,8,0,4,98.213165,0,0,1784.094
11,SPA_NOAAH,1,1,1,4,391.94608,0,1,0,1,220.60721,1,0,1784.094
12,YK_KF9sk,7,1,1,2,433.3841,0,3,0,0,0.0,0,0,1481.561
13,YK_coff1,7,1,2,2,380.55933,0,0,0,1,52.383255,1,0,1481.569
14,YK_hiagguin,7,1,1,2,248.18005,0,1,0,0,0.0,0,0,1272.166
15,YK_and1FPS,7,5,1,5,845.77106,1,1,0,3,211.934,0,0,1481.552
16,UADA_Tryy,6,2,0,5,311.52298,0,7,0,1,46.380917,0,0,1587.401
17,UADA_Selfish,6,2,0,3,311.8624,0,2,0,1,36.77165,1,0,1095.242
18,UADA_dANFPS,6,2,0,3,296.58246,1,7,0,2,39.759293,1,0,1282.192
19,UADA_BRUT0S,6,0,1,2,89.16168,0,4,0,0,0.0,0,0,1292.782
20,BB3_Capitan,2,1,0,4,271.65475,0,4,0,1,69.25426,1,0,1757.216
21,BB3_Loquix,2,1,1,5,100.0,0,7,0,0,0.0,0,0,1783.967
22,BB3_Pand4e,2,0,0,5,93.20317,0,3,0,0,0.0,0,0,1766.389
23,BB3_krizteM,2,0,0,8,0.0,0,1,0,0,0.0,0,0,1783.326
24,JUST_kODAk1d,9,1,1,1,378.54984,0,3,0,0,0.0,0,0,1284.329
25,JUST_quick,9,2,1,0,127.69811,0,1,0,4,197.03534,1,0,1284.349
26,JUST_dexLa,9,2,0,0,258.57965,1,1,0,2,175.62311,1,0,1284.34
27,JUST_triNA,9,0,1,5,90.52162,0,3,0,0,0.0,0,0,1271.61
28,G2G_ganjohan,5,1,1,3,336.9449,0,2,0,2,164.92523,1,0,1533.383
29,G2G_Yunkosh,5,1,0,6,218.38779,0,8,0,1,41.94831,0,0,1726.957
30,G2G_snapzx,5,0,0,3,0.0,0,3,0,0,0.0,2,0,1570.418
31,G2G_RelaNce,5,1,1,3,20.804075,0,0,0,0,0.0,0,0,1048.143
32,MEC_Rizola,10,1,1,1,57.211937,1,0,0,2,28.969355,0,0,999.175
33,MEC_FlavynN,10,1,2,5,209.0682,0,2,0,0,0.0,0,0,1057.036
34,MEC_hvz,10,0,0,0,128.34,0,0,0,0,0.0,0,0,405.413
35,MEC_IVANZ1TO,10,3,2,3,429.27975,0,2,0,3,49.883514,0,0,1255.396
36,OT_Letti1,14,1,2,2,140.31366,0,1,0,1,14.226889,1,1,907.91
37,OT_SrSwagger,14,1,0,3,296.78027,1,3,0,2,17.802475,0,0,907.9
38,OT_Execs,14,0,0,0,68.31,0,0,0,0,0.0,0,0,624.24
39,OT_p4Mpz,14,0,1,1,122.82001,0,1,0,0,0.0,0,0,898.767
40,ATN1_FAISKA,12,0,0,2,0.0,0,0,0,0,0.0,0,0,1108.879
41,ATN1_H11JR,12,0,0,1,0.0,0,2,0,0,0.0,0,0,1091.121
42,ATN1_tplentz,12,0,0,1,91.1878,0,0,0,0,0.0,0,0,1107.629
43,ATN1_Arthur44,12,0,0,2,24.740139,0,0,0,0,0.0,0,0,1096.706
44,LBJ_keeepz1,3,2,2,4,477.64154,0,3,0,1,338.91272,0,0,1442.559
45,LBJ_naka,3,2,1,0,314.7981,0,0,0,0,0.0,1,0,1442.954
46,LBJ_magic-swag,3,4,1,10,396.1048,0,9,0,4,87.33832,0,0,1779.556
47,LBJ_XETTI,3,2,0,5,630.4701,0,0,0,0,0.0,0,0,1759.752
48,META_kyshenn,8,0,1,4,122.40413,0,1,0,0,0.0,2,0,1474.984
49,META_vhz,8,2,0,5,83.297195,1,4,0,2,27.131313,0,0,1474.992
50,META_SzylzEN,8,1,0,3,107.94385,0,2,0,0,0.0,0,0,1394.93
51,META_sparkingg,8,0,0,6,261.46085,0,1,0,0,0.0,0,0,1408.233
52,MD_LYC4N-,4,0,0,0,0.0,0,0,0,0,0.0,0,0,209.3
53,MD_LuThug,4,2,2,9,394.9061,1,12,0,1,2.8129883,1,0,1763.075
54,MD_Feer1-,4,2,0,5,350.15005,0,5,0,2,237.03914,1,0,1763.086
55,MD_Messias1,4,2,0,4,353.90405,0,8,0,2,220.50891,1,0,1761.966
56,AZE_HazeteN,13,0,0,7,168.10953,0,5,0,0,0.0,0,0,1042.945
57,AZE_TopoLobo,13,0,0,2,26.789999,0,0,0,0,0.0,0,0,1079.276
58,AZE_Eva-001,13,1,0,2,209.1447,0,2,0,0,0.0,0,0,1098.883
59,AZE_AleeRv,13,0,0,0,0.0,0,1,0,0,0.0,2,0,1098.893
60,NT_groppoRJ,11,1,0,4,46.034416,0,1,0,2,238.14395,0,0,1206.218
61,NT_ZxLopes,11,2,4,3,416.82654,0,1,0,0,0.0,0,0,1206.235
62,NT_Hieguin,11,0,0,1,88.94511,0,0,0,0,0.0,0,0,1206.225
63,NT_QBalita,11,1,0,4,69.91738,0,7,0,1,24.662674,1,0,1206.21
64,TBG_brAtu,5,0,0,1,91.0041,0,6,0,0,0.0,0,0,1441.569
65,TBG_R4STY,5,0,1,6,142.05685,0,4,0,0,0.0,0,0,1275.667
66,TBG_m4rtinsan,5,2,0,5,303.14148,0,2,0,2,288.2007,0,0,1433.388
67,TBG_ps1ca26,5,1,0,6,239.07668,0,3,0,2,44.38076,0,0,1502.306
68,JUST_triNA,12,0,0,0,60.885002,0,0,0,0,0.0,0,0,579.861
69,JUST_dexLa,12,0,1,1,40.194,0,3,0,0,0.0,0,0,763.347
70,JUST_quick,12,2,0,6,174.1885,0,8,0,2,21.992983,0,0,1059.224
71,JUST_kODAk1d,12,1,0,0,122.14,0,2,0,1,37.91807,0,0,788.604
72,UADA_Tryy,14,0,0,0,0.0,0,0,0,0,0.0,0,0,526.887
73,UADA_dANFPS,14,1,0,3,372.81268,0,0,0,1,16.808765,0,0,999.103
74,UADA_BRUT0S,14,1,0,1,194.47836,0,2,0,0,0.0,0,0,999.114
75,UADA_Selfish,14,0,0,0,0.0,0,0,0,0,0.0,0,0,484.292
76,BB3_Pand4e,6,2,0,3,213.24826,0,2,0,2,123.8717,0,0,1378.104
77,BB3_krizteM,6,0,0,0,0.0,0,0,0,0,0.0,0,0,599.026
78,BB3_Capitan,6,0,0,1,63.135,0,0,0,0,0.0,0,0,599.51
79,BB3_Loquix,6,1,0,3,141.9583,0,0,0,0,0.0,0,0,1408.906
80,ATN1_tplentz,15,1,3,2,21.734999,0,1,0,0,0.0,1,0,871.147
81,ATN1_H11JR,15,1,0,2,208.33,0,1,0,1,17.506645,0,0,769.949
82,ATN1_FAISKA,15,0,0,2,114.4075,0,0,0,0,0.0,0,0,648.359
83,ATN1_Arthur44,15,3,0,2,283.57315,0,3,0,3,89.99191,0,0,916.225
84,MD_Feer1-,7,1,0,5,222.20001,0,0,0,1,5.7212133,1,0,1376.667
85,MD_LuThug,7,1,3,4,187.18747,0,3,0,0,0.0,0,0,1376.676
86,MD_Messias1,7,1,0,1,111.969864,0,0,0,1,194.80411,0,0,1085.908
87,MD_LYC4N-,7,1,0,3,35.199997,0,2,0,0,0.0,0,0,1096.756
88,NT_groppoRJ,9,3,0,7,335.45792,1,8,0,4,58.907448,0,0,1374.65
89,NT_QBalita,9,1,1,4,127.97336,0,6,0,0,0.0,0,0,959.852
90,NT_Hieguin,9,0,1,4,0.0,0,1,0,0,0.0,0,0,945.262
91,NT_ZxLopes,9,1,0,5,199.67682,0,6,0,1,21.816711,0,0,1301.778
92,EXP_MufasaDOG,13,2,0,3,192.86111,0,2,0,2,12.708656,0,0,1031.524
93,EXP_marsh1,13,0,0,4,50.4,0,6,0,0,0.0,0,0,1031.514
94,EXP_PoP1000,13,0,0,4,33.79985,0,2,0,0,0.0,1,0,1025.758
95,EXP_SoulsHunter,13,0,0,4,25.095457,0,5,0,0,0.0,1,0,1027.126
96,MEC_IVANZ1TO,8,0,0,0,0.0,0,0,0,0,0.0,0,0,438.745
97,MEC_hvz,8,2,1,5,451.33356,2,2,0,3,137.8878,0,0,1376.522
98,MEC_Rizola,8,0,0,0,0.0,0,0,0,0,0.0,0,0,429.281
99,OT_Execs,2,5,3,5,799.86865,0,2,0,4,194.19087,0,0,1784.696
100,OT_Letti1,2,0,0,0,132.13568,0,0,0,0,0.0,0,0,1237.945
101,OT_SrSwagger,2,1,1,4,432.98874,0,2,0,0,0.0,0,0,1764.083
102,OT_p4Mpz,2,0,0,1,20.785273,0,0,0,0,0.0,0,0,962.474
103,SPA_bisnag4,3,1,2,3,513.50287,0,2,0,0,0.0,1,0,1659.816
104,SPA_LorenSid,3,1,0,5,262.27383,0,9,0,2,91.16731,1,0,1622.086
105,SPA_NOAAH,3,0,0,1,0.0,0,0,0,0,0.0,0,0,716.767
106,SPA_C0vaD,3,1,0,7,272.52704,0,2,0,1,92.61435,0,0,1443.383
107,META_kyshenn,16,0,1,0,92.46,0,0,0,0,0.0,0,0,629.697
