,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,UNT_L1P7,16,1,1,4,216.11835,0,2,1,1,26.139732,1,0,1103
1,UNT_KENDMAN,16,1,0,4,112.97153,1,2,1,1,106.17491,0,0,1101
2,UNT_AndreLM1,16,0,0,0,0.0,0,0,0,0,0.0,0,0,108
3,UNT_Gu1masFPS,16,0,0,3,0.0,0,4,0,0,0.0,0,0,1103
4,VE_4ngeeL,14,0,0,4,0.0,0,2,0,0,0.0,0,0,1122
5,VE_GirlPower_,14,0,0,3,0.0,0,3,0,0,0.0,0,0,1122
6,VE_Jarita,14,0,0,3,0.0,0,1,0,0,0.0,0,0,785
7,VE_S4N7I-,14,0,0,1,30.240793,0,1,0,0,0.0,0,0,1122
8,K4F_LnD,9,0,0,2,85.20464,0,0,0,0,0.0,0,0,1274
9,K4F_keKAO,9,0,0,6,89.03784,0,2,0,0,0.0,0,0,1242
10,K4F_Pedrin2Balas,9,0,0,3,147.22829,0,2,0,0,0.0,2,0,1274
11,YJ_jhownbappe,6,1,0,6,45.701385,1,8,1,1,174.27997,0,0,1341
12,YJ_yinyang,6,0,0,10,29.04,0,4,0,0,0.0,1,0,1433
13,YJ_KoLLiTaGoD,6,0,0,6,0.0,0,1,0,0,0.0,0,0,1047
14,YJ_RepolinZyx,6,0,1,6,25.848757,0,7,0,0,0.0,2,0,1412
15,BBY_zDark-_,7,1,3,4,405.88586,0,1,1,1,50.56302,1,0,543
16,BBY_heelpzk1ng,7,0,0,3,11.34,0,0,0,0,0.0,0,0,1080
17,BBY_Shad0Wy,7,1,1,2,247.64397,0,3,1,2,94.40425,0,0,1326
18,BBY_vTnX-,7,2,0,5,278.1583,0,4,1,3,85.53966,1,0,1350
19,UWU_Sharkew,1,2,2,7,194.79568,0,2,0,0,0.0,0,0,1586
20,UWU_Cezlol,1,7,3,12,974.64404,1,9,2,3,46.17528,0,0,1841
21,UWU_INZA,1,1,0,0,323.33234,3,0,1,3,177.848,2,0,1841
22,UWU_renz0-,1,2,0,5,438.54163,0,5,2,3,61.396137,0,0,1841
23,AKM_D4mox,10,0,1,4,131.95738,0,3,0,0,0.0,1,0,1262
24,AKM_NCLS-,10,0,0,5,168.33078,0,6,1,1,54.966164,0,0,1250
25,AKM_mArtins4n,10,0,0,4,243.18324,0,3,0,0,0.0,0,0,1262
26,AKM_AleeRv,10,0,0,2,159.03183,0,1,0,0,0.0,1,0,1234
27,BAIT_dggggz,8,4,1,6,442.4389,0,5,1,4,581.29877,0,0,1342
28,BAIT_meisner,8,0,2,3,142.21086,1,2,1,1,7.7489605,0,0,1342
29,BAIT_BrandyZ,8,1,2,4,165.42,0,3,0,0,0.0,0,0,1342
30,BAIT_BrenyNskt1,8,0,0,4,127.713104,0,2,0,0,0.0,0,0,1342
31,TX_San71Hero1,11,1,2,1,247.64178,0,1,0,0,0.0,1,0,1260
32,TX_kl4uZeera,11,3,1,5,144.76282,1,8,1,3,159.01848,0,0,1260
33,TX_D13L3T,11,1,2,3,445.19348,0,3,1,1,4.4301248,0,0,1260
34,TX_Edu14UwUwU,11,2,1,4,207.2555,2,5,2,3,57.82668,0,0,1184
35,HIGH_9940-,13,0,0,0,0.0,0,1,0,0,0.0,0,0,1001
36,HIGH_Kerak,13,1,1,1,157.97357,0,0,0,0,0.0,0,0,1144
37,HIGH_gLEEEEEEEE,13,1,0,0,99.99999,0,0,0,0,0.0,0,0,1041
38,HIGH_BRKZ1,13,2,0,3,210.30809,1,2,2,2,31.133953,0,1,1144
39,BEEH_LukaNN,2,1,0,4,338.31183,0,2,1,1,79.19658,0,0,1841
40,BEEH_sn4ppi,2,0,1,5,288.9356,0,1,0,0,0.0,3,0,1841
41,BEEH_1showmann,2,3,1,9,678.647,0,2,0,0,0.0,1,0,1841
42,BEEH_7Toy,2,3,0,5,762.5607,1,0,1,3,169.04369,0,0,1587
43,EAD_Zebral,4,4,2,11,559.744,1,3,2,4,69.071556,2,0,1740
44,EAD_IlIl97,4,2,3,7,545.2235,0,5,1,3,246.6478,0,0,1740
45,EAD_NOAAH,4,3,4,9,372.0116,0,7,0,0,0.0,1,0,1740
46,EAD_1FanaTic,4,1,2,0,89.949615,0,0,0,0,0.0,0,0,1235
47,VT_FAISKA,12,1,1,5,221.56584,1,1,1,1,79.22787,0,0,1193
48,VT_gebezera,12,1,2,4,285.50967,0,3,0,0,0.0,0,0,1204
49,VT_Rds149,12,0,0,5,20.217125,0,1,0,0,0.0,0,0,1204
50,VT_DreamRust,12,2,0,3,304.6414,1,4,1,2,53.934082,1,0,1204
