,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TX_xWinSantiago,6,0,0,1,0.0,0,0,0,0,0.0,0,0,663.369
1,TX_EduardoAr14,6,0,0,4,26.6,0,1,0,0,0.0,0,0,646.907
2,TX_D13L3T,6,0,0,2,84.479996,0,0,0,0,0.0,0,0,670.646
3,TX_San71Hero1,6,1,0,12,572.32794,0,10,2,2,118.42583,0,0,1429.575
4,AKM_Randy,1,2,5,7,712.36487,0,12,1,2,133.30782,0,0,1828.487
5,AKM_D4,1,2,1,3,207.47258,0,8,2,4,44.433403,1,0,1828.487
6,AKM_TopoLobo,1,2,0,7,268.66705,0,6,0,0,0.0,0,0,1817.5
7,AKM_ELTIGUERE,1,3,0,7,554.9037,0,8,2,3,71.665924,3,0,1828.487
8,4WG_Eduardo10,12,1,0,2,0.0,0,5,0,0,0.0,1,0,1231.864
9,4WG_JonasSJ,12,0,1,0,41.58,0,0,0,0,0.0,0,0,1231.867
10,4WG_Hieguin,12,0,0,4,70.99913,0,3,0,0,0.0,0,0,1213.317
11,4WG_Axmire,12,0,0,3,0.0,0,1,0,0,0.0,0,0,1091.448
12,YKZ_nosbak,8,1,2,2,275.5443,0,4,1,1,3.8336163,1,0,1242.661
13,YKZ_bitzera,8,2,1,5,109.73372,0,1,0,0,0.0,1,0,1382.395
14,YKZ_fpsGregory,8,4,1,3,652.4549,1,5,2,6,77.38378,0,0,1373.05
15,OT_dAnzO-,2,0,1,4,243.16147,0,5,0,0,0.0,0,0,1773.592
16,OT_Yunkosh,2,1,1,7,439.4852,0,4,1,1,100.80844,0,0,1828.362
17,OT_LekrO-,2,2,1,7,325.8402,0,12,0,0,0.0,1,0,1811.558
18,OT_derbyeast,2,1,0,6,188.45908,1,4,1,2,53.360977,0,0,1752.21
19,VS_groppoRJ,10,0,0,3,272.18152,0,0,1,1,44.76999,0,0,1134.663
20,VS_tplentz,10,2,0,3,338.4872,1,1,2,2,12.4055605,0,0,1124.39
21,VS_Joob7,10,2,0,2,373.96173,0,1,1,1,15.084669,1,0,1179.002
22,VS_RTRAY,10,1,0,7,446.17892,0,5,1,2,341.98,0,0,1249.825
23,J2C_quick,16,0,0,2,42.3,0,0,0,0,0.0,0,0,1044.67
24,J2C_martins4n,16,0,0,3,147.27156,0,1,0,0,0.0,0,0,1044.672
25,J2C_krizteM,16,1,0,3,207.56477,0,0,0,0,0.0,0,0,1044.676
26,J2C_Loquix,16,0,0,2,55.755646,0,3,0,0,0.0,0,0,1044.674
27,MV1_HGfps,5,1,1,5,80.48979,0,1,1,1,14.004685,2,0,1448.215
28,MV1_Shapp2k,5,0,2,6,90.52226,0,5,1,1,40.849293,0,0,1448.213
29,MV1_zkrakeN,5,0,1,4,128.5293,0,6,0,0,0.0,0,0,1270.343
30,MV1_cgdzin,5,2,1,3,71.779594,0,1,1,1,76.478516,0,0,1273.804
