,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,VULT_Fczz,11,0,0,0,0.0,0,0,0,0,0.0,0,0,1227.0
1,VULT_LincolN,11,0,0,3,149.3624,0,4,0,0,0.0,0,0,1239.0
2,VULT_EvaldT,11,1,0,1,139.30461,1,0,1,1,32.32777,0,0,977.0
3,VULT_Gu1mas,11,0,0,4,0.0,0,2,0,0,0.0,0,0,1232.0
4,OUTS_dnL,10,0,0,0,0.0,0,0,0,0,0.0,0,0,89.0
5,OUTS_vsyncSkr,10,2,1,5,515.1874,1,5,1,1,3.2768857,2,0,1332.0
6,OUTS_dekufps,10,1,0,5,29.440002,0,1,1,1,56.22601,0,0,236.0
7,OUTS_QBalita,10,2,0,6,370.08426,0,11,2,2,5.0215626,1,0,1178.0
8,DOGS_Haven,12,3,0,3,234.79,0,2,1,1,38.0895,0,0,1133.0
9,DOGS_FlavynN,12,1,1,2,217.90309,0,1,0,0,0.0,0,0,1131.0
10,DOGS_armatx,12,0,0,0,0.0,0,0,0,0,0.0,0,0,674.0
11,DOGS_deanzera,12,2,0,3,281.01,0,2,3,3,14.507427,1,0,1127.0
12,CL_PerichyllzEN,8,0,0,4,206.06873,1,2,1,1,220.22986,0,0,1350.0
13,CL_GetnR,8,0,0,7,69.49826,0,3,1,1,311.37433,1,0,1348.0
14,CL_KvznO,8,0,0,1,108.88159,0,1,1,1,268.84222,0,0,1350.0
15,CL_Togoo,8,0,0,3,145.60435,0,14,0,0,0.0,0,0,1350.0
16,S1B_NoggSwag,14,0,0,3,77.880005,0,2,0,0,0.0,0,0,1030.0
17,S1B_GeBeZiin,14,0,0,3,161.29881,0,4,0,0,0.0,0,0,995.0
18,S1B_zBrtt,14,0,0,0,0.0,0,2,0,0,0.0,0,0,896.0
19,S1B_PENN-_-,14,0,0,0,0.0,0,0,0,0,0.0,0,0,1030.0
20,PANE_Srlutinho,5,2,1,8,431.4015,0,2,1,1,66.75947,1,0,1658.0
21,PANE_DZRTT,5,3,2,5,735.1932,0,11,1,2,175.41962,0,0,1648.0
22,PANE_SonycX,5,1,0,2,129.23468,0,6,1,1,70.33331,0,0,1639.0
23,PANE_KoLLiTaGoD,5,3,2,6,525.88727,0,3,1,1,91.715065,0,0,1658.0
24,JD_NOAAH,3,1,1,5,458.3922,0,8,1,1,72.06743,0,0,1491.0
25,JD_marsh1-,3,2,1,8,227.91908,1,2,1,2,47.134926,0,0,1748.0
26,JD_p4Mpz,3,0,0,6,168.15921,0,9,0,0,0.0,1,0,1467.0
27,JD_bcker,3,2,3,3,109.11594,0,2,0,0,0.0,0,0,1471.0
28,GST_Nitroxx,7,1,0,9,232.2132,0,4,1,1,9.381176,1,0,1434.0
29,GST_Kamysh-,7,3,1,8,280.9389,1,2,1,1,17.584053,0,0,1434.0
30,GST_Kidola01,7,1,0,5,381.81287,0,1,1,1,30.060942,0,0,1404.0
31,GST_Doctor313,7,1,1,8,258.6404,0,6,0,0,0.0,1,0,1434.0
