,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,FTA_patuco,11,0,0,4,206.78221,0,1,1,1,1.8339478,0,0,1261
1,FTA_KF9sk,11,1,0,6,336.9151,0,6,1,1,31.565956,0,0,1261
2,FTA_coff1,11,2,1,4,248.08147,2,5,2,2,42.175644,2,0,1261
3,FTA_hiagguin,11,1,0,0,100.00001,0,1,0,0,0.0,0,0,283
4,BAR_ShaoW,15,0,0,1,0.0,0,1,0,0,0.0,0,0,923
5,BAR_GoDzin,15,1,0,3,175.98022,1,0,1,1,21.440865,0,0,939
6,BAR_Hieguin,15,0,1,1,47.867752,0,0,0,0,0.0,0,0,870
7,BAR_EduZz,15,0,0,0,0.0,0,0,0,0,0.0,0,0,175
8,YJ_DRIECK,5,0,0,3,0.0,0,0,0,0,0.0,0,0,831
9,YJ_jhownbappe,5,1,0,2,80.0,0,0,1,1,18.031387,0,0,1664
10,YJ_FelipeRoch4,5,0,0,2,22.071754,0,1,0,0,0.0,0,0,811
11,YJ_Betungas,5,0,0,0,13.410844,0,0,0,0,0.0,0,0,389
12,ANB_Nananga,8,1,1,2,118.45,1,3,1,1,9.902733,0,0,1229
13,ANB_Selfish,8,3,0,3,427.96957,0,5,1,1,4.5809383,1,0,1296
14,ANB_pablex,8,5,2,3,452.48334,0,4,2,6,52.264523,1,1,1296
15,ANB_rnzeera,8,2,0,6,283.3618,0,3,1,2,28.732882,0,0,1285
16,BAIT_BrandyZ,4,2,0,4,553.32117,0,11,0,0,0.0,0,0,1575
17,BAIT_dggggz,4,0,0,2,75.48067,0,0,0,0,0.0,0,0,1038
18,BAIT_meisner,4,4,2,6,836.33777,0,15,1,1,75.94812,0,0,1807
19,BAIT_BRENOSKT4,4,2,0,5,569.9273,0,4,0,0,0.0,0,0,1848
20,ONE_DiegoSimoura,3,0,1,6,109.45243,0,6,0,0,0.0,1,0,1850
21,ONE_Kokke1,3,2,0,5,197.08641,1,2,1,2,206.09157,0,0,1605
22,ONE_XH4KAA,3,2,1,6,544.60443,0,9,1,1,7.203085,0,0,1860
23,ONE_Seet,3,0,0,6,283.13803,0,5,0,0,0.0,0,0,1624
24,NT_FranXzz,9,2,2,1,595.07294,0,6,1,1,1.1778817,0,0,1291
25,NT_mykestarr-,9,0,1,4,382.24207,0,8,1,2,298.5329,0,0,1291
26,NT_seven,9,3,1,3,314.59793,0,0,0,0,0.0,0,0,1280
27,NT_ThrZ,9,0,0,0,57.87462,0,0,0,0,0.0,0,0,440
28,4P1S_BrudaNxD,7,3,0,5,282.48407,0,2,1,1,367.86737,1,0,1406
29,4P1S_Falcon,7,0,0,4,297.91864,1,6,1,1,297.8926,0,0,1479
30,4P1S_Niiniiwi,7,0,0,3,26.286911,0,0,0,0,0.0,0,0,1323
31,4P1S_Nobody,7,1,0,4,216.74338,1,8,1,3,167.71277,0,0,1481
32,AKM_NCLS-,1,2,1,4,406.85797,0,3,1,2,182.28888,0,0,1888
33,AKM_mArtins4n,1,1,5,6,507.76773,1,9,1,1,6.0860515,0,0,1320
34,AKM_D4mox,1,2,1,5,284.8844,0,7,1,2,94.236084,0,0,1888
35,AKM_AleeRv,1,1,1,7,427.90262,2,5,1,3,131.4636,1,0,1888
36,VULT_Fczz,6,0,0,3,206.10283,0,3,0,0,0.0,0,0,1637
37,VULT_LincolN,6,2,0,3,486.6935,0,4,0,0,0.0,0,0,1522
38,VULT_ShadoWy,6,0,0,0,19.77301,0,0,0,0,0.0,0,0,1098
39,VULT_Yunkosh,6,1,0,4,210.79999,0,1,0,0,0.0,1,0,1523
40,EM3_m4gnno,10,0,0,2,146.18547,0,1,0,0,0.0,1,0,1288
41,EM3_FROGMAN1,10,2,0,4,169.91977,1,3,2,3,290.17062,0,0,1288
42,EM3_Tecnosh,10,1,0,2,119.8,0,1,0,0,0.0,0,0,1288
43,EM3_Shapp2k,10,1,1,7,72.67316,0,1,1,1,3.166138,0,0,1288
44,MNB_gbr,14,0,1,3,64.69817,0,1,1,1,290.7167,1,0,1104
45,MNB_dnL,14,0,0,5,82.478775,0,0,0,0,0.0,0,0,1106
46,MNB_NCLTT,14,3,0,6,488.0602,0,3,1,1,214.94295,0,0,1119
47,MNB_naka,14,0,0,2,0.0,0,1,0,0,0.0,0,0,783
48,HIGH_Moz4rt_-,13,0,0,5,117.380875,0,5,0,0,0.0,0,0,1222
49,HIGH_KerakTMz,13,1,0,6,154.2251,0,3,1,1,31.427862,2,0,887
50,HIGH_thgnn,13,0,0,3,339.45294,0,4,0,0,0.0,0,0,1229
51,HIGH_EElg,13,0,0,3,59.27929,0,2,0,0,0.0,0,0,997
52,BEEH_ItachiziNN,16,1,0,2,90.715004,0,1,0,0,0.0,0,0,536
53,BEEH_7Toy,16,0,0,0,107.1,0,0,0,0,0.0,0,0,536
54,BEEH_LukaNN,16,0,0,0,0.0,0,1,0,0,0.0,0,0,279
55,BEEH_vini,16,1,0,2,215.835,0,1,1,1,31.931581,1,0,536
56,EAD_Zebral,2,2,0,8,247.70418,0,9,1,2,24.111347,2,0,1190
57,EAD_Arthur44,2,3,4,9,621.5148,3,14,2,5,55.01024,2,0,1863
58,EAD_FlavynN,2,2,3,9,655.3458,0,8,1,3,79.2688,3,0,1029
59,EAD_zkrakeN,2,2,1,8,345.18552,1,9,2,4,82.27932,1,0,1887
60,ASIL_L1P7,12,0,0,7,187.00308,0,15,0,0,0.0,0,0,1095
61,ASIL_f0rget,12,0,0,3,52.872402,0,3,0,0,0.0,2,0,1102
62,ASIL_Barbosa,12,0,0,3,32.546165,0,2,0,0,0.0,0,0,1249
63,ASIL_z4cx,12,1,0,2,63.38877,0,5,0,0,0.0,1,0,1146
64,ANB_rnzeera,4,1,2,2,175.06943,0,6,1,1,355.5996,0,0,1506
65,ANB_pablex,4,2,3,10,372.43945,0,13,1,2,160.42458,0,0,1761
66,ANB_Nananga,4,1,1,4,282.0245,0,3,1,1,196.52196,1,0,1761
67,ANB_Selfish,4,1,1,4,155.64752,0,2,1,1,30.703743,0,0,1501
68,EAD_zkrakeN,15,0,0,2,24.408524,0,3,0,0,0.0,0,0,760
69,EAD_Zebral,15,1,0,5,100.0,1,2,1,1,69.76265,1,0,998
70,EAD_Arthur44,15,0,0,5,56.707043,0,7,0,0,0.0,0,0,998
71,EAD_FlavynN,15,0,1,5,68.148285,0,6,0,0,0.0,0,0,994
72,ASIL_z4cx,8,0,0,3,45.15753,0,0,0,0,0.0,0,0,674
73,ASIL_f0rget,8,1,0,0,244.13788,1,1,1,2,91.655495,0,0,716
74,ASIL_Barbosa,8,0,0,1,64.00928,0,0,0,0,0.0,0,0,651
75,ASIL_L1P7,8,0,1,6,125.78937,0,2,2,3,99.727425,0,0,1364
76,4P1S_BrudaNxD,6,0,0,3,131.37,0,5,1,1,23.176453,2,0,1414
77,4P1S_Falcon,6,1,0,2,227.98206,1,1,1,1,34.49211,0,0,1409
78,4P1S_Niiniiwi,6,2,1,2,265.98816,0,2,1,1,59.377335,1,0,1406
79,4P1S_Nobody,6,0,0,4,42.997498,0,3,0,0,0.0,0,0,1310
80,BAIT_BrandyZ,9,1,1,2,215.05775,0,6,0,0,0.0,0,0,1307
81,BAIT_dggggz,9,0,0,2,0.0,0,4,0,0,0.0,0,0,363
82,BAIT_meisner,9,0,1,0,150.46312,0,1,0,0,0.0,0,0,403
83,BAIT_BRENOSKT4,9,2,1,2,89.179344,0,4,0,0,0.0,0,0,425
84,BEEH_vini,13,1,0,4,141.07051,0,9,0,0,0.0,0,0,1140
85,BEEH_LukaNN,13,0,0,3,126.66641,0,3,0,0,0.0,0,0,1170
86,BEEH_7Toy,13,1,0,4,98.3573,0,1,0,0,0.0,0,0,1173
87,BEEH_ItachiziNN,13,2,0,4,192.25,1,1,1,1,35.193863,1,0,1173
88,FTA_coff1,1,2,5,10,668.53955,2,6,2,3,32.225327,2,0,1803
89,FTA_KF9sk,1,7,1,5,1160.3097,3,3,3,8,118.579094,0,0,1803
90,FTA_hiagguin,1,4,4,6,634.3772,1,4,1,4,72.643196,3,0,1803
91,FTA_patuco,1,2,0,4,190.7138,1,4,1,2,112.13686,1,0,1803
92,NT_ThrZ,5,2,0,4,540.478,0,6,1,1,13.853391,0,0,1580
93,NT_seven,5,1,0,5,179.65219,0,6,0,0,0.0,0,0,1596
94,NT_FranXzz,5,0,0,4,182.52187,0,6,1,1,289.05573,1,0,1602
95,NT_mykestarr-,5,1,0,4,170.28378,0,2,1,1,190.37889,0,0,1543
96,HIGH_thgnn,7,0,0,4,97.48111,0,1,0,0,0.0,0,0,1122
97,HIGH_KerakTMz,7,3,1,5,355.035,0,2,1,4,200.07205,0,0,1369
98,HIGH_blackz,7,1,1,2,101.07071,0,0,0,0,0.0,0,0,771
99,HIGH_EElg,7,2,1,9,234.90964,1,5,1,2,154.78616,0,0,1371
100,YJ_jhownbappe,11,0,0,6,112.959465,0,8,0,0,0.0,0,0,1214
101,YJ_DRIECK,11,1,1,6,287.29068,0,10,0,0,0.0,1,0,1214
