,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,es_sea-aoc21_01,5,0,0,0,69.09,0,0,0,0,0.0,0,0,400
1,METTHOB02,1,0,0,2,400.0,2,2,1,4,31.658943,0,0,719
2,METTHOB01,4,0,0,2,122.33499,0,1,0,0,0.0,0,0,451
3,METTHLOP02,3,0,0,0,0.0,0,0,0,0,0.0,0,0,616
4,es_test-aoc21_02,2,0,0,1,0.0,0,0,0,0,0.0,0,0,719
5,FTF_BrokenHearts,3,0,0,4,0.0,0,0,0,0,0.0,0,0,466
6,FTF_Ma4nn,3,0,0,0,18.0,0,0,0,0,0.0,0,0,528
7,FTF_yQQ,3,1,0,1,159.53499,0,2,1,1,169.00629,0,0,628
8,FTF_Hikaru,3,1,0,2,301.76993,0,0,1,2,43.43843,0,0,486
9,MiTH_Jacob,6,2,2,1,221.4837,1,10,1,2,137.90291,0,0,392
10,MiTH_ThanawatTH,6,1,0,0,68.922005,0,2,1,1,11.606062,0,0,167
11,MiTH_Ezqelusia,6,2,3,3,305.10822,0,3,1,2,47.06564,0,0,392
12,MiTH_RogueNANZMY,6,0,1,0,39.077995,0,0,0,0,0.0,0,0,172
13,MiTH_FuZio,6,0,0,0,0.0,0,0,0,0,0.0,0,0,124
14,EA_Lericz,1,2,2,2,107.087265,1,0,3,3,53.473785,0,0,649
15,EA_KM99,1,3,2,2,405.68756,1,2,1,4,45.23766,0,0,649
16,EA_iamfarOz,1,0,0,0,0.0,0,0,0,0,0.0,0,0,62
17,EA_Xizzy,1,1,1,1,196.22514,1,1,1,1,6.532855,0,0,158
18,EA_Sapnix,1,2,3,4,368.42603,2,1,2,5,204.51053,0,0,649
19,BBA_HaLiMuNan,9,0,0,0,56.563965,0,0,0,0,0.0,0,0,181
20,BBA_Andy,9,0,0,0,129.27522,0,0,0,0,0.0,0,0,218
21,KSR_Jagger,10,0,0,0,0.0,0,0,0,0,0.0,0,0,163
22,KSR_W0m1,10,0,0,0,38.808,0,1,0,0,0.0,0,0,116
23,KSR_Z1Yan9ii,10,0,0,0,0.0,0,0,0,0,0.0,0,0,106
24,KSR_GodXP,10,1,0,0,100.0,0,0,0,0,0.0,0,0,163
25,NRX_Nycell,7,0,0,0,0.0,0,0,0,0,0.0,0,0,284
26,NRX_Irenic-_-,7,0,0,1,28.777863,0,0,0,0,0.0,0,0,347
27,EX_Niyl,2,2,0,1,208.59224,0,1,1,1,5.8913407,0,0,649
28,PMA_Botnie,8,0,0,2,0.0,0,1,0,0,0.0,0,0,220
29,PMA_MataSenget,8,1,0,2,0.0,0,1,0,0,0.0,0,1,227
30,CLNY_Momonjii,4,2,0,1,311.04297,1,2,1,2,31.329287,0,0,590
31,CLNY_k1lla,4,1,0,0,171.8,0,0,1,2,88.15652,0,0,590
32,CLNY_alec,4,0,1,0,0.0,0,0,0,0,0.0,1,0,587
33,CLNY_zai,4,0,1,1,65.64963,0,1,0,0,0.0,0,0,590
34,BN_DrLoji,5,0,0,0,78.119995,0,0,0,0,0.0,0,0,392
35,BN_Zest,5,0,0,0,0.0,0,0,0,0,0.0,0,0,358
36,BN_YoungBii,5,0,0,0,49.158836,0,0,0,0,0.0,0,0,334
37,BN_GodAcee,5,0,0,0,50.169827,0,0,0,0,0.0,0,0,317
38,BN_SimonT,5,0,0,0,0.0,0,0,0,0,0.0,0,0,76
39,MiTH_ThanawatTH,9,0,0,0,25.175,0,0,0,0,0.0,0,0,129
40,MiTH_RogueNANZMY,9,0,0,0,0.0,0,0,0,0,0.0,0,0,129
41,MiTH_Jacob,9,0,0,0,46.8,0,0,0,0,0.0,0,0,82
42,MiTH_FuZio,9,0,0,0,82.446,0,0,0,0,0.0,0,0,129
43,MiTH_Ezqelusia,9,0,0,0,19.8,0,0,0,0,0.0,0,0,129
44,BN_GodAcee,4,0,6,4,319.62967,0,5,1,1,98.77537,0,0,746
45,BN_DrLoji,4,3,3,2,676.305,2,0,1,3,268.3881,0,0,746
46,BN_SimonT,4,3,2,3,411.94547,3,1,1,5,85.744,2,0,726
47,BN_YoungBii,4,0,0,0,0.0,0,0,0,0,0.0,0,0,123
48,BN_Zest,4,5,2,3,384.62982,0,1,1,5,75.49423,0,0,746
49,KSR_Jagger,6,0,0,0,0.0,0,1,0,0,0.0,0,0,326
50,KSR_GodXP,6,0,0,0,0.0,0,0,0,0,0.0,0,0,345
51,KSR_StarMH,6,0,0,0,0.0,0,0,0,0,0.0,0,0,128
52,KSR_W0m1,6,0,0,0,22.68,0,1,0,0,0.0,0,0,351
53,KSR_Z1Yan9ii,6,0,0,2,26.789999,0,0,0,0,0.0,0,0,285
54,NRX_Irenic-_-,7,0,0,2,22.436684,0,2,0,0,0.0,0,0,349
55,NRX_Nycell,7,1,0,3,71.56332,0,0,1,1,85.51041,0,0,349
56,BBA_Andy,2,0,0,1,0.0,0,0,0,0,0.0,0,0,343
57,BBA_HaLiMuNan,2,0,0,4,12.853522,0,1,0,0,0.0,0,0,975
58,EX_tRycK,3,2,2,5,389.04834,2,1,1,2,74.93212,0,0,694
59,EX_Niyl,3,3,1,5,365.94748,1,0,2,4,113.78611,0,0,813
60,FTF_BrokenHearts,1,0,1,5,100.0,0,0,1,1,10.9446335,0,0,975
61,FTF_Ma4nn,1,0,0,1,44.017593,0,1,0,0,0.0,0,0,975
62,FTF_Hikaru,1,4,1,5,264.76584,2,2,1,2,17.811941,1,0,975
63,FTF_yQQ,1,0,0,2,127.827805,0,4,1,1,25.622622,0,0,975
64,EA_Sapnix,8,0,0,0,61.425,0,0,0,0,0.0,0,0,279
65,EA_Lericz,8,0,0,0,0.0,0,0,0,0,0.0,0,0,241
66,EA_iamfarOz,8,1,0,0,0.0,0,0,0,0,0.0,0,0,51
67,EA_Xizzy,8,1,0,0,75.0,0,0,0,0,0.0,0,0,248
68,EA_KM99,8,1,0,1,100.0,0,1,1,1,8.467286,0,0,288
69,CLNY_k1lla,5,0,0,2,61.49407,0,0,0,0,0.0,0,0,531
70,CLNY_Momonjii,5,0,0,1,0.0,0,4,0,0,0.0,0,0,531
71,CLNY_zai,5,0,0,2,0.0,0,0,0,0,0.0,0,0,448
72,CLNY_alec,5,0,0,0,0.0,0,0,0,0,0.0,0,0,439
73,NRX_Namxiao,11,1,0,0,162.04001,0,0,0,0,0.0,0,0,155
74,NRX_Irenic-_-,11,0,0,0,0.0,0,0,0,0,0.0,0,0,155
75,NRX_Nycell,11,1,0,0,41.200005,0,0,1,1,2.024733,0,0,125
76,NRX_DawN,11,0,0,0,25.83,0,0,0,0,0.0,0,0,155
77,KSR_Jagger,3,1,2,5,316.41998,1,3,1,2,64.025505,0,0,846
78,KSR_GeiNiYiQuan,3,1,1,2,71.03999,0,3,0,0,0.0,0,0,846
79,KSR_GodXP,3,1,1,2,220.20804,0,1,1,1,4.6782036,1,0,781
80,KSR_W0m1,3,2,0,1,95.2029,1,3,2,4,28.435791,4,0,846
81,DXG_NielT,6,0,0,0,0.0,0,0,0,0,0.0,0,0,591
82,DxG_LogFi,6,0,0,1,27.199383,0,1,0,0,0.0,0,0,611
83,DXG_GGakon,6,0,0,1,153.18373,0,0,1,1,56.96056,0,0,611
84,MiTH_Ezqelusia,8,0,0,0,22.802498,0,0,1,1,4.640749,1,0,371
85,MiTH_FuZio,8,0,0,0,0.0,0,0,0,0,0.0,0,0,81
86,MiTH_RogueNANZMY,8,0,0,0,0.0,0,0,0,0,0.0,0,0,181
87,MiTH_ThanawatTH,8,2,0,0,200.0,0,0,1,2,29.096706,0,0,264
88,MiTH_Jacob,8,0,2,1,77.1975,0,1,0,0,0.0,0,0,414
89,EA_Lericz,1,0,1,4,49.88121,0,10,1,1,72.70261,0,0,911
90,EA_Xizzy,1,0,1,4,138.0599,0,7,1,1,89.432816,0,0,911
91,EA_KM99,1,3,1,6,287.56464,1,9,2,3,135.73805,0,0,911
92,EA_Sapnix,1,2,1,6,310.08124,0,14,1,4,571.8226,1,0,911
93,EA_iamfarOz,1,0,0,0,0.0,0,0,0,0,0.0,0,0,77
94,BBA_HaLiMuNan,9,2,0,0,199.99998,0,0,1,1,13.121197,0,0,294
95,BBA_Andy,9,1,0,0,100.0,0,0,1,1,22.752903,0,0,204
96,BBA_PTRRRA,9,0,0,0,0.0,0,0,0,0,0.0,0,0,294
97,DK_Xycho95,10,1,0,0,71.62,0,0,0,0,0.0,0,0,199
98,DK_Limitless,10,1,0,1,110.0191,0,0,0,0,0.0,0,0,271
99,DK_myboiiiii,10,0,0,0,0.0,0,0,0,0,0.0,0,0,116
100,DK_Mastahden,10,0,0,0,28.38,0,1,0,0,0.0,0,0,100
101,EX_papiChulo,4,0,0,5,153.18217,0,0,0,0,0.0,0,0,708
102,EX_BabyRAGE,4,1,0,4,82.17,0,0,0,0,0.0,0,1,707
103,EX_tRycK,4,5,0,5,631.8197,0,0,1,3,244.43918,0,0,767
104,TE_Leviz--,5,1,0,1,100.0,0,1,1,1,19.805456,1,0,376
105,TE_DuCkHjeUz,5,2,0,4,226.236,1,1,2,3,43.852856,1,0,590
106,TE_Junnn,5,2,0,5,248.36005,0,11,3,3,31.355852,0,0,711
107,TE_777,5,0,1,0,97.523994,0,0,0,0,0.0,0,0,121
108,BN_SimonT,7,0,0,2,85.93454,0,0,0,0,0.0,0,0,501
109,BN_YoungBii,7,3,0,0,272.79706,1,1,1,3,58.383987,0,0,608
110,BN_GodAcee,7,0,0,3,74.65948,0,1,0,0,0.0,0,0,589
111,BN_DrLoji,7,0,0,1,19.70951,0,0,0,0,0.0,0,0,494
112,CLNY_Momonjii,2,1,1,3,165.04,0,1,0,0,0.0,0,0,589
113,CLNY_k1lla,2,0,0,2,0.0,0,0,0,0,0.0,0,0,604
114,CLNY_zai,2,0,0,1,43.693184,0,0,0,0,0.0,0,0,590
115,CLNY_Kalbs,2,2,0,5,246.87384,0,5,1,1,53.08463,0,0,911
116,TE_DuCkHjeUz,6,2,0,3,140.19687,0,0,2,2,22.203337,0,0,508
117,TE_Leviz--,6,0,0,0,0.0,0,0,0,0,0.0,0,0,76
118,TE_777,6,1,0,1,144.19379,0,2,2,2,63.895508,0,0,524
119,TE_Leviz,6,0,0,1,0.0,0,0,0,0,0.0,0,0,435
120,TE_Junnn,6,0,1,1,57.65357,0,3,0,0,0.0,0,0,518
121,MiTH_Ezqelusia,11,1,0,0,36.029274,0,0,0,0,0.0,0,0,100
122,MiTH_FuZio,11,0,0,0,0.0,0,0,0,0,0.0,0,0,75
123,MiTH_Jacob,11,0,0,0,0.0,0,0,0,0,0.0,0,0,100
124,MiTH_ThanawatTH,11,0,0,0,75.36287,0,0,0,0,0.0,0,0,100
125,MiTH_RogueNANZMY,11,0,0,0,0.0,0,0,0,0,0.0,0,0,100
126,EA_Sapnix,7,2,1,1,293.05743,1,0,1,1,184.70015,0,0,504
127,EA_Xizzy,7,1,2,2,59.560844,0,0,0,0,0.0,0,0,504
128,EA_iamfarOz,7,0,0,0,0.0,0,0,0,0,0.0,0,0,75
129,EA_Lericz,7,0,1,0,30.270239,0,0,0,0,0.0,0,0,504
130,EA_KM99,7,0,2,1,119.60986,0,0,0,0,0.0,0,0,504
131,EX_papiChulo,1,1,0,2,80.2,1,1,1,1,31.689436,0,0,486
132,EX_tRycK,1,1,2,11,190.46498,0,8,2,2,34.324547,1,0,959
133,EX_BabyRAGE,1,3,1,7,523.5626,3,12,2,5,236.41039,2,0,981
134,CLNY_Kalbs,9,1,0,1,189.53998,0,0,1,1,29.428423,0,0,472
135,CLNY_Momonjii,9,0,0,0,89.6,0,0,0,0,0.0,0,0,462
136,CLNY_k1lla,9,0,0,0,67.2,0,0,0,0,0.0,0,0,430
137,CLNY_zai,9,0,0,0,0.0,0,0,0,0,0.0,0,0,250
138,NRX_Namxiao,10,0,0,0,0.0,0,0,0,0,0.0,0,0,209
139,NRX_Irenic-_-,10,0,0,0,0.0,0,0,0,0,0.0,0,0,253
