,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,rank_points,revives,team_kills,time_survived,win_points,win_points_delta
0,RRQ_COPPINL33,7,3,1,3,196.00473,0,2,0,0,1,2,0,0,236.348892,0,0,0,0,1211.745,0,0
1,RRQ-VALDEM0RT,7,1,0,13,206.980988,0,9,0,0,0,0,0,0,0.0,0,0,0,0,1545.159,0,0
2,RRQ_BOGOR,7,0,1,4,52.92447,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1210.851,0,0
3,RRQ_Ma4nn,7,3,1,7,219.35,0,3,0,0,1,2,0,0,38.8417053,0,0,1,0,1209.684,0,0
4,GeekFam_Modyyy,13,1,0,2,179.63678,0,2,0,0,1,1,0,0,31.78166,0,0,0,0,663.461,0,0
5,GeekFam_Jangs,13,0,1,4,123.205368,0,2,0,0,0,0,0,0,0.0,0,0,0,0,901.283,0,0
6,GeekFam_KnyG,13,0,0,0,112.378029,0,0,0,0,0,0,0,0,0.0,0,0,0,0,239.989,0,0
7,GeekFam_Savior,13,4,1,3,450.507019,1,3,0,0,2,2,0,0,63.31395,0,0,1,0,889.818,0,0
8,Refund_FunkyM,9,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,607.794,0,0
9,Refund_Pino,9,0,0,4,169.2304,0,5,0,0,1,1,0,0,17.0488262,0,0,0,0,1273.582,0,0
10,Refund_TLH,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,489.203,0,0
11,Refund_Rambo,9,1,0,1,44.75861,0,2,0,0,0,0,0,0,0.0,0,0,0,0,607.111,0,0
12,RM5S_Tab,14,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,880.595,0,0
13,RM5S_Deftsu,14,0,0,3,51.8174973,0,2,0,0,0,0,0,0,0.0,0,0,0,0,886.126,0,0
14,RM5S_otyL,14,0,0,1,25.6297131,0,0,0,0,0,0,0,0,0.0,0,0,1,0,864.492,0,0
15,RM5S_Danddy,14,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,851.014,0,0
16,Vikings_Jikey,11,0,0,2,73.65887,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1146.482,0,0
17,Vikings_Liningz,11,0,0,1,37.7325,0,1,0,0,0,0,0,0,0.0,0,0,0,0,546.459,0,0
18,Vikings_MeoU,11,2,0,7,324.072083,0,3,0,0,2,3,0,0,43.8749466,0,0,0,0,1203.034,0,0
19,Vikings_Bongminz,11,1,0,2,238.624115,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1156.998,0,0
20,NCGC_Markyy,2,0,0,2,168.405151,0,2,0,0,0,0,0,0,0.0,0,0,0,0,1673.221,0,0
21,NCGC_Micko,2,2,0,3,553.0436,0,3,0,0,1,4,0,0,573.3004,0,0,0,0,1883.076,0,0
22,NCGC_Garutobi,2,1,0,2,113.128151,0,1,0,0,1,1,0,0,19.1977,0,0,0,0,1836.086,0,0
23,NCGC_CeeJay,2,0,0,6,238.817581,0,5,0,0,1,1,0,0,8.584738,0,0,0,0,1898.074,0,0
24,AW7_Entruv,6,4,1,6,327.562683,0,2,0,0,2,4,0,0,49.78568,0,0,1,1,1220.615,0,0
25,AW7_Avo,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,614.858,0,0
26,AW7_Godly,6,4,2,7,392.164368,0,4,0,0,2,3,0,0,52.9794044,0,0,0,0,1217.053,0,0
27,AW7_Datmosh,6,2,2,8,569.569458,2,5,0,0,2,4,0,0,159.827682,0,0,1,0,1549.091,0,0
28,MiTH_SviTT,15,0,0,0,94.91542,0,0,0,0,0,0,0,0,0.0,0,0,0,0,596.436,0,0
29,MiTH_MinORu,15,1,0,1,191.926025,0,1,0,0,0,0,0,0,0.0,0,0,0,0,776.348,0,0
30,MiTH_Ezqelusia,15,0,0,4,72.64688,0,5,0,0,0,0,0,0,0.0,0,0,1,0,665.896,0,0
31,MiTH_GodNeotica,15,1,0,1,72.97771,0,1,0,0,1,1,0,0,32.13323,0,0,0,0,665.473,0,0
32,GAMEHOME_zGou1,10,1,0,3,162.55545,1,1,0,0,1,1,0,0,17.8156929,0,0,0,0,1152.531,0,0
33,GAMEHOME_NielT,10,0,1,3,22.893837,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1145.885,0,0
34,GAMEHOME_JJLeo,10,0,0,4,55.67595,0,1,0,0,0,0,0,0,0.0,0,0,0,0,981.457,0,0
35,GAMEHOME_SsuBang,10,0,1,3,295.6371,0,13,0,0,0,0,0,0,0.0,0,0,0,0,1217.505,0,0
36,PLM_Bossense,1,1,1,5,223.327042,0,4,0,0,1,1,0,0,36.27456,0,0,0,0,1715.02,0,0
37,PLM_Justmoments,1,0,0,4,285.229919,1,4,0,0,1,2,0,0,125.44516,0,0,1,0,1812.481,0,0
38,PLM_PuuChiwz,1,2,1,3,147.277679,0,2,0,0,1,2,0,0,15.1164675,0,0,1,0,1898.134,0,0
39,PLM_Yoshi,1,4,3,6,781.4652,0,3,0,0,1,4,0,0,77.6236954,0,0,1,0,1898.134,0,0
40,AW1_Exagon,12,2,0,7,126.388428,1,2,0,0,1,1,0,0,97.9036255,0,0,0,0,1165.512,0,0
41,AW1_RDK,12,1,1,4,287.526,0,1,0,0,1,1,0,0,480.5459,0,0,1,0,1165.517,0,0
42,AW1_Katou,12,0,2,6,155.674179,0,1,0,0,1,1,0,0,15.4785042,0,0,0,0,1078.511,0,0
43,AW1_Iky,12,2,0,1,130.616425,0,0,0,0,1,1,0,0,427.5826,0,0,0,0,1078.514,0,0
44,AG_HoN_BoYa,16,1,0,2,92.7523346,0,2,0,0,1,1,0,0,202.707321,0,0,0,0,708.443,0,0
45,AG_Nent-,16,1,1,0,217.5175,0,0,0,0,0,0,0,0,0.0,0,0,0,0,709.934,0,0
46,AG_GeneralGaming,16,0,0,1,139.720108,0,0,0,0,0,0,0,0,0.0,0,0,0,0,695.411,0,0
47,AG_DUCKMANZ,16,0,0,0,23.2200012,0,0,0,0,0,0,0,0,0.0,0,0,0,0,631.584,0,0
48,Tokio_Mhuntoh,4,0,0,4,169.813919,0,6,0,0,1,1,0,0,43.03488,0,0,0,0,1844.473,0,0
49,Tokio_shippyJR,4,2,1,5,196.866119,1,3,0,0,1,1,0,0,27.5519581,0,0,1,0,1844.476,0,0
50,Tokio_RossitedJR,4,4,1,3,578.6681,1,2,0,0,1,3,0,0,94.37627,0,0,1,0,1844.48,0,0
51,Tokio_Sparker,4,1,0,3,259.795,0,2,0,0,1,1,0,0,43.5155563,0,0,0,0,1722.145,0,0
52,DIVINE_Leviz,5,2,3,6,175.419113,0,1,0,0,1,1,0,0,220.117065,0,0,0,1,1639.863,0,0
53,DIVlNE_ALeo,5,0,2,5,192.465714,0,0,0,0,1,1,0,0,66.2419357,0,0,0,0,1607.208,0,0
54,DIVINE_Jett,5,0,0,7,93.3563843,0,1,0,0,1,1,0,0,108.34549,0,0,0,0,1795.256,0,0
55,DIVINE_Nickyyy,5,0,0,3,127.719269,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1539.618,0,0
56,BAE_Neferhor,8,0,0,0,49.02,0,0,0,0,0,0,0,0,0.0,0,0,0,0,616.368,0,0
57,BAE_BadMaN,8,1,0,1,235.117767,0,3,0,0,0,0,0,0,0.0,0,0,0,0,1428.425,0,0
58,BAE_Mzero,8,0,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1379.794,0,0
59,BAE_LokiesMY,8,0,1,3,114.63446,0,5,0,0,1,1,0,0,164.3745,0,0,0,0,1428.42,0,0
60,ArkAngel_MAD-DOG,3,2,2,4,575.696,0,1,0,0,2,2,0,0,16.4421921,0,0,1,0,1848.404,0,0
61,ArkAngel_Momonji,3,2,0,1,243.508759,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1064.451,0,0
62,ArkAngel_k1lla-,3,1,3,5,360.325867,0,6,0,0,1,2,0,0,47.2096,0,0,1,0,1844.441,0,0
63,ArkAngel_CeeJ18,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1061.314,0,0
64,GAMEHOME_NielT,2,1,2,2,325.0656,0,6,0,0,0,0,0,0,0.0,0,0,0,0,1753.095,0,0
65,GAMEHOME_zGou1,2,2,2,6,607.568665,0,2,0,0,0,0,0,0,0.0,0,0,1,0,1764.033,0,0
66,GAMEHOME_SsuBang,2,0,0,3,129.163483,0,5,0,0,1,1,0,0,203.8853,0,0,0,0,1764.029,0,0
67,GAMEHOME_JJLeo,2,0,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,347.31,0,0
68,ArkAngel_CeeJ18,15,2,1,3,269.615021,0,4,0,0,0,0,0,0,0.0,0,0,0,0,899.061,0,0
69,ArkAngel_k1lla-,15,1,0,3,171.248016,0,4,0,0,0,0,0,0,0.0,0,0,1,0,879.601,0,0
70,ArkAngel_MAD-DOG,15,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,281.306,0,0
71,ArkAngel_Momonji,15,1,0,1,48.122,0,5,0,0,0,0,0,0,0.0,0,0,0,0,899.066,0,0
72,PLM_Bossense,9,0,1,6,48.0656,0,9,0,0,0,0,0,0,0.0,0,0,0,0,1407.475,0,0
73,PLM_Justmoments,9,1,1,4,387.847656,0,15,0,0,1,1,0,0,216.3265,0,0,1,0,1407.478,0,0
74,PLM_Yoshi,9,0,0,4,0.0,0,5,0,0,0,0,0,0,0.0,0,0,0,0,1319.842,0,0
75,PLM_PuuChiwz,9,2,0,6,316.5671,0,10,0,0,1,2,0,0,328.716339,0,0,0,0,1407.482,0,0
76,Tokio_Mhuntoh,13,0,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1078.73,0,0
77,Tokio_RossitedJR,13,2,0,2,114.170006,0,1,0,0,2,2,0,0,58.025013,0,0,0,0,1078.724,0,0
78,Tokio_shippyS,13,0,1,4,77.83,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1007.549,0,0
79,Tokio_Sparker,13,0,0,2,319.4261,1,0,0,0,1,1,0,0,236.954254,0,0,0,0,1078.733,0,0
80,AW1_Exagon,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,754.647,0,0
81,AW1_RDK,5,1,1,2,108.9293,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1247.069,0,0
82,AW1_Katou,5,2,0,6,433.398682,0,1,0,0,2,2,0,0,45.6979942,0,0,1,0,1564.789,0,0
83,AW1_Iky,5,1,0,4,248.2268,1,3,0,0,1,3,0,0,48.251976,0,0,0,0,1561.49,0,0
84,BAE_LokiesMY,12,3,0,2,262.726135,1,5,0,0,2,2,0,0,61.9044342,0,0,0,0,1090.574,0,0
