,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,AW_Katou,5,1,1,4,142.258316,0,0,0,0,0.0,0,0,1549.783
1,AW_RDKboss,5,4,2,9,412.8614,0,3,1,3,313.813568,1,0,1588.413
2,AW_NcSlasher,5,0,1,4,216.444275,0,1,1,2,480.6614,1,0,1574.107
3,AW_Ikyar,5,3,1,4,291.5905,0,12,1,2,253.722992,0,1,1588.41
4,YBY_Asterrr,7,0,0,2,27.7633476,0,0,0,0,0.0,0,0,1239.714
5,YBY_itspyder5,7,0,0,6,25.8262825,0,1,1,1,357.8163,0,0,1033.381
6,YBY-Okey1Cins,7,3,0,8,472.190857,0,2,2,3,103.13652,0,0,1460.978
7,HPG_Nandy,10,0,0,4,0.0,0,0,0,0,0.0,0,0,1293.905
8,HPG_parkLee,10,0,0,2,53.7299271,0,0,0,0,0.0,0,0,743.178
9,HPG_Minerva,10,0,0,7,0.0,0,3,0,0,0.0,0,0,1293.909
10,HPG_Pharin,10,0,0,1,0.0,0,3,0,0,0.0,1,0,769.788
11,DZ_Nobrainy,8,0,1,3,61.7399979,0,15,0,0,0.0,0,0,1233.927
12,DZ_Rapshody-,8,1,0,5,443.082153,0,1,1,2,32.81759,0,0,1334.81
13,DZ_BabyRAGE-,8,0,0,2,158.35,0,0,1,1,117.606552,1,0,1330.778
14,DZ_Krootchy,8,1,0,3,142.965256,0,2,1,2,28.8197823,0,0,1313.686
15,SP_YudiSC,9,0,0,5,18.5804977,0,0,0,0,0.0,0,0,1021.265
16,SP_Loopz1,9,0,0,5,148.439362,0,1,0,0,0.0,0,0,1302.006
17,SP_TanKata,9,0,0,5,0.0,0,0,0,0,0.0,0,0,1043.654
18,Arks_SlayerID,16,0,0,2,83.78999,0,0,0,0,0.0,0,0,799.525
19,Arks_Mentos,16,1,0,1,100.0,0,0,0,0,0.0,0,0,799.528
20,Arks_Wikiezzz,16,0,0,2,0.0,0,0,0,0,0.0,0,0,799.523
21,FTS_Pyxzor,3,2,0,5,335.166382,0,1,1,1,55.5581741,0,0,1754.28
22,FTS_AVOCRN,3,2,2,10,244.632721,0,6,1,1,6.378069,0,0,1754.276
23,FTS_Angga1239,3,1,1,5,258.871948,0,5,0,0,0.0,0,0,1605.009
24,FTS_dNial,3,2,3,2,459.834656,0,2,1,2,70.42286,0,0,1618.411
25,SWL-doc5oap,15,0,0,1,23.25,0,0,0,0,0.0,0,0,140.051
26,SWL-MaeUwU,15,0,0,6,11.6100006,0,9,0,0,0.0,0,0,1124.499
27,SWL-V1SK0,15,0,0,0,54.6,0,0,0,0,0.0,0,0,95.825
28,TP_RKev,14,0,0,1,0.0,0,0,0,0,0.0,0,0,1040.661
29,TP_MinionskyyR,14,1,0,4,285.35968,0,3,1,3,189.030838,0,0,1140.173
30,TP_Tedeeyyyy,14,1,1,5,311.629822,0,0,1,1,191.661392,0,0,1148.573
31,TP_Melvoress,14,1,0,8,76.38832,0,3,1,2,103.898674,0,0,1129.787
32,BCS_JAKE,2,0,0,9,176.716476,0,1,0,0,0.0,1,0,1762.804
33,BCS_Waddap,2,1,0,10,174.068008,0,3,1,1,60.00897,1,0,1762.806
34,BCS_Rapp,2,1,0,4,89.21154,0,1,0,0,0.0,0,0,1526.508
35,BCS_Rivaille,2,1,0,10,325.761566,0,3,0,0,0.0,0,0,1762.802
36,INF_DoBest23,4,0,0,6,147.268234,0,11,0,0,0.0,2,0,1593.973
37,INF_cLvn,4,0,0,6,337.133667,1,12,1,1,181.7716,0,0,1598.478
38,INF_M0NSTERFiz,4,2,0,6,370.541931,0,11,1,2,79.65553,0,0,1697.018
39,INF_Qnoze,4,0,0,6,157.307587,0,8,0,0,0.0,0,0,1593.424
40,VTM_SASHAGREY-,11,1,1,9,257.830353,0,1,2,2,21.7671337,2,0,1282.693
41,VTM_Vandal9Boy,11,1,2,6,149.414276,0,8,1,1,109.4701,0,0,1279.498
42,VTM_Miseryy-_-,11,2,0,6,250.81189,0,3,1,1,19.1376648,1,0,1226.357
43,VTM_Jekzy,11,0,1,3,66.22,0,6,0,0,0.0,1,0,1261.102
44,GA-KaZeeee,12,0,0,1,98.49,0,0,0,0,0.0,0,0,865.542
45,GA-G11enFoss,12,1,0,1,161.05629,0,0,0,0,0.0,0,0,847.349
46,GA-tRycK,12,2,1,3,356.7347,0,0,1,1,9.150785,0,0,1235.606
47,GA-Andrewjr,12,2,0,2,130.43,0,1,1,1,5.367003,0,0,1219.782
48,VTR_C1moy15G,1,1,1,6,417.377777,0,3,1,2,29.18163,0,0,1385.029
