,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,CRE_IQ500,11,1,0,9,180.9765,1,1,1,1,198.2603,0,0,1269.516
1,CRE_FerGus,11,0,0,6,69.385025,0,2,0,0,0.0,0,0,1313.636
2,CRE_RIP113,11,0,2,4,198.00383,0,4,0,0,0.0,0,0,1313.633
3,CRE_Castel,11,0,0,3,0.0,0,1,0,0,0.0,0,0,805.43
4,GH_Wesneys,16,0,0,1,49.044952,0,0,0,0,0.0,0,0,1028.481
5,GH_Fap,16,0,0,4,26.822977,0,2,0,0,0.0,0,0,1160.194
6,GH_YmCud,16,0,0,2,28.717598,0,2,0,0,0.0,0,0,1030.916
7,GH_zGou1-,16,0,0,1,102.99014,0,0,0,0,0.0,0,0,1027.41
8,AAP_MADDOG,3,3,2,6,578.99054,0,2,1,1,148.5575,0,0,1729.849
9,AAP_CeeJay18,3,0,0,8,131.61313,0,2,0,0,0.0,0,0,1513.815
10,AAP_k1lla,3,1,0,3,246.49936,0,7,1,1,264.73993,0,0,1729.846
11,AAP_Kalbs,3,0,0,3,233.10721,0,1,0,0,0.0,0,0,1356.15
12,PNG_DrLoji,12,0,0,0,53.21814,0,0,0,0,0.0,0,0,807.847
13,PNG_Kush,12,0,0,3,66.27,0,1,0,0,0.0,0,0,1229.463
14,PNG_Soha-T,12,1,0,4,126.82881,0,3,1,1,17.519367,0,0,1266.677
15,PNG_HungVoDich,12,0,0,3,44.950092,0,0,0,0,0.0,0,0,1229.465
16,QC_JobJab,14,0,0,0,35.03228,0,0,0,0,0.0,0,0,1028.836
17,QC_Jayers,14,0,0,5,71.30459,0,8,0,0,0.0,0,0,1226.877
18,QC_Gems-3-,14,1,1,3,189.71225,0,5,1,1,6.5304594,1,0,1219.354
19,QC_SviTT,14,1,0,5,161.67708,1,3,1,1,6.3566604,0,0,1226.88
20,AA_RCM,8,1,0,3,87.128586,0,2,1,1,128.32317,0,0,1427.176
21,AA_Nan,8,1,2,5,95.96125,1,0,1,1,117.99341,0,0,1427.179
22,AA_SixTyNine,8,0,1,4,361.389,0,3,0,0,0.0,1,0,1425.276
23,AA_Haimerej,8,0,0,5,282.33087,0,0,1,1,93.01098,0,0,1427.174
24,MG_Momonjii,10,2,2,3,304.60065,0,1,1,1,156.03256,0,0,1381.685
25,MG_OGPhilipp,10,0,2,1,184.90161,0,0,1,1,132.09418,0,0,1264.3
26,MG_Hechibertt,10,0,0,6,99.40833,0,0,0,0,0.0,0,0,1381.683
27,MG_Burninggg,10,1,1,4,82.00786,0,2,1,1,5.957959,0,2,1381.681
28,DV_NamC,1,3,1,2,302.9414,1,3,2,4,156.22287,0,0,1795.527
29,DV_Leviz,1,1,1,7,232.9508,1,0,1,1,17.327225,0,0,1784.452
30,DV_Turtle,1,0,3,4,340.53638,1,0,1,2,101.754456,0,0,1784.452
31,DV_Nickyyy,1,0,2,5,81.24667,0,1,0,0,0.0,0,0,1600.152
32,PLM_shippyS,4,0,0,2,254.7048,0,1,0,0,0.0,0,0,1271.66
33,PLM_Justmoments,4,1,0,2,363.7117,1,4,1,1,63.58751,0,0,1517.265
34,PLM_Bossense,4,1,0,3,180.28088,0,0,1,1,14.180879,0,0,1272.749
35,PLM_HoN_BoYa,4,2,1,5,390.98984,1,3,1,2,14.301352,0,0,1721.55
36,MM_KoogKeng,7,0,0,3,0.0,0,0,0,0,0.0,0,0,1265.915
37,MM_KcHowmuch,7,2,0,3,243.12862,0,3,1,2,60.778458,0,0,1466.4
38,MM_xTouyx2,7,0,0,0,0.0,0,1,0,0,0.0,0,0,816.56
39,MM_Nicky69,7,0,0,0,0.0,0,1,0,0,0.0,0,0,860.037
40,CES_BadGuy,2,1,2,5,648.47064,0,2,1,2,107.73708,1,0,1769.931
41,CES_BAsill,2,1,3,8,451.7883,0,2,1,1,190.0447,0,0,1247.459
42,CES_HaiSaki,2,2,0,9,524.61755,0,3,3,5,272.47263,1,0,1411.482
43,CES_SsuBang,2,3,4,9,504.53275,2,5,2,4,68.84102,0,0,1784.43
44,DIC_74L1,15,0,0,0,0.0,0,0,0,0,0.0,0,0,365.439
45,DIC_Tonyy,15,0,0,0,0.0,0,0,0,0,0.0,0,0,365.436
46,DIC_Smelll,15,0,0,0,0.0,0,0,0,0,0.0,0,0,365.432
47,DIC_AnhQuan,15,0,0,7,0.0,0,12,0,0,0.0,0,0,1198.908
48,VTF_Tedeeyy,6,2,0,7,226.97118,0,3,1,2,34.369576,0,0,1294.035
49,VTF_Hopk1nz,6,0,1,8,76.26,0,0,0,0,0.0,0,0,1285.544
50,VTF_RDKboss,6,2,6,12,507.48273,1,2,1,4,127.46365,0,0,1530.745
51,VTF_Ma4nn,6,1,1,8,173.45015,1,1,1,2,113.84271,0,0,1445.729
52,DAY_PuuChiwz,9,0,0,3,161.79301,0,8,0,0,0.0,0,0,1175.515
53,DAY_JOWMAN,9,1,0,6,130.30058,0,10,1,1,325.87448,0,0,1385.029
54,DAY_Banana0ne,9,1,0,2,100.0,0,3,0,0,0.0,1,0,1180.541
55,DAY_Flash,9,0,1,5,92.74449,0,4,0,0,0.0,0,0,1382.759
56,GC_TeenoiPpt,5,2,0,7,273.8628,0,12,2,2,38.143063,1,0,1592.187
57,GC_MAGSONUS,5,2,0,6,402.2803,0,7,1,1,3.0746431,0,0,1594.821
58,GC_TongK,5,2,0,8,286.80127,0,9,2,3,151.71138,0,0,1594.824
59,GC_SixSackz,5,0,2,6,0.0,0,10,0,0,0.0,1,0,1590.754
60,BRU_Noardra,13,2,0,4,600.96,0,2,1,2,97.51296,1,0,1245.882
61,BRU_Conaxy,13,0,0,2,260.55966,0,1,0,0,0.0,0,0,1090.565
62,BRU_Eaddy,13,1,0,2,237.81223,0,0,1,1,431.1988,0,0,1099.939
63,BRU_Godmiao,13,3,0,4,239.87729,1,1,1,1,24.151718,0,0,1245.878
64,DV_NamC,11,0,0,4,137.76344,0,3,0,0,0.0,1,0,1153.824
65,DV_Nickyyy,11,0,0,4,115.22043,0,12,0,0,0.0,0,1,1143.672
66,DV_Leviz,11,1,0,6,120.783485,0,1,1,1,16.091845,1,0,1098.642
67,DV_Turtle,11,0,1,9,111.59008,0,3,0,0,0.0,0,0,1081.362
68,PNG_HungVoDich,13,0,0,2,76.25411,0,0,0,0,0.0,0,0,886.767
69,PNG_DrLoji,13,1,1,4,166.7526,0,2,1,1,15.023314,0,0,1007.512
70,PNG_Soha-T,13,0,0,1,70.97203,0,0,0,0,0.0,0,0,858.91
71,PNG_Kush,13,1,0,3,105.617874,0,1,1,1,0.9774878,0,0,1007.509
72,AA_RCM,12,0,0,4,0.0,0,5,0,0,0.0,0,0,1098.647
73,AA_Nan,12,2,1,3,187.42763,0,1,1,1,8.9189415,0,0,1093.374
74,AA_Haimerej,12,0,1,3,67.10343,0,0,0,0,0.0,0,1,1098.645
75,AA_SixTyNine,12,2,0,3,305.89902,0,0,1,1,36.953495,0,0,996.383
76,PLM_Bossense,2,2,1,11,180.37045,0,10,2,3,76.802315,2,0,1594.726
77,PLM_HoN_BoYa,2,1,0,7,145.73776,0,12,1,1,6.198506,0,0,1592.877
78,PLM_Justmoments,2,0,3,10,285.99622,1,10,1,1,5.166765,0,0,1827.339
79,PLM_shippyS,2,1,1,7,170.31644,1,6,1,1,120.16919,0,0,1552.178
80,DAY_Flash,3,3,1,3,355.9884,0,3,1,1,38.733944,0,0,1816.103
81,DAY_Banana0ne,3,1,0,7,100.0,0,3,1,1,10.730055,1,0,1816.101
82,DAY_PuuChiwz,3,0,0,2,76.20735,0,0,0,0,0.0,0,0,1387.901
83,DAY_JOWMAN,3,1,0,1,73.725555,0,1,1,1,290.47684,0,0,1340.74
84,DIC_AnhQuan,4,1,1,9,206.92395,0,9,1,1,102.00213,1,0,1806.654
85,DIC_Smelll,4,3,1,9,532.35736,2,8,1,3,107.10554,1,0,1697.702
86,DIC_74L1,4,0,0,6,97.009186,1,5,1,1,14.715518,1,0,1701.073
87,DIC_Tonyy,4,0,0,7,56.41801,0,6,0,0,0.0,0,0,1539.228
88,CRE_Castel,9,0,1,3,148.5043,0,0,0,0,0.0,0,0,1225.421
89,CRE_IQ500,9,2,0,2,264.1825,0,0,0,0,0.0,1,0,1317.434
90,CRE_RIP113,9,1,1,2,279.67804,1,4,1,1,152.54424,0,0,1307.526
91,CRE_FerGus,9,2,1,4,180.15411,0,0,1,2,278.8251,0,0,1317.431
92,GH_zGou1-,7,2,1,7,573.3243,1,1,2,3,33.48425,2,0,1537.358
93,GH_Fap,7,2,3,5,298.77527,0,2,1,2,40.264698,2,0,1531.625
94,GH_Wesneys,7,1,2,2,134.18797,1,1,2,2,3.4729528,0,0,1160.162
95,GH_YmCud,7,2,3,1,243.6567,0,2,1,2,70.19849,1,0,887.256
96,GC_MAGSONUS,16,3,0,0,342.65002,0,0,0,0,0.0,0,0,398.896
97,GC_TeenoiPpt,16,0,0,1,0.0,0,0,0,0,0.0,0,0,340.367
98,GC_TongK,16,0,0,1,41.0,0,0,0,0,0.0,0,0,321.721
99,GC_SixSackz,16,1,0,0,45.47,0,0,0,0,0.0,0,0,345.534
100,VTF_Ma4nn,1,3,0,5,352.70688,0,6,2,4,70.22703,0,0,1827.365
101,VTF_RDKboss,1,0,1,5,420.8803,0,1,0,0,0.0,0,0,1696.122
