,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,WANO_Sensor-__-,16,1,0,2,295.0472,0,1,0,0,0.0,0,0,550
1,WANO_ReiNyz-,16,0,0,1,61.428253,0,0,0,0,0.0,0,0,848
2,WANO_OatSolo,16,1,0,0,192.1175,0,0,0,0,0.0,0,0,581
3,WANO_Wo1vest-,16,0,0,3,124.433426,0,0,0,0,0.0,0,0,860
4,47_Jdaii,9,1,0,4,249.89966,0,4,1,1,42.114204,0,0,1207
5,47_Hwaa,9,0,0,0,0.0,0,0,0,0,0.0,0,0,953
6,47_Stewvies,9,0,0,3,0.0,0,0,0,0,0.0,0,0,846
7,47_O2Skrtt-,9,1,0,3,246.86237,0,1,1,1,32.78656,0,0,1171
8,SSP_DimasTy,12,1,0,5,27.264133,0,0,1,1,243.12543,0,0,1031
9,SSP_xxxxxxxxxx,12,0,0,1,115.11022,0,0,0,0,0.0,0,0,1162
10,SSP_magnets-,12,0,0,4,72.04288,0,1,0,0,0.0,0,0,1162
11,SSP_TiGGER,12,0,0,0,0.0,0,0,0,0,0.0,0,0,94
12,PLM_Jameszanaruk,11,3,1,3,274.35095,1,2,1,3,96.351715,1,0,1184
13,PLM_YoshiMinburi,11,0,1,0,168.23222,0,0,0,0,0.0,0,0,965
14,PLM_Jonnnnsn,11,0,0,3,171.66547,0,0,1,1,120.193954,0,0,1184
15,PLM_MazouzRigg,11,1,1,5,50.44925,0,2,0,0,0.0,0,0,1179
16,VPE_AnaTomyyy,2,1,1,1,155.45355,0,0,1,1,246.40346,0,0,1861
17,VPE_Besieger-,2,0,0,0,0.0,0,0,0,0,0.0,0,0,87
18,VPE_Porchz,2,0,0,2,122.88608,0,0,0,0,0.0,0,0,1861
19,VPE_keNnedykk,2,1,0,4,334.79703,1,2,1,2,282.52405,0,0,1861
20,MDSV_Sterkario,10,1,1,4,276.70236,0,1,0,0,0.0,0,0,975
21,MDSV_kisssssssss,10,4,2,2,360.40543,0,3,1,2,37.668373,0,0,1078
22,MDSV_JonSnowz,10,0,1,0,101.69768,0,0,0,0,0.0,0,0,980
23,MDSV_Aite-_-,10,2,0,2,264.23022,0,1,2,4,100.72791,0,0,1187
24,T5_Pathompong,4,0,1,10,348.4743,0,4,1,1,35.9112,2,0,1692
25,T5_RossitedJR,4,1,2,3,197.53027,0,2,1,1,37.117935,0,0,1414
26,T5_Excrozit,4,5,1,8,740.46,1,5,1,5,86.21731,1,0,1679
27,T5_RangerX,4,3,2,6,300.03668,0,9,2,3,27.806032,1,0,1462
28,FS_Asiimov,8,3,0,7,284.8522,0,2,1,2,36.144012,0,0,1413
29,FS_Mytee,8,0,0,0,0.0,0,0,0,0,0.0,0,0,832
30,FS_jSparker,8,0,0,3,198.6749,1,1,1,1,15.827803,0,0,1413
31,FS_BORBO4Tz,8,0,0,0,0.0,0,0,0,0,0.0,0,0,72
32,i7K_SODEMACOM-_-,14,0,1,2,54.899998,0,2,0,0,0.0,0,0,1009
33,i7K_falalafuke,14,0,0,2,0.0,0,2,1,1,108.89725,0,0,1004
34,i7K_Songphon-,14,2,0,0,210.04001,0,3,1,2,12.063235,1,0,1029
35,i7K_Adidasz-,14,0,0,2,23.76,0,3,0,0,0.0,0,0,1029
36,OB_Ariaa-_,3,1,0,5,25.94265,1,4,1,2,285.58276,0,0,1740
37,OB_RealJuke,3,0,1,7,169.49818,0,3,1,1,65.305756,0,0,1739
38,OB_Dio,3,0,1,6,174.05736,0,1,1,1,41.16168,0,0,1446
39,OB_SPENELX,3,1,0,5,44.532433,0,5,1,1,66.10816,0,0,1826
