,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,3K_AHOLiCs-qq,16,0,0,1,0.0,0,0,0,0,0.0,0,0,552.766
1,3K_MercedesZ-,16,0,0,3,54.63783,0,5,0,0,0.0,0,0,809.905
2,3K_Osm4nthus,16,1,0,2,137.8,0,4,0,0,0.0,0,0,814.41
3,3K_IamDIVE,16,0,0,1,0.0,0,0,0,0,0.0,0,0,563.239
4,AAA_Jayers,13,2,1,3,293.2116,0,3,0,1,5.337121,0,0,1149.888
5,AAA_J4nku2of,13,0,0,0,0.0,0,0,0,0,0.0,0,0,462.997
6,AAA_Gems,13,0,0,0,0.0,0,0,0,0,0.0,0,0,475.933
7,AAA_SviTT,13,1,0,2,106.168015,1,0,0,1,5.3262568,1,0,1146.313
8,BRU_Eaddy,12,0,1,4,202.52655,0,4,0,1,145.26097,0,0,1276.944
9,BRU_Conaxy,12,4,1,2,498.5682,0,1,0,4,259.152,0,0,1089.65
10,BRU_GodMiao,12,1,0,5,85.0,0,3,0,0,0.0,2,0,1276.965
11,BRU_Noardra,12,1,2,7,126.048325,0,6,0,2,113.05057,0,0,1276.955
12,MG_ImuMA,2,0,0,1,20.749998,0,1,0,0,0.0,0,0,1173.032
13,MG_Valakz,2,0,0,0,32.2,0,0,0,0,0.0,0,0,1231.539
14,MG_BossShi,2,5,0,6,351.41876,2,5,0,4,66.108696,2,0,1640.587
15,MG_TongK,2,1,1,5,391.29648,0,6,0,1,23.643349,0,0,1837.241
16,MM_xTouyx2,8,1,0,0,70.14949,0,0,0,1,46.47947,0,0,1192.575
17,MM_Tezxic,8,0,0,1,34.764122,0,0,0,0,0.0,0,0,1211.185
18,MM_Mhuntoh,8,0,0,1,0.0,0,0,0,0,0.0,0,0,1380.352
19,MM_Chaoguay,8,0,0,0,73.67544,0,0,0,0,0.0,0,0,1211.823
20,QCF_jiggoyo,4,0,0,2,20.324274,0,0,0,0,0.0,0,0,1823.748
21,QCF_Neotica-,4,1,1,4,235.1464,0,1,0,0,0.0,0,0,1490.566
22,QCF_KcHowmuch,4,1,0,0,77.2505,0,0,0,0,0.0,0,0,1574.704
23,QCF_Mckenz1e,4,0,1,4,0.0,0,1,0,0,0.0,0,0,1486.852
24,XV_G-SHOCK,15,2,0,3,95.25,0,7,0,1,6.5429006,0,0,1092.007
25,XV_Seaaa,15,0,0,5,308.255,0,8,0,0,0.0,0,0,1091.993
26,XV_Jacob,15,0,0,5,39.41413,0,3,0,0,0.0,0,0,1065.525
27,XV_Xizzy,15,0,0,3,0.0,0,3,0,0,0.0,0,0,1065.135
28,PLM_RockyJims,3,0,2,6,377.23843,0,2,0,0,0.0,1,0,1833.932
29,PLM_Justmoments,3,0,1,2,346.49182,0,9,0,1,187.2039,0,0,1833.95
30,PLM_Bossense,3,0,1,3,262.078,1,4,0,1,404.65347,0,0,1523.712
31,PLM_Lossantos,3,3,0,3,224.08842,0,1,0,2,407.71155,0,0,1833.939
32,OW_Erosterz-,7,1,0,1,197.76927,0,0,0,1,176.37276,1,0,1441.2
33,OW_1non,7,2,0,4,126.78563,0,7,0,0,0.0,1,0,1398.917
34,OW_Miranos,7,0,0,0,82.799995,0,1,0,0,0.0,0,0,600.017
35,OW_Antronyz,7,0,1,0,103.9196,0,1,0,0,0.0,0,0,1335.861
36,SSP_Ohmm,9,0,0,5,124.81175,0,0,0,1,53.8998,0,0,1363.483
37,SSP_Lilsopp,9,1,2,1,194.96077,1,7,0,1,24.358253,0,0,1363.475
38,SSP_Naenae,9,1,1,3,287.7127,0,8,0,2,38.591747,0,0,1363.465
39,SSP_Lericz,9,2,0,3,373.6083,1,4,0,3,215.60332,0,0,1363.492
40,MSC_STBenz,1,0,1,3,71.70024,0,1,0,0,0.0,0,0,1837.381
41,MSC_RossitedJR,1,3,0,3,543.64014,1,2,0,5,48.303345,0,0,1837.381
42,MSC_DCaZe,1,0,0,1,64.44853,0,5,0,0,0.0,0,0,1811.789
43,MSC_YoshiMinburi,1,1,0,5,83.86821,0,4,0,1,41.31566,0,0,1837.381
44,DAY_vanOtica,11,1,1,3,242.06682,0,10,0,2,122.177284,0,0,1233.068
45,DAY_Nourinz,11,1,2,5,157.60646,0,5,0,1,29.232887,2,0,1302.182
46,DAY_Flash,11,2,0,5,200.33124,0,4,0,2,83.40256,0,0,1268.781
47,DAY_PuuChiwz,11,1,0,0,0.0,0,0,0,0,0.0,0,0,655.169
48,MiTH_HoNBoYa,6,2,3,7,483.5709,1,2,0,3,28.617748,0,0,1587.674
49,MiTH_Julio,6,0,0,0,0.0,0,0,0,0,0.0,0,0,102.096
50,MiTH_Ezqelusia,6,1,0,3,152.84177,0,0,0,0,0.0,0,0,1187.99
51,MiTH_DUCKMANZ,6,1,0,2,100.0,0,1,0,1,41.390392,0,0,1199.594
52,BF_Faxx,5,3,1,5,409.6303,1,5,0,3,98.1074,3,0,1617.654
53,BF_9troz,5,1,1,11,403.6184,0,3,0,2,60.890213,2,0,1610.969
54,BF_Aloha,5,4,0,5,462.79065,1,4,0,3,206.9195,0,0,1596.348
55,BF_Nes,5,3,0,1,245.86655,0,1,0,0,0.0,0,0,1148.807
56,LD_Dracarys,14,1,3,6,260.25632,0,11,0,1,187.0346,1,0,1128.989
57,LD_GeneralGaming,14,0,0,0,158.76764,0,1,0,0,0.0,0,0,1089.829
58,LD_JobJab,14,1,2,3,216.57019,0,3,0,1,29.136433,0,0,1120.438
59,LD_Sceat,14,3,1,8,367.82483,0,4,0,4,137.86868,0,0,1118.066
60,FW_Morenzica,10,2,0,0,237.00308,0,0,0,2,24.276533,0,0,1350.792
61,FW_OlymPuSs,10,0,0,3,98.91681,1,3,0,1,47.83505,0,0,1343.25
62,FW_BELIVEZ,10,0,0,3,310.70822,0,1,0,0,0.0,0,0,1288.059
63,FW_Banana0ne,10,0,0,2,140.23952,0,1,0,0,0.0,0,0,1317.065
64,XV_Xizzy,15,0,0,0,0.0,0,0,0,0,0.0,0,0,830.8
65,XV_Seaaa,15,0,0,1,0.0,0,0,0,0,0.0,0,0,832.842
66,XV_G-SHOCK,15,2,0,3,261.19998,0,0,0,1,15.102696,0,0,841.586
67,XV_Jacob,15,0,0,1,0.0,0,0,0,0,0.0,0,0,832.257
68,BRU_Eaddy,4,1,1,1,34.47413,0,2,0,0,0.0,1,0,1059.509
69,BRU_Conaxy,4,0,1,2,107.3967,0,2,0,1,4.3036423,0,0,1457.97
70,BRU_GodMiao,4,2,4,8,380.49216,1,3,0,2,202.20677,1,0,1462.722
71,BRU_Noardra,4,3,0,9,296.38083,1,4,0,2,167.72417,0,0,1462.732
72,QCF_jiggoyo,7,1,0,2,160.56316,0,1,0,1,20.5972,0,0,1015.665
73,QCF_KcHowmuch,7,0,0,3,45.622585,0,0,0,0,0.0,0,0,1345.047
74,QCF_Mckenz1e,7,2,0,3,113.253204,0,4,0,2,104.39503,0,0,1345.22
75,QCF_Neotica-,7,0,0,2,0.0,0,0,0,0,0.0,0,0,1051.631
76,PLM_Lossantos,5,0,0,0,0.0,0,0,0,0,0.0,0,0,454.939
77,PLM_Bossense,5,1,0,0,8.8828945,0,0,0,1,37.060158,0,0,1210.67
78,PLM_Justmoments,5,3,2,2,392.22137,0,1,0,4,42.56929,0,1,1461.473
79,PLM_RockyJims,5,3,2,3,300.02588,0,2,0,3,219.47147,0,0,1442.067
80,FW_Morenzica,13,0,0,0,53.82,0,0,0,0,0.0,0,0,598.422
81,FW_Banana0ne,13,1,0,7,125.07505,0,4,0,1,22.06153,1,0,1059.402
82,FW_OlymPuSs,13,0,0,0,0.0,0,0,0,0,0.0,0,0,602.19
83,FW_BELIVEZ,13,0,0,4,155.1101,0,1,0,0,0.0,0,0,1061.474
84,DAY_vanOtica,8,0,1,1,0.0,0,0,0,0,0.0,0,0,1246.106
85,DAY_Nourinz,8,1,0,1,211.35568,1,0,0,1,217.07414,0,0,1281.808
86,DAY_Flash,8,0,0,1,135.01453,1,0,0,1,241.60396,0,0,1289.207
87,DAY_PuuChiwz,8,0,0,3,0.0,0,2,0,0,0.0,0,0,1227.088
88,MiTH_Julio,3,0,0,0,55.2,0,0,0,0,0.0,0,0,601.514
89,MiTH_DUCKMANZ,3,3,1,7,645.68604,1,4,0,4,52.285927,0,0,1512.217
90,MiTH_Ezqelusia,3,1,1,5,203.01276,0,2,0,2,245.28302,2,0,1230.459
91,MiTH_HoNBoYa,3,2,5,4,424.06006,1,2,0,3,244.55649,0,0,1235.27
92,LD_Dracarys,16,0,0,0,0.0,0,0,0,0,0.0,0,0,609.137
93,LD_GeneralGaming,16,1,0,0,100.0,0,0,0,0,0.0,0,0,625.765
94,LD_Sceat,16,1,0,1,100.0,0,0,0,1,10.3474245,0,0,625.755
95,LD_JobJab,16,0,0,1,89.009995,0,2,0,0,0.0,0,0,619.66
96,3K_AHOLiCs-qq,14,0,0,2,25.380001,0,0,0,0,0.0,0,0,618.014
97,3K_Osm4nthus,14,2,2,4,246.31297,0,1,0,2,15.003912,0,0,891.689
98,3K_MercedesZ-,14,0,3,0,125.35541,1,1,0,1,293.38614,0,0,836.438
99,3K_IamDIVE,14,1,2,1,127.140976,0,1,0,2,19.82238,1,0,889.677
100,OW_Miranos,12,0,0,0,0.0,0,0,0,0,0.0,0,1,1068.99
101,OW_Erosterz-,12,2,1,2,151.20946,0,0,0,1,164.9875,0,0,1109.555
102,OW_1non,12,0,0,2,0.0,0,5,0,0,0.0,0,0,1109.553
103,OW_Antronyz,12,0,0,2,64.61129,0,0,0,0,0.0,0,0,1062.355
104,MM_xTouyx2,11,0,0,0,0.0,0,0,0,0,0.0,0,0,1122.024
105,MM_Mhuntoh,11,0,0,0,0.0,0,0,0,0,0.0,0,0,1120.062
106,MM_Chaoguay,11,0,0,1,0.0,0,0,0,0,0.0,0,0,1122.036
107,MM_Tezxic,11,0,0,0,0.0,0,0,0,0,0.0,0,0,447.189
108,BF_9troz,6,0,0,0,0.0,0,0,0,0,0.0,0,0,1372.009
109,BF_Aloha,6,0,1,5,110.19464,0,3,0,0,0.0,0,0,1333.99
110,BF_Faxx,6,2,0,3,206.10039,1,3,0,3,208.87492,0,0,1250.542
111,BF_Nes,6,1,2,2,232.04602,0,5,0,0,0.0,0,0,1372.019
112,AAA_Jayers,2,3,1,7,476.22562,0,2,0,2,440.55655,0,0,1437.291
113,AAA_J4nku2of,2,1,2,7,400.41995,0,2,0,3,64.56394,1,0,1799.701
114,AAA_SviTT,2,0,1,6,152.97015,0,2,0,0,0.0,0,0,1791.583
115,AAA_Gems,2,2,1,1,341.08258,0,0,0,1,110.32393,0,0,1796.145
116,MSC_YoshiMinburi,9,1,0,3,87.97347,0,1,0,0,0.0,0,0,1251.611
117,MSC_STBenz,9,2,0,4,97.00001,0,0,0,1,20.419994,1,0,1251.583
118,MSC_RossitedJR,9,1,1,0,176.7088,0,0,0,1,2.0429478,0,0,1251.603
119,MSC_DCaZe,9,0,0,5,0.0,0,2,0,0,0.0,0,0,1251.593
120,MG_BossShi,1,1,2,1,163.81944,0,5,0,1,207.65834,0,0,1799.832
121,MG_TongK,1,1,1,3,556.4066,0,2,0,3,8.709804,0,0,1799.832
122,MG_ImuMA,1,1,1,4,84.70697,0,0,0,1,42.8882,1,0,1799.832
123,MG_Valakz,1,1,1,3,304.62134,0,0,0,2,33.60881,0,0,1799.832
124,SSP_Lilsopp,10,0,0,2,22.419672,0,3,0,0,0.0,0,0,1213.144
125,SSP_Naenae,10,2,1,0,270.25653,0,0,0,2,105.50928,0,0,1213.175
126,SSP_Ohmm,10,0,1,6,48.106796,0,0,0,0,0.0,0,0,1213.165
127,SSP_Lericz,10,1,2,0,93.83731,0,0,0,2,424.7229,0,0,1213.155
