,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,SEN_SamMaskCH,12,1,0,6,90.26068,0,2,0,1,385.49182,0,0,1146.988
1,SEN_Escanor,12,2,0,7,333.81607,0,4,0,2,86.746445,0,0,1164.932
2,SEN_WHATYOURNAME,12,1,1,6,99.0,0,3,0,2,87.490974,0,0,1159.081
3,SEN_RalphRin,12,1,1,2,182.05649,1,2,0,2,127.51779,0,0,1164.921
4,SSP_Ohmm,14,0,0,3,60.07893,0,0,0,0,0.0,0,0,789.852
5,SSP_Lilsopp,14,0,0,1,24.891611,0,1,0,0,0.0,0,0,996.781
6,SSP_Lericz,14,0,0,1,137.0601,0,0,0,0,0.0,0,1,996.772
7,SSP_Naenae,14,0,0,0,0.0,0,0,0,0,0.0,0,0,809.411
8,XV_Jacob,2,0,0,1,21.33562,0,0,0,1,279.3422,0,0,1223.323
9,XV_farOz,2,0,1,3,49.284546,0,1,0,0,0.0,0,0,1264.776
10,XV_Xizzy,2,3,0,4,320.80542,0,4,0,3,18.636208,0,0,1703.882
11,XV_Arimited,2,2,2,2,472.27005,1,0,0,3,179.69553,1,0,1678.694
12,OG_JVME,4,0,2,5,348.06992,0,5,0,1,69.03083,1,0,1544.439
13,OG_Jungkybrz,4,0,1,3,322.42288,0,1,0,1,46.288082,0,0,1526.721
14,OG_Mczamak,4,0,0,5,165.22162,1,4,0,1,61.386402,0,0,1514.66
15,OG_MAMAFAKA-,4,0,0,3,151.87859,0,0,0,0,0.0,0,0,1457.162
16,YGT_O7T,7,2,0,3,294.94107,1,2,0,2,16.605755,0,0,1374.842
17,YGT_Skyletto,7,0,0,2,231.45529,1,1,0,1,17.132635,0,0,1374.852
18,YGT_KeyboardManZ,7,0,0,3,135.92877,0,0,0,0,0.0,0,0,1374.861
19,YGT_9Moszii,7,0,2,3,33.4631,0,0,0,0,0.0,0,0,1160.667
20,AAA_Jayers,5,1,2,4,326.8822,1,0,0,1,83.171814,0,0,1509.847
21,AAA_Gems,5,2,0,0,402.68652,0,0,0,2,46.926945,0,0,1495.328
22,AAA_J4nku2of,5,2,0,4,376.985,0,2,0,3,273.17294,0,0,1532.969
23,AAA_SviTT,5,1,0,4,222.45547,0,3,0,1,252.76318,0,0,1532.959
24,CRX_Nisun-pp,15,0,1,0,0.0,0,0,0,0,0.0,0,0,659.193
25,CRX_1HUNN1D,15,1,0,3,325.42578,0,0,0,0,0.0,0,0,883.433
26,CRX_Nouray,15,1,0,2,86.052734,1,0,0,1,4.1457515,0,0,648.511
27,CRX_AOFKT4,15,2,1,0,281.786,0,0,0,0,0.0,0,0,883.425
28,3K_AHOLiCs-qq,1,0,1,0,54.989998,0,0,0,0,0.0,0,0,646.626
29,3K_WutZy-,1,2,1,3,177.21446,0,1,0,2,43.185177,0,0,1697.352
30,3K_Osm4nthus,1,1,1,7,343.8523,1,5,0,3,25.3826,0,0,1704.008
31,3K_IamDIVE,1,1,2,8,294.72015,0,0,0,1,35.361706,0,0,1693.197
32,LD_Sceat,13,0,0,1,126.56109,0,0,0,0,0.0,0,0,1037.032
33,LD_Dracarys,13,0,0,0,88.32,0,1,0,0,0.0,0,0,1037.043
34,LD_JobJab,13,0,0,0,26.24126,0,0,0,0,0.0,0,0,1010.738
35,LD_GeneralGaming,13,0,0,2,0.0,0,2,0,0,0.0,0,0,1021.231
36,BF_HongTae,10,0,0,2,58.87624,0,0,0,0,0.0,0,0,1294.487
37,BF_Aloha,10,0,0,1,82.8,0,1,0,0,0.0,0,0,1059.944
38,BF_Nes,10,2,1,1,244.9664,0,0,0,2,112.76605,0,0,1256.912
39,BF_Faxx,10,1,1,2,63.699997,0,1,0,0,0.0,0,0,1131.224
40,DBS_PeterMadD0g,11,0,0,1,0.0,0,0,0,0,0.0,0,0,1058.616
41,DBS_UNQUEz,11,1,0,5,215.65631,0,1,0,1,84.82604,0,0,1233.768
42,DBS_Addzest-,11,1,1,1,100.0,1,1,0,1,2.055354,0,0,1149.402
43,DBS_OHPONDZ,11,0,0,2,0.0,0,1,0,0,0.0,0,0,1210.64
44,LK_PoM1n,3,3,3,6,260.23825,0,8,0,2,297.99988,0,0,1550.655
45,LK_Runnyqq,3,1,1,7,249.11684,0,9,0,1,4.816136,2,0,1296.636
46,LK_upzceps,3,5,2,12,877.32916,2,4,0,7,277.39392,1,0,1658.162
47,LK_Tissuez,3,2,3,8,430.88147,0,8,0,3,329.78152,0,0,1649.464
48,MGZ_Sadddd-,6,1,0,4,76.8488,0,4,0,1,37.64007,0,0,1447.062
49,MGZ_Adidasz-,6,0,0,3,114.08646,0,2,0,0,0.0,0,0,1018.808
50,MGZ_Mammothz-,6,0,1,0,0.0,0,0,0,0,0.0,0,0,986.771
51,MGZ_Rhapsody,6,1,1,4,66.46042,0,3,0,1,8.488548,0,0,1439.446
52,AG_p1scezPRO,9,2,0,4,241.78123,1,7,0,2,11.150329,0,0,1242.431
53,AG_Jonnnnsn,9,1,1,6,12.68005,0,2,0,0,0.0,0,0,1278.929
54,AG_2Crazy,9,0,1,3,260.36066,0,0,0,0,0.0,0,0,1286.322
55,AG_JKRz,9,1,0,4,147.35175,0,4,0,1,18.539597,0,0,1298.247
56,MM_ve6agod,8,0,1,2,107.73654,0,0,0,0,0.0,0,0,1371.67
57,MM_Mhuntoh,8,1,0,2,160.11774,0,2,0,1,66.32083,0,0,1335.466
58,MM_TezXic,8,0,0,0,0.0,0,0,0,0,0.0,0,0,656.262
59,MM_Chaoguay,8,0,0,1,0.0,0,0,0,0,0.0,0,0,798.856
60,XV_farOz,15,0,0,1,0.0,0,0,0,0,0.0,0,0,355.052
61,XV_Jacob,15,0,0,1,43.47,0,1,0,0,0.0,0,0,808.841
62,XV_Arimited,15,0,0,0,0.0,0,0,0,0,0.0,0,0,384.657
63,XV_Xizzy,15,1,0,1,100.0,0,0,0,0,0.0,0,0,344.755
64,BF_Nes,2,3,2,8,467.91864,1,9,0,4,283.72278,0,0,1630.257
65,BF_Faxx,2,0,1,8,363.37238,0,7,0,3,154.30838,0,0,1620.026
66,BF_Aloha,2,2,1,3,384.20056,0,3,0,2,62.108383,0,0,1347.707
67,BF_HongTae,2,3,2,8,497.31314,1,8,0,5,283.46768,1,0,1715.241
68,LD_JobJab,13,0,0,1,128.27939,0,2,0,0,0.0,0,0,1074.467
69,LD_Sceat,13,0,0,2,173.45914,0,1,0,0,0.0,0,0,1074.477
70,LD_GeneralGaming,13,0,0,2,119.07628,1,2,0,1,5.006009,0,0,1074.457
71,LD_Dracarys,13,0,1,3,51.881638,0,2,0,0,0.0,0,0,1040.642
72,DBS_UNQUEz,16,1,1,1,122.85073,0,0,0,0,0.0,0,0,666.394
73,DBS_OHPONDZ,16,0,0,1,106.51657,0,0,0,0,0.0,0,0,666.384
74,DBS_PeterMadD0g,16,0,0,0,76.334694,0,0,0,0,0.0,0,0,666.364
75,DBS_Addzest-,16,0,0,0,26.347105,0,0,0,1,507.74298,0,0,666.373
76,MGZ_Adidasz-,8,1,1,5,217.8287,0,2,0,0,0.0,0,0,1308.79
77,MGZ_Sadddd-,8,1,1,2,288.23,0,2,0,0,0.0,0,0,1333.566
78,MGZ_Mammothz-,8,1,0,8,97.0908,0,7,0,2,190.56549,0,0,1221.912
79,MGZ_Rhapsody,8,3,2,3,641.80005,0,1,0,3,8.3443,1,0,1298.471
80,CRX_AOFKT4,12,0,0,3,56.399998,0,1,0,0,0.0,0,0,1075.575
81,CRX_Nouray,12,1,0,1,149.69032,0,0,0,0,0.0,1,0,1075.55
82,CRX_Nisun-pp,12,0,0,5,33.271812,0,2,0,0,0.0,1,0,1075.566
83,CRX_1HUNN1D,12,1,0,6,31.640852,0,3,0,0,0.0,0,0,1075.557
84,YGT_Skyletto,5,2,2,4,317.5792,0,2,0,1,13.202585,0,0,1467.009
85,YGT_KeyboardManZ,5,0,0,1,83.07623,0,0,0,0,0.0,0,0,1405.831
86,YGT_9Moszii,5,2,1,7,156.76285,0,1,0,2,24.239939,0,0,1460.581
87,YGT_O7T,5,0,2,3,238.14717,0,6,0,1,19.986322,0,0,1408.215
88,3K_IamDIVE,7,0,0,3,72.25727,0,3,0,0,0.0,0,0,1322.276
89,3K_Osm4nthus,7,3,0,5,365.05618,0,2,0,2,197.09236,0,0,1396.599
90,3K_AHOLiCs-qq,7,0,0,4,203.64102,0,7,0,0,0.0,1,0,1377.701
91,3K_WutZy-,7,1,0,0,261.87537,0,3,0,1,27.561779,2,0,1377.952
92,AAA_J4nku2of,1,1,0,2,253.31474,0,0,0,1,218.96867,0,0,1443.995
93,AAA_Jayers,1,4,2,4,744.0169,1,3,0,6,162.06667,0,0,1715.366
94,AAA_Gems,1,3,1,0,417.8558,0,0,0,3,210.91649,0,0,1474.657
95,AAA_SviTT,1,0,2,2,174.69276,0,2,0,0,0.0,0,0,1425.126
96,KT_NezA,4,1,1,6,175.37854,1,5,0,1,3.8880873,0,0,1478.367
97,KT_styleG,4,2,1,4,246.53297,0,4,0,2,370.01196,0,0,1477.145
98,KT_botbas,4,1,1,9,61.300003,1,1,0,1,7.6616297,0,0,1478.376
99,KT_Moosatae,4,0,0,0,0.0,0,0,0,0,0.0,0,0,114.654
100,LK_upzceps,9,1,0,6,111.369995,1,1,0,2,144.27652,0,0,1219.115
101,LK_PoM1n,9,0,0,5,218.0593,0,2,0,0,0.0,1,0,1260.334
102,LK_Runnyqq,9,0,0,2,0.0,0,1,0,0,0.0,0,0,682.692
103,LK_Tissuez,9,1,1,5,333.3784,0,4,0,0,0.0,0,0,1249.897
