,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TheMeatBoyzii,5,2,1,4,341.32834,0,3,1,1,273.22324,2,0,1761.621
1,ChickenALone,5,1,2,6,214.21921,0,0,1,1,64.454025,0,0,1761.625
2,tleviphu,5,0,1,2,89.04892,0,8,0,0,0.0,0,0,1418.008
3,eLoSavage,5,2,1,5,349.1182,0,2,1,2,19.492407,1,0,1761.623
4,RossitedJR,9,1,0,0,100.0,0,1,1,1,21.872578,0,0,1442.269
5,Mhuntoh,9,1,1,2,129.52,0,0,1,1,3.795651,0,0,1359.492
6,vanOtica,9,0,1,2,95.0,0,1,1,1,38.09602,1,0,1442.271
7,J4nku2of,9,0,2,4,241.27956,0,1,1,1,20.653343,0,0,1442.273
8,TeenoiPpt,14,0,0,4,201.12244,1,0,1,1,91.42271,0,0,1187.549
9,TongK-,14,0,0,2,62.712177,0,2,0,0,0.0,0,0,828.866
10,SixSackz-,14,1,1,4,99.74618,0,2,1,1,19.242115,0,0,1234.372
11,MAGSONUS,14,1,1,3,129.42238,0,8,0,0,0.0,0,0,1185.724
12,ShimayStyLe,13,0,1,3,48.012165,0,1,0,0,0.0,0,0,1145.404
13,Moszy-,13,0,0,2,23.245274,0,0,0,0,0.0,0,0,1344.447
14,benzwick,13,1,1,2,164.9639,0,2,1,1,43.51902,1,0,1344.445
15,Nez-A-,13,1,0,4,59.762737,0,1,1,1,324.02203,0,0,1344.449
16,Noardra,3,3,0,4,392.92432,0,2,2,3,24.568188,0,0,1844.452
17,Eaddy,3,5,1,2,582.62994,1,3,3,5,77.641846,1,0,1862.939
18,Conaxy,3,2,0,3,341.02307,0,5,1,1,207.95398,0,0,1862.941
19,Godmiao,3,1,1,4,139.25362,0,8,0,0,0.0,0,0,1862.944
20,MinORu,2,1,0,6,124.6,1,2,2,3,425.6348,0,0,1878.946
21,NeoticaOppa,2,0,0,3,105.23865,0,1,0,0,0.0,1,0,1846.937
22,Ezqelusia,2,1,1,2,215.04796,0,0,1,1,53.883987,0,0,1861.858
23,DUCKMANZ,2,0,1,3,226.19,1,1,1,2,15.259116,0,0,1885.759
24,Belmothh-,10,1,0,2,126.83757,1,2,1,2,138.4136,0,1,1419.183
25,LOSSANTOS_-,10,0,0,0,0.0,0,0,0,0,0.0,0,0,526.119
26,PetDrET-,10,0,0,1,0.0,0,2,0,0,0.0,0,0,695.366
27,LE0NZ-,10,1,0,2,0.0,0,0,0,0,0.0,0,0,580.047
28,Valakz-,8,0,0,1,0.0,0,3,0,0,0.0,0,0,1431.559
29,OPtiMai_,8,0,0,6,195.43661,0,15,0,0,0.0,0,0,1434.731
30,Sulabi,8,0,2,2,152.5961,0,2,0,0,0.0,1,1,1442.92
31,Imuma,8,3,0,5,221.66,0,5,1,3,30.841246,0,0,1437.965
32,Sparker-,12,0,0,0,0.0,0,0,0,0,0.0,0,0,995.272
33,Tzanck,12,1,0,1,100.0,0,0,1,1,13.1982975,0,0,1361.175
34,I3righTNe2S,12,1,0,0,187.97311,0,0,0,0,0.0,0,0,1202.177
35,HoN_BoYa,7,1,0,4,213.42542,1,3,2,2,47.743263,0,0,1551.428
36,Bossense,7,0,0,2,23.98735,0,2,0,0,0.0,1,0,1428.337
37,Justmoments,7,1,1,5,191.09781,1,4,1,1,56.76831,0,0,1550.541
38,YoshiMinburi,7,2,2,3,454.84958,0,9,2,2,21.008276,1,0,1552.036
39,JobJab-,1,2,2,4,382.46506,1,0,2,2,29.299843,1,0,1857.998
40,Gems-3-,1,3,1,5,668.9092,0,2,1,2,27.422401,0,0,1885.782
41,SviTT,1,0,1,5,219.94785,0,3,1,2,179.1448,0,0,1885.782
42,Jayers-,1,3,0,5,305.72003,0,4,0,0,0.0,0,0,1856.476
43,xTouyx2,15,0,0,3,0.0,0,0,0,0,0.0,0,0,1053.115
44,DIDDILYZ,15,1,0,3,100.0,0,0,1,1,20.12431,0,0,1153.449
45,KoogKeng,15,0,0,2,0.0,0,0,0,0,0.0,0,0,1039.581
46,KcHowmuch,15,1,0,4,256.96338,0,1,0,0,0.0,0,0,1168.439
47,p1scezPRO,4,0,0,1,27.54675,0,0,0,0,0.0,0,0,559.979
48,ThanawatTH,4,2,0,1,351.9837,0,0,1,2,30.25307,0,0,896.012
49,Jowman,4,1,1,5,219.5481,0,1,0,0,0.0,0,0,1766.929
50,DMG-3-,4,0,0,3,0.0,0,3,0,0,0.0,1,0,1845.692
51,Mckenz1e,6,0,0,2,23.316254,0,0,0,0,0.0,0,0,920.578
52,botbas,6,0,0,1,87.23117,0,0,0,0,0.0,0,0,1010.167
53,Kefka,6,0,0,10,172.11136,0,1,0,0,0.0,0,0,1700.676
54,TrixieFour,6,0,0,5,91.78348,0,0,0,0,0.0,0,0,1700.673
55,REST-_,11,1,0,2,181.40233,1,1,1,1,55.321426,0,0,1412.83
56,PuuChiwz,11,2,1,1,345.15884,0,1,1,2,96.21283,0,0,1381.143
57,FLashh,11,2,1,0,177.0,0,0,2,2,71.101166,0,0,1360.413
58,Nourinz,11,1,0,2,254.77739,2,0,1,2,133.48817,0,0,1397.096
59,Godmiao,5,0,0,0,0.0,0,0,0,0,0.0,0,0,435.246
60,Conaxy,5,0,0,2,268.76233,0,1,0,0,0.0,0,0,1352.872
61,Noardra,5,0,0,0,123.81169,0,0,0,0,0.0,0,0,881.857
