,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,TT_DoesntP,8,1,3,3,194.35075,0,1,0,1,4.600471,0,0,1291.016
1,TT_Soda,8,4,1,3,277.84772,0,0,0,2,218.7269,0,0,1288.873
2,TT_SyX,8,0,0,4,94.44105,0,0,0,0,0.0,0,0,1400.245
3,TT_Frankieeee,8,0,0,1,47.166847,0,0,0,0,0.0,0,0,1400.234
4,UE_LeeQTin,16,2,0,0,89.68,0,0,0,0,0.0,0,0,409.079
5,UE_LeeThuu,16,0,0,0,64.86,0,1,0,0,0.0,0,0,409.073
6,UE_B4MNZ-,16,0,0,0,60.72,0,0,0,0,0.0,0,0,409.065
7,UE_Huymeoo,16,0,0,0,24.6,0,0,0,0,0.0,0,0,409.058
8,GG_AceGold,14,2,0,3,423.07693,1,11,0,2,5.9398155,0,0,733.062
9,GG_HuyGayf,14,0,0,0,40.364998,0,0,0,0,0.0,0,0,541.457
10,GG_HuyPhu,14,0,0,0,0.0,0,0,0,0,0.0,0,0,209.497
11,GG_Astaaa,14,0,0,1,0.0,0,5,0,0,0.0,0,0,868.183
12,iNNo_Himass,13,1,0,0,136.19,1,1,0,1,32.963123,0,0,344.795
13,iNNo_Mar-T,13,1,0,4,100.0,0,31,0,1,35.759335,0,0,941.314
14,iNNo_Oniii,13,1,0,3,115.0372,0,11,0,1,23.829844,0,0,859.17
15,iNNo_MACgy,13,0,0,0,0.0,0,0,0,0,0.0,0,0,347.036
16,SAL_Zippp,6,0,0,4,177.74754,0,2,0,1,45.313847,0,0,1469.437
17,SAL_PeterK02,6,1,0,5,100.0,1,3,0,1,46.713688,0,0,1439.698
18,SAL_NgGiaHuy,6,0,0,0,0.0,0,0,0,0,0.0,0,0,430.661
19,SAL_ShaZam1,6,1,0,5,95.23877,0,5,0,1,207.52847,0,1,1404.718
20,DOG_KhoaXu,12,0,0,5,0.0,0,2,0,0,0.0,0,0,1017.12
21,DOG_LyoTien,12,0,0,4,32.62983,0,0,0,0,0.0,0,0,1017.131
22,DOG_Nus-,12,0,0,1,0.0,0,0,0,0,0.0,0,0,358.812
23,IKR_Fap,15,0,1,2,60.505497,0,0,0,0,0.0,0,0,694.416
24,IKR_Lynx,15,1,1,1,174.7468,0,0,0,0,0.0,0,0,846.348
25,IKR_ALeo,15,2,0,0,223.8529,2,0,0,2,264.09396,0,0,735.003
26,IKR_Sololzy5,15,0,0,3,0.0,0,1,0,0,0.0,0,0,775.229
27,KISP_Nebby,3,0,0,3,235.66428,0,3,0,1,154.0002,0,0,1732.079
28,KISP_BuZZ,3,0,0,1,80.06246,0,0,0,0,0.0,0,0,1706.858
29,KISP_ZuyZuy,3,0,1,1,32.631172,0,0,0,0,0.0,0,0,1618.67
30,KISP_MVP,3,0,0,1,29.910292,0,5,0,0,0.0,0,0,1731.506
31,DxG_LONGK,4,2,0,4,198.43446,0,5,0,1,85.45483,0,0,1232.447
32,DxG_FerGus,4,2,1,7,421.69962,0,2,0,4,125.59796,1,0,1724.439
33,DxG_Sapauu,4,0,1,3,28.98,0,1,0,0,0.0,0,0,1222.648
34,DxG_NBK,4,1,0,6,316.36215,1,2,0,2,37.32179,0,0,1371.642
35,ICE_Tiger,9,1,2,0,70.86,0,3,0,0,0.0,0,0,963.307
36,ICE_Naull-,9,2,0,3,124.14001,0,0,0,2,78.75139,0,0,884.044
37,ICE_Ch1nh,9,1,1,5,193.10434,0,3,0,1,107.28417,0,0,1230.807
38,ICE_CongCoii,9,1,0,3,184.15,0,4,0,1,42.106068,0,0,970.245
39,FGS_2Q,5,0,0,4,0.0,0,0,0,0,0.0,0,0,1525.954
40,FGS_Z,5,1,0,3,168.59769,1,0,0,2,199.94028,0,0,1443.898
41,FGS_Tob1-,5,2,0,4,53.8,0,0,0,1,197.63971,0,0,1467.803
42,FGS_IamD,5,0,0,2,0.0,0,0,0,0,0.0,0,0,891.148
43,TDZ_BC10,1,4,2,7,460.08148,0,1,0,5,93.388626,0,0,1766.751
44,TDZ_LoveU3000,1,0,3,5,139.97174,0,2,0,0,0.0,0,0,1766.751
45,TDZ_Nhatthongg,1,1,2,3,453.32785,0,5,0,2,148.12366,0,0,1766.751
46,TDZ_TND,1,0,2,5,234.30357,0,3,0,1,12.565648,1,0,1766.751
47,TE_Keyyyyy,11,0,0,4,0.0,0,10,0,0,0.0,0,0,1001.32
48,TE_b0m-,11,2,2,10,210.1,0,20,0,1,44.771168,0,0,1200.341
49,TE_HoangTanker,11,1,0,6,277.03522,0,24,0,0,0.0,1,0,1206.275
50,TE_NguSi,11,4,0,6,306.10114,0,8,0,2,49.484917,1,0,1192.842
51,KQE_KeNzz,7,2,0,7,298.6703,1,3,0,2,13.0549345,0,0,1419.178
52,KQE_DMk,7,0,1,2,98.7,0,3,0,0,0.0,2,0,1125.638
53,KQE_Zerots2K,7,0,0,0,123.41481,0,1,0,1,69.59317,1,0,1136.819
54,KQE_Odinn,7,1,0,2,74.681175,1,0,0,1,47.946285,2,0,1121.331
55,VG_RON,2,0,1,8,127.557396,0,0,0,0,0.0,0,0,1570.804
56,VG_TomRau,2,1,3,9,564.6372,0,3,0,2,74.342964,0,0,1766.621
57,VG_Gin,2,4,2,7,575.03674,0,2,0,4,159.3432,0,0,1766.611
58,VG_Jealous,2,0,0,1,60.743935,0,0,0,1,79.63739,1,1,1398.696
59,3MS_HyunQ-_-,10,0,0,5,39.959404,0,1,0,0,0.0,0,0,866.295
60,3MS_HoangHai-_-,10,0,0,5,0.0,0,0,0,0,0.0,0,0,674.532
61,3MS_Gray-_-,10,0,1,7,100.0,0,12,0,1,3.3298206,2,0,1218.276
62,3MS_NhacTT,10,1,1,4,101.29135,1,12,0,1,301.07538,0,0,1218.287
63,KISP_Nebby,13,0,0,0,17.205893,0,0,0,0,0.0,0,0,559.229
64,KISP_BuZZ,13,1,1,0,170.48694,0,1,0,0,0.0,0,0,1134.826
65,KISP_ZuyZuy,13,1,1,1,31.136864,0,1,0,0,0.0,0,0,1125.761
66,KISP_MVP,13,0,0,0,0.0,0,0,0,0,0.0,0,0,1128.255
67,FGS_IamD,16,0,0,0,0.0,0,0,0,0,0.0,0,0,122.874
68,FGS_2Q,16,1,0,0,100.0,0,0,0,0,0.0,0,0,138.442
69,FGS_Z,16,0,0,0,0.0,0,0,0,0,0.0,0,0,130.012
70,FGS_Tob1-,16,0,0,0,0.0,0,0,0,0,0.0,0,0,138.438
71,DOG_KhoaXu,6,1,0,5,143.29443,1,1,0,1,36.91085,0,0,767.791
72,DOG_Nus-,6,0,0,4,0.0,0,0,0,0,0.0,0,0,768.789
73,DOG_LyoTien,6,2,0,9,378.56082,0,10,0,3,33.184113,0,0,1699.441
74,TE_NguSi,12,2,4,5,518.5414,2,8,0,3,149.96931,1,0,1145.673
75,TE_HoangTanker,12,2,0,2,427.03287,1,1,0,2,13.592256,0,0,1013.971
76,TE_Keyyyyy,12,1,0,2,269.0,1,1,0,3,118.89791,0,0,1097.07
77,TE_b0m-,12,0,2,3,24.330002,1,5,0,2,567.17554,1,1,1124.582
78,TDZ_Nhatthongg,2,3,1,4,659.6685,0,4,0,1,110.0715,0,0,1819.842
79,TDZ_TND,2,0,0,3,80.19644,0,4,0,0,0.0,3,0,1592.874
80,TDZ_LoveU3000,2,0,1,5,160.63057,0,3,0,0,0.0,1,0,1592.066
81,TDZ_BC10,2,0,0,5,436.50162,1,3,0,1,14.052499,0,0,1810.026
82,KQE_DMk,11,0,0,1,37.277775,0,0,0,0,0.0,0,0,1265.598
83,KQE_Odinn,11,0,0,2,0.0,0,0,0,0,0.0,0,0,1283.321
84,KQE_Zerots2K,11,0,0,0,24.0,0,0,0,0,0.0,0,0,647.355
85,KQE_KeNzz,11,2,0,0,254.64932,0,0,0,1,216.96649,0,0,1218.206
86,TT_Soda,4,0,1,3,159.59999,0,6,0,0,0.0,0,0,1744.767
