,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta
0,NeoES_JustBeg1n,4,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,158,1500,0
1,NeoES_Kimmisusu,4,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,704,1500,0
2,NeoES_TrickTion,4,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,150,1500,0
3,NeoES_botbas,4,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,153,1500,0
4,VNAZ_TiGeRCroCoDY,19,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,158,1500,0
5,VNAZ_Foon,19,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,158,1500,0
6,VNAZ_ZATARN,19,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,152,1500,0
7,VNAZ_EIEIEIEI,19,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,155,1500,0
8,F2G_Pesart,6,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,149,1500,0
9,F2G_Kipling-Yg,6,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,703,1500,0
10,F2G_Robi-Hoodz,6,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,157,1500,0
11,F2G_Eartzabaleta,6,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,159,1500,0
12,Xavier_CakekiejokerZ,11,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,157,1500,0
13,Xavier_B4R4BEST,11,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,153,1500,0
14,Xavier_Nighthoundart,11,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,702,1500,0
15,AG_dmggg,7,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,161,1500,0
16,AG_ThanawatTH,7,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,703,1500,0
17,AG_p1scezPRO,7,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,152,1500,0
18,AG_General_Gaming,7,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,153,1500,0
19,Logitech_TAPGNOK,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,157,1500,0
20,Logitech_NONSTOPz,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,702,1500,0
21,Logitech_BELIVEZ,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,150,1500,0
22,Logitech_Yakn0i,9,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,152,1500,0
23,Beyond_Mckenz1e,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,157,1500,0
24,Beyond_DUCKMANZ,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,161,1500,0
25,Beyond_Neotica,17,0,0,0,0.0,0,0,1000,0,0,0,0,0,0,0,0,0,158,1500,0
