,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,ACT_Simba,9,0,0,0,28.0972519,0,0,0,0,0.0,0,0,1119.573
1,ACT_Luda,9,3,3,4,446.285828,1,2,2,4,44.3330269,1,0,1298.887
2,ACT_ArvisDQ,9,1,2,3,264.482239,0,0,2,2,26.7932911,0,0,1229.383
3,ACT_MaoMao,9,0,0,3,177.515762,0,0,1,1,60.4785728,0,0,1153.392
4,HQX_Henry,12,1,1,3,393.176239,0,4,0,0,0.0,0,0,1246.869
5,HQX_chsss,12,0,0,3,0.0,0,3,0,0,0.0,0,0,1246.86
6,HQX_1r0N,12,0,0,1,115.724442,0,1,0,0,0.0,0,0,1225.359
7,HQX_lucky7,12,1,0,1,100.0,0,0,0,0,0.0,0,0,953.859
8,AHQ_Milk,1,3,1,6,368.896179,0,2,1,3,209.924927,0,0,1702.635
9,AHQ_YanLi,1,2,3,5,402.539337,1,2,2,4,281.112122,0,0,1702.635
10,AHQ_SR,1,3,4,2,491.147827,2,2,1,3,316.8429,0,0,1702.635
11,AHQ_Cc,1,1,4,2,414.526031,0,2,0,0,0.0,1,0,1563.552
12,MP5_HeiBoy,3,1,1,0,191.9136,0,0,1,1,173.513123,2,0,1538.028
13,MP5_ANiNi,3,1,0,4,171.956268,0,8,1,3,165.623825,0,0,1696.206
14,MP5_K3,3,3,2,7,191.864014,0,2,1,3,260.8631,1,0,1603.229
15,MP5_Lokslokkk,3,0,0,5,166.406036,0,3,1,1,125.357712,0,0,1637.434
16,ZK_uKL,7,0,0,0,0.0,0,0,0,0,0.0,0,0,505.334
17,ZK_Zack,7,0,0,1,0.0,0,0,0,0,0.0,1,0,876.167
18,ZK_Yuri,7,0,1,7,245.495148,0,14,0,0,0.0,1,0,1388.34
19,ZK_KJAY,7,1,0,7,63.8746,1,10,1,1,89.0563049,0,0,1258.53
20,GEX_kane,6,0,0,3,0.0,0,1,0,0,0.0,0,0,1243.184
21,GEX_sophiya666,6,2,0,3,190.714432,1,0,2,2,115.890442,0,0,1309.397
22,GEX_Leo,6,0,0,4,58.99188,1,8,1,2,81.9193344,0,0,1407.948
23,GEX_ChiaWei1031,6,0,1,4,32.9258575,0,1,0,0,0.0,1,0,1416.041
24,CRS_DJwOw,2,0,0,3,28.27712,0,1,0,0,0.0,0,0,1621.24
25,CRS_dA,2,1,0,3,100.0,0,3,0,0,0.0,0,0,1688.855
26,CRS_MartianChun,2,2,1,4,413.46347,0,0,1,2,201.230072,1,0,1702.592
27,CRS_SomeTh1nG,2,1,1,2,152.342575,0,0,1,1,118.60556,0,0,1588.097
28,STR_RandyOrton,13,1,0,6,187.1918,0,3,1,1,41.9603043,0,0,1205.479
29,STR_XiaoV,13,0,0,2,28.38,0,0,0,0,0.0,0,0,912.314
