,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_points,kill_points_delta,kill_streaks,kills,last_kill_points,last_win_points,longest_kill,most_damage,revives,team_kills,time_survived,win_points,win_points_delta,rank_points
0,MS_PuPufish,15,0,0,6,76.47446,0,2,1000,0,1,1,0,0,8.245489,0,0,0,1480.235,1500,0,
1,MS_CY,15,0,0,2,0.0,0,2,1000,0,0,0,0,0,0.0,0,0,0,1246.987,1500,0,
2,MS_An6,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,172.42,1500,0,
3,MS_Yuyuyu,15,0,0,0,0.0,0,0,1000,0,0,0,0,0,0.0,0,0,0,153.829,1500,0,
4,ahq_SR,7,0,0,2,5.26606941,0,2,1000,0,0,0,0,0,0.0,0,0,0,1674.453,1500,0,
5,ahq_Milk,7,0,0,2,30.6144981,0,1,1000,0,0,0,0,0,0.0,0,0,0,992.55,1500,0,
6,ahq_K3,7,0,1,1,7.617185,0,2,1000,0,0,0,0,0,0.0,0,0,0,846.08,1500,0,
7,ahq_W1nner,7,2,0,4,113.282242,0,4,1000,0,1,1,0,0,33.3891754,0,0,0,1690.44,1500,0,
8,GRX-SiuFatBB,2,3,2,5,661.855042,0,2,1000,0,2,5,0,0,220.424652,0,0,0,1985.011,1500,0,
9,GRX-BlackWai,2,3,0,3,510.4374,0,12,1000,0,1,3,0,0,111.949661,0,0,0,1934.913,1500,0,
10,GRX-Neo,2,1,1,3,386.612366,0,1,1000,0,1,2,0,0,202.8024,0,3,0,1822.997,1500,0,
11,GRX-GodLike3,2,5,2,3,833.8175,0,2,1000,0,2,5,0,0,61.5444527,0,1,0,1973.426,1500,0,
12,TAG_alanmmn,19,0,0,1,110.839005,0,0,1000,0,0,0,0,0,0.0,0,0,0,1346.36,1500,0,
13,TAG_Harvey,19,0,1,2,1.47012007,0,1,1000,0,0,0,0,0,0.0,0,0,0,1359.918,1500,0,
14,TAG_BAOGIN,19,0,0,1,15.7917118,0,0,1000,0,0,0,0,0,0.0,0,1,0,1359.726,1500,0,
15,TAG_Royal,19,0,0,1,137.26384,0,1,1000,0,0,0,0,0,0.0,0,0,0,1352.763,1500,0,
16,CAM_BuYoHoo,9,2,0,1,161.253326,1,1,1000,0,1,2,0,0,10.60271,0,0,0,1446.192,1500,0,
17,CAM_DavisHuang,9,0,0,3,264.995728,0,10,1000,0,0,0,0,0,0.0,0,0,0,1648.039,1500,0,
18,CAM_Buck,9,1,1,2,233.783234,0,1,1000,0,0,0,0,0,0.0,0,1,0,1477.777,1500,0,
