,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,GEXA_Lokslok,6,2,0,3,150.49321,0,3,0,0,0.0,2,0,1259.872
1,GEXA_Savior,6,2,5,7,619.075,2,13,0,3,158.21236,1,0,1406.572
2,GEXA_ZhenNan,6,2,5,6,830.34467,0,1,0,5,214.91127,2,0,1413.812
3,GEXA_BuYoHoo,6,0,0,1,0.0,0,3,0,0,0.0,0,0,858.529
4,TF_Tobiwei,14,0,0,2,0.0,0,1,0,0,0.0,0,0,992.687
5,TF_UpChen,14,0,0,0,27.637897,0,0,0,0,0.0,0,0,201.122
6,TF_NOTREAL,14,0,0,3,84.47452,0,5,0,0,0.0,0,0,1082.139
7,TF_Sasa,14,0,0,1,163.6905,0,0,0,0,0.0,0,0,1082.128
8,SWB_Teddy,13,1,0,0,0.0,0,0,0,0,0.0,0,0,709.129
9,SWB_GengYe,13,2,1,3,190.6,0,3,0,0,0.0,0,0,1201.366
10,SWB_Shiou,13,0,0,1,88.799995,0,0,0,0,0.0,0,0,819.265
11,SWB_Yu,13,2,0,5,439.35486,0,1,0,2,33.096096,1,0,1198.163
12,AMD_BiJie,7,0,1,5,182.75262,0,2,0,2,249.75468,0,0,1400.439
13,AMD_Winky,7,5,1,4,537.4727,0,3,0,5,173.7413,1,0,1400.459
14,AMD_kN,7,1,0,0,297.064,0,0,0,1,32.024364,0,0,1400.45
15,AMD_WhywhyB,7,2,2,4,476.84186,0,2,0,2,217.55373,1,0,1341.672
16,ACT_tom,12,0,0,2,0.0,0,0,0,0,0.0,0,0,873.091
17,ACT_ArvisDQ,12,2,0,0,172.4,0,1,0,1,20.150827,0,0,831.917
18,ACT_GoldenCAT,12,1,1,3,345.47922,0,5,0,1,30.21177,3,0,1235.408
19,ACT_A1,12,0,2,4,64.131,1,7,0,1,431.33533,0,0,1235.397
20,NS_0921,2,2,2,7,759.5686,0,3,0,3,114.733185,1,0,1814.556
