,player_id,team_rank,dbnos,assists,boosts,damage_dealt,headshot_kills,heals,kill_streaks,kills,longest_kill,revives,team_kills,time_survived
0,KB_Kor,14,0,0,2,0.0,0,0,0,0,0.0,0,0,932
1,KB_Ruf,14,0,0,3,50.77799,0,0,0,0,0.0,0,0,935
2,KB_KYu18,14,0,0,3,72.28128,0,0,0,0,0.0,0,0,935
3,KB_River,14,1,0,3,143.9,0,1,0,0,0.0,0,0,935
4,SD_Sophiya,1,4,3,2,502.7759,1,3,2,5,179.091,0,0,1305
5,SD_Upchen,1,1,1,0,563.1824,2,3,1,3,156.79828,1,0,1605
6,SD_Shen,1,3,3,6,648.83856,0,3,1,2,49.11721,0,0,1605
7,SD_Tobiwei,1,2,2,5,158.6154,0,8,1,2,72.59842,1,0,1605
8,GST_TinDD,4,0,0,0,0.0,0,0,0,0,0.0,0,0,457
9,GST_Yian,4,1,0,7,162.04,0,1,0,0,0.0,0,0,1545
10,GST_Andy,4,0,0,0,0.0,0,0,0,0,0.0,0,0,438
11,GST_Xiaoyu,4,1,0,0,100.00001,0,0,0,0,0.0,0,0,502
12,TST_Mizty,7,0,0,3,101.68309,0,5,0,0,0.0,0,0,1321
13,TST_Faith,7,0,0,0,201.9706,0,3,0,0,0.0,0,0,1334
14,TST_Chenghan,7,0,0,3,255.22751,0,1,0,0,0.0,0,0,1334
15,TST_RuLen,7,1,0,1,159.95326,0,0,0,0,0.0,0,0,1284
16,KSR_LuckyJie,8,0,0,7,73.799995,0,5,0,0,0.0,0,0,1240
17,KSR_P0rr1dge,8,0,1,5,88.10123,0,0,0,0,0.0,0,0,1240
18,KSR_Light,8,0,0,1,0.0,0,1,0,0,0.0,0,0,1240
19,KSR_LzHan,8,0,0,2,145.17578,0,5,1,1,342.2206,0,0,1184
20,AIR_ANNIL,3,2,0,5,278.95947,0,2,0,0,0.0,1,0,1545
21,AIR_RaNDLLL,3,0,0,6,144.43353,1,7,1,1,205.0102,0,0,1513
22,AIR_SOBAD1009,3,1,0,9,232.40822,0,7,0,0,0.0,0,0,1452
23,AIR_itsLouis,3,0,0,6,21.064234,0,0,0,0,0.0,0,0,955
24,GEX_ZhenNan,6,1,0,3,52.86,0,0,1,2,51.80338,0,0,1149
25,GEX_YanLi,6,0,0,0,0.0,0,0,0,0,0.0,0,0,1120
26,GEX_Savior,6,3,0,6,429.99274,1,1,1,3,354.05017,0,0,1386
27,GEX_SSR,6,1,0,3,75.0,0,0,1,1,51.204212,0,0,1125
28,XXX_Keres,16,0,0,0,0.0,0,5,0,0,0.0,0,0,273
29,XXX_Gg,16,1,0,3,153.86072,0,0,0,0,0.0,0,0,366
30,XXX_JHao,16,0,0,0,0.0,0,0,0,0,0.0,0,0,340
31,XXX_NiGo,16,1,0,0,100.0,0,0,0,0,0.0,0,0,343
32,DEST_Jagger,9,0,0,1,0.0,0,1,0,0,0.0,0,0,992
33,DEST_GodXP,9,4,0,7,419.5471,2,0,2,6,48.106796,0,0,1156
34,DEST_ChunQ1ng,9,1,3,1,285.46,0,3,0,0,0.0,1,0,1006
35,DEST_C8Jason,9,2,0,2,208.70555,0,0,2,2,91.21865,0,0,982
36,AOC_Homei3,12,0,0,1,43.588066,0,0,2,2,74.56179,0,0,1025
37,AOC_McCrit,12,2,0,1,68.82268,0,0,1,2,293.5961,0,0,1031
38,AOC_koL,12,0,1,3,141.3223,0,1,0,0,0.0,0,0,1076
39,AE_9ineTwo1ne,13,0,0,0,11.88,0,1,0,0,0.0,0,0,971
40,AE_MaoRush,13,0,0,5,108.23999,0,0,0,0,0.0,0,0,960
41,AE_UKL,13,1,0,2,122.14001,0,0,0,0,0.0,0,0,961
42,AE_CrazyDog,13,1,1,0,158.24611,0,1,0,0,0.0,1,0,971
43,DBH_YouLin0126,10,3,0,1,291.92105,2,1,2,4,47.20077,1,0,1155
44,DBH_HebeDD,10,1,0,7,127.46664,0,1,2,2,38.451492,1,0,1127
45,DBH_AJun,10,1,2,3,490.78366,0,3,1,1,78.20854,0,0,1155
46,DBH_BiJie,10,0,1,2,165.36606,0,2,1,1,45.201473,0,0,1107
47,ACN_OkYouDiE,15,0,0,3,106.64,0,6,1,1,6.5172267,0,0,690
48,ACN_YaFAn,15,1,0,1,95.5345,0,0,1,1,38.131943,0,0,690
49,ACN_lunlun,15,2,1,2,253.5213,0,3,2,2,42.61006,1,0,690
50,ACN_xxxliu,15,0,3,2,33.88,0,1,0,0,0.0,1,0,690
51,BDM_BuYoLan,2,1,1,4,160.94086,0,1,1,1,27.77979,1,0,1504
52,BDM_BuYoHoo,2,3,1,7,685.62036,2,8,3,5,67.29164,1,0,1605
53,BDM_Life,2,1,1,6,359.65317,0,4,1,1,82.80946,0,0,1605
54,BDM_Shiou,2,2,1,5,325.60196,1,1,1,2,91.97297,1,0,580
55,ACT_Bestmarco,5,1,1,6,229.6102,0,12,1,1,161.68184,1,0,1472
56,ACT_GuoHong,5,0,1,4,83.41087,0,2,0,0,0.0,0,0,1468
57,ACT_MaoMao,5,3,1,4,374.95996,0,8,1,2,39.774403,0,0,1472
58,ACT_Luda,5,0,1,4,159.41476,0,3,1,1,177.42462,2,0,1472
59,RKA_YouZeMoLa,11,1,0,5,301.2091,0,2,0,0,0.0,1,0,1095
60,RKA_YouZeMoSi,11,0,1,3,0.0,0,0,0,0,0.0,0,0,1001
61,RKA_YouZeMoLe,11,6,3,5,583.4558,0,1,1,2,35.378277,1,0,1095
62,RKA_YouZeMoPi,11,0,0,3,102.67103,0,11,0,0,0.0,0,0,1067
63,AIR_itsLouis,16,1,0,2,191.13998,0,5,1,1,4.6310825,0,0,279
64,AIR_ANNIL,16,0,0,0,0.0,0,0,0,0,0.0,1,0,279
65,AIR_RaNDLLL,16,2,0,1,99.17052,0,5,0,0,0.0,0,0,279
66,AIR_SOBAD1009,16,0,0,0,92.82948,0,0,0,0,0.0,0,0,158
67,KSR_Light,5,2,2,9,222.93729,0,3,1,1,135.05421,0,0,1455
68,KSR_P0rr1dge,5,1,2,5,445.44717,0,0,0,0,0.0,0,0,1455
69,KSR_LzHan,5,1,0,5,107.75974,0,8,1,1,141.64401,3,0,1445
70,KSR_LuckyJie,5,1,2,11,343.41965,0,7,1,1,53.628685,1,0,1455
71,GST_Andy,12,0,0,2,146.16998,0,1,0,0,0.0,0,0,1008
72,GST_TinDD,12,0,1,1,58.08,0,0,0,0,0.0,0,0,923
73,GST_Yian,12,2,0,0,146.18579,0,1,1,2,33.76711,0,0,1008
74,GST_Xiaoyu,12,1,0,5,181.10744,0,1,1,2,26.845125,2,0,1008
75,DBH_BiJie,7,1,2,5,249.82126,0,0,0,0,0.0,2,0,1268
76,DBH_AJun,7,1,0,0,133.83759,0,0,0,0,0.0,0,0,122
77,DBH_YouLin0126,7,3,1,2,449.68332,1,2,3,3,59.673965,0,0,1276
78,DBH_HebeDD,7,1,0,4,125.08,1,8,1,1,11.326146,0,0,1268
79,SD_Shen,10,0,0,1,236.11255,0,1,0,0,0.0,0,0,1183
